file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,15,12,0.8823529411764706,0.631578947368421,17,19,2,7
289.txt,13,12,0.8666666666666667,1.0,15,12,2,0
510.txt,11,16,1.0,1.0,11,16,0,0
921.txt,11,12,1.0,1.0,11,12,0,0
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,16,16,0.7272727272727273,0.8888888888888888,22,18,6,2
666.txt,14,12,0.9333333333333333,1.0,15,12,1,0
470.txt,8,10,1.0,1.0,8,10,0,0
303.txt,7,6,1.0,0.6,7,10,0,4
1132.txt,6,5,1.0,0.8333333333333334,6,6,0,1
883.txt,8,7,1.0,0.7777777777777778,8,9,0,2
129.txt,22,19,0.9565217391304348,0.95,23,20,1,1
28.txt,11,16,1.0,0.8888888888888888,11,18,0,2
920.txt,13,14,1.0,0.9333333333333333,13,15,0,1
539.txt,17,16,1.0,1.0,17,16,0,0
511.txt,9,9,1.0,0.8181818181818182,9,11,0,2
1085.txt,7,8,1.0,0.6666666666666666,7,12,0,4
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,20,22,0.8695652173913043,0.88,23,25,3,3
842.txt,5,7,0.8333333333333334,1.0,6,7,1,0
856.txt,6,6,0.8571428571428571,0.6666666666666666,7,9,1,3
103.txt,15,16,1.0,0.8421052631578947,15,19,0,3
117.txt,16,13,1.0,0.8125,16,16,0,3
1130.txt,8,8,0.8,0.8888888888888888,10,9,2,1
499.txt,7,7,0.875,0.875,8,8,1,1
102.txt,9,9,1.0,0.9,9,10,0,1
857.txt,5,4,0.8333333333333334,0.6666666666666666,6,6,1,2
17.txt,3,3,1.0,0.75,3,4,0,1
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,8,10,1.0,0.7142857142857143,8,14,0,4
516.txt,13,11,0.8666666666666667,1.0,15,11,2,0
933.txt,29,23,0.5686274509803921,0.8214285714285714,51,28,22,5
853.txt,7,7,0.875,0.7777777777777778,8,9,1,2
884.txt,7,6,1.0,1.0,7,6,0,0
1121.txt,4,4,1.0,1.0,4,4,0,0
304.txt,12,11,1.0,1.0,12,11,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,6,6,0.8571428571428571,0.6666666666666666,7,9,1,3
1134.txt,16,13,0.9411764705882353,1.0,17,13,1,0
661.txt,6,6,1.0,0.75,6,8,0,2
649.txt,8,9,1.0,1.0,8,9,0,0
852.txt,7,7,1.0,0.4375,7,16,0,9
1097.txt,7,9,1.0,1.0,7,9,0,0
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,8,1.0,0.8888888888888888,8,9,0,1
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,9,5,1.0,0.8333333333333334,9,6,0,1
930.txt,5,7,1.0,1.0,5,7,0,0
139.txt,9,10,1.0,0.9090909090909091,9,11,0,1
111.txt,3,3,1.0,0.75,3,4,0,1
474.txt,14,13,1.0,0.6842105263157895,14,19,0,6
1123.txt,6,6,1.0,0.46153846153846156,6,13,0,7
110.txt,3,4,1.0,0.8,3,5,0,1
886.txt,8,8,1.0,0.6666666666666666,8,12,1,4
39.txt,5,5,1.0,1.0,5,5,0,0
11.txt,12,11,1.0,0.7333333333333333,12,15,0,4
716.txt,7,10,1.0,0.7692307692307693,7,13,0,3
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,24,21,0.6486486486486487,0.875,37,24,13,3
1232.txt,31,27,0.7209302325581395,0.9642857142857143,43,28,12,1
956.txt,20,20,1.0,0.9090909090909091,20,22,0,2
759.txt,4,5,1.0,0.7142857142857143,4,7,0,2
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,7,1.0,1.0,7,7,0,0
375.txt,4,6,1.0,1.0,4,6,0,0
1187.txt,12,8,0.8571428571428571,0.8888888888888888,14,9,2,1
1193.txt,19,16,1.0,0.8888888888888888,19,18,0,2
349.txt,6,5,1.0,0.8333333333333334,6,6,0,1
348.txt,14,13,0.9333333333333333,0.8666666666666667,15,15,1,2
406.txt,4,6,1.0,0.5454545454545454,4,11,0,5
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,3,3,1.0,0.6,3,5,0,2
189.txt,6,6,1.0,1.0,6,6,0,0
980.txt,10,8,1.0,1.0,10,8,0,0
770.txt,13,8,1.0,1.0,13,8,0,0
764.txt,7,8,1.0,0.8888888888888888,7,9,0,1
1019.txt,32,31,0.7619047619047619,0.8611111111111112,42,36,10,5
1025.txt,19,18,0.5277777777777778,1.0,36,18,17,0
955.txt,4,4,1.0,0.8,4,5,0,1
1147.txt,5,6,1.0,0.8571428571428571,5,7,0,1
438.txt,10,9,1.0,0.6428571428571429,10,14,0,5
439.txt,16,13,1.0,0.8666666666666667,16,15,0,2
411.txt,13,11,0.9285714285714286,0.9166666666666666,14,12,1,1
1146.txt,19,16,1.0,0.8421052631578947,19,19,0,3
940.txt,7,9,1.0,0.9,7,10,0,1
1218.txt,4,4,1.0,0.8,4,5,0,1
559.txt,6,6,1.0,0.8571428571428571,6,7,0,1
561.txt,13,12,1.0,0.8,13,15,0,3
950.txt,18,16,1.0,0.8888888888888888,18,18,0,2
373.txt,3,3,1.0,0.6,3,5,0,2
616.txt,5,5,1.0,1.0,5,5,0,0
776.txt,4,5,1.0,1.0,4,5,0,0
574.txt,6,5,1.0,1.0,6,5,0,0
953.txt,16,15,0.8,0.625,20,24,4,9
990.txt,9,9,1.0,0.75,9,12,0,3
600.txt,18,16,0.9473684210526315,0.8,19,20,1,4
