File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1005,1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436],1.0,1.0,0.9314923882484436,1,1,1,1,[0.9314923882484436]
1015,0.25,0.16666666666666666,0.9051344990730286,1,1,4,6,[0.9051344990730286],0.25,0.3333333333333333,0.885344848036766,1,2,4,6,"[0.9051344990730286, 0.8655551970005035]",0.25,0.3333333333333333,0.885344848036766,1,2,4,6,"[0.9051344990730286, 0.8655551970005035]",0.5,0.5,0.8235424856344858,2,3,4,6,"[0.9051344990730286, 0.8655551970005035, 0.6999377608299255]",0.5,0.5,0.8235424856344858,2,3,4,6,"[0.9051344990730286, 0.8655551970005035, 0.6999377608299255]",1.0,0.8333333333333334,0.6537238121032715,4,5,4,6,"[0.45782744884490967, 0.3401641547679901, 0.9051344990730286, 0.8655551970005035, 0.6999377608299255]"
1,0.09090909090909091,0.1,0.90364870429039,1,1,11,10,[0.90364870429039],0.18181818181818182,0.2,0.8765783458948135,2,2,11,10,"[0.90364870429039, 0.8495079874992371]",0.36363636363636365,0.4,0.8070247732102871,4,4,11,10,"[0.7127898782491684, 0.7621525228023529, 0.90364870429039, 0.8495079874992371]",0.5454545454545454,0.6,0.7456632802883784,6,6,11,10,"[0.6373298615217209, 0.7127898782491684, 0.7621525228023529, 0.6085507273674011, 0.90364870429039, 0.8495079874992371]",0.8181818181818182,0.7,0.674348791440328,9,7,11,10,"[0.6373298615217209, 0.7127898782491684, 0.7621525228023529, 0.6085507273674011, 0.5771677643060684, 0.5008611083030701, 0.5171305686235428, 0.90364870429039, 0.8495079874992371]",1.0,0.9,0.6315167166969993,11,9,11,10,"[0.444088876247406, 0.6373298615217209, 0.7127898782491684, 0.7621525228023529, 0.4334558844566345, 0.6085507273674011, 0.5771677643060684, 0.5008611083030701, 0.5171305686235428, 0.90364870429039, 0.8495079874992371]"
1010,0.0,0.0,0,0,0,6,6,[],0.0,0.0,0,0,0,6,6,[],0.0,0.0,0,0,0,6,6,[],0.16666666666666666,0.16666666666666666,0.6018067598342896,1,1,6,6,[0.6018067598342896],0.5,0.5,0.5819596548875173,3,3,6,6,"[0.6018067598342896, 0.5767955780029297, 0.5672766268253326]",1.0,1.0,0.5088035861651102,6,6,6,6,"[0.6018067598342896, 0.3793070316314697, 0.5767955780029297, 0.5672766268253326, 0.4977341890335083, 0.4299013316631317]"
1019,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,[]
102,1.0,1.0,0.9436157941818237,1,1,1,1,[0.9436157941818237],1.0,1.0,0.9436157941818237,1,1,1,1,[0.9436157941818237],1.0,1.0,0.9436157941818237,1,1,1,1,[0.9436157941818237],1.0,1.0,0.9436157941818237,1,1,1,1,[0.9436157941818237],1.0,1.0,0.9436157941818237,1,1,1,1,[0.9436157941818237],1.0,1.0,0.9436157941818237,1,1,1,1,[0.9436157941818237]
1025,0.0,0.0,0,0,0,28,18,[],0.0,0.0,0,0,0,28,18,[],0.07142857142857142,0.1111111111111111,0.7734653353691101,2,2,28,18,"[0.7809010148048401, 0.7660296559333801]",0.10714285714285714,0.16666666666666666,0.7438381612300873,3,3,28,18,"[0.7809010148048401, 0.6845838129520416, 0.7660296559333801]",0.17857142857142858,0.2777777777777778,0.6697686731815338,5,5,28,18,"[0.7809010148048401, 0.6845838129520416, 0.7660296559333801, 0.5365422964096069, 0.5807865858078003]",0.42857142857142855,0.5555555555555556,0.5092426240444183,12,10,28,18,"[0.3369607627391815, 0.45289355516433716, 0.7809010148048401, 0.6845838129520416, 0.3977460563182831, 0.34731489419937134, 0.3458741754293442, 0.4200298935174942, 0.7660296559333801, 0.5365422964096069, 0.4612487852573395, 0.5807865858078003]"
1028,0.0,0.0,0,0,0,9,8,[],0.0,0.0,0,0,0,9,8,[],0.3333333333333333,0.375,0.7261962592601776,3,3,9,8,"[0.7368061542510986, 0.7208913117647171, 0.7208913117647171]",0.3333333333333333,0.375,0.7261962592601776,3,3,9,8,"[0.7368061542510986, 0.7208913117647171, 0.7208913117647171]",0.4444444444444444,0.5,0.6866172775626183,4,4,9,8,"[0.7368061542510986, 0.7208913117647171, 0.7208913117647171, 0.5678803324699402]",0.7777777777777778,0.875,0.5947845301457814,7,7,9,8,"[0.7368061542510986, 0.4677012264728546, 0.4999832361936569, 0.7208913117647171, 0.7208913117647171, 0.5678803324699402, 0.4493381381034851]"
103,0.0,0.0,0,0,0,12,12,[],0.08333333333333333,0.08333333333333333,0.8639395833015442,1,1,12,12,[0.8639395833015442],0.25,0.25,0.7733906110127767,3,3,12,12,"[0.8639395833015442, 0.7234477996826172, 0.7327844500541687]",0.4166666666666667,0.4166666666666667,0.7215791642665863,5,5,12,12,"[0.8639395833015442, 0.6588974148035049, 0.7234477996826172, 0.6288265734910965, 0.7327844500541687]",0.4166666666666667,0.4166666666666667,0.6934054245551428,5,5,12,12,"[0.8639395833015442, 0.6588974148035049, 0.7234477996826172, 0.6288265734910965, 0.5525367259979248, 0.7327844500541687]",0.75,0.6666666666666666,0.5670063957571984,9,8,12,12,"[0.8639395833015442, 0.35412535071372986, 0.6588974148035049, 0.4189727455377579, 0.7234477996826172, 0.32804274559020996, 0.6288265734910965, 0.4084905683994293, 0.5525367259979248, 0.7327844500541687]"
1046,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8773727416992188,1,1,1,1,[0.8773727416992188],1.0,1.0,0.8773727416992188,1,1,1,1,[0.8773727416992188],1.0,1.0,0.8773727416992188,1,1,1,1,[0.8773727416992188],1.0,1.0,0.8773727416992188,1,1,1,1,[0.8773727416992188],1.0,1.0,0.8773727416992188,1,1,1,1,[0.8773727416992188]
