file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,13,16,0.7647058823529411,0.9411764705882353,17,17,4,1
289.txt,15,15,0.8823529411764706,1.0,17,15,2,0
510.txt,11,11,0.8461538461538461,1.0,13,11,2,0
921.txt,11,10,1.0,0.9090909090909091,11,11,0,1
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,16,18,1.0,0.8181818181818182,16,22,0,4
666.txt,16,15,0.8888888888888888,1.0,18,15,2,0
470.txt,8,8,0.8888888888888888,1.0,9,8,1,0
303.txt,8,7,0.5714285714285714,1.0,14,7,6,0
1132.txt,5,5,0.7142857142857143,0.8333333333333334,7,6,2,1
883.txt,6,7,0.8571428571428571,0.875,7,8,1,1
129.txt,24,23,0.8,1.0,30,23,6,0
28.txt,17,11,0.8947368421052632,1.0,19,11,2,0
920.txt,14,13,0.875,1.0,16,13,2,0
539.txt,17,17,1.0,1.0,17,17,0,0
511.txt,10,9,1.0,1.0,10,9,0,0
1085.txt,16,7,1.0,1.0,16,7,0,0
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,21,21,0.9545454545454546,0.9130434782608695,22,23,1,2
842.txt,8,6,1.0,1.0,8,6,0,0
856.txt,6,6,0.6666666666666666,0.8571428571428571,9,7,3,1
103.txt,16,15,1.0,1.0,16,15,0,0
117.txt,18,16,0.72,1.0,25,16,7,0
1130.txt,10,9,0.8333333333333334,0.9,12,10,2,1
499.txt,9,8,1.0,1.0,9,8,0,0
102.txt,9,9,0.9,1.0,10,9,1,0
857.txt,5,5,0.7142857142857143,0.8333333333333334,7,6,2,1
17.txt,3,3,0.75,1.0,4,3,1,0
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,12,8,0.8571428571428571,1.0,14,8,2,0
516.txt,12,13,1.0,0.8666666666666667,12,15,0,2
933.txt,35,37,0.875,0.7254901960784313,40,51,5,14
853.txt,8,8,0.7272727272727273,1.0,11,8,3,0
884.txt,8,6,1.0,0.8571428571428571,8,7,0,1
1121.txt,4,4,1.0,1.0,4,4,0,0
304.txt,12,12,1.0,1.0,12,12,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,7,0.7777777777777778,1.0,9,7,2,0
1134.txt,15,16,1.0,0.9411764705882353,15,17,0,1
661.txt,6,6,1.0,1.0,6,6,0,0
649.txt,10,8,0.8333333333333334,1.0,12,8,2,0
852.txt,10,7,0.9090909090909091,1.0,11,7,1,0
1097.txt,10,7,1.0,1.0,10,7,0,0
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,8,0.8888888888888888,1.0,9,8,1,0
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,5,9,0.7142857142857143,1.0,7,9,2,0
930.txt,6,5,0.8571428571428571,1.0,7,5,1,0
139.txt,9,9,0.75,1.0,12,9,3,0
111.txt,4,3,1.0,1.0,4,3,0,0
474.txt,17,14,0.85,1.0,20,14,3,0
1123.txt,7,6,0.5833333333333334,1.0,12,6,5,0
110.txt,3,3,0.6,1.0,5,3,2,0
886.txt,8,8,0.6666666666666666,1.0,12,8,4,0
39.txt,8,5,1.0,1.0,8,5,0,0
11.txt,11,12,0.7333333333333333,1.0,15,12,4,0
716.txt,11,7,1.0,1.0,11,7,0,0
266.txt,14,14,0.9333333333333333,1.0,15,14,1,0
229.txt,28,31,0.8235294117647058,0.8378378378378378,34,37,6,6
1232.txt,38,39,0.9047619047619048,0.9069767441860465,42,43,4,4
956.txt,20,20,0.8695652173913043,1.0,23,20,3,1
759.txt,7,4,1.0,1.0,7,4,0,0
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,7,1.0,1.0,7,7,0,0
375.txt,6,4,1.0,1.0,6,4,0,0
1187.txt,9,13,0.9,0.9285714285714286,10,14,1,1
1193.txt,20,19,0.9090909090909091,1.0,22,19,2,0
349.txt,5,6,0.7142857142857143,1.0,7,6,2,0
348.txt,13,15,0.5416666666666666,1.0,24,15,11,0
406.txt,5,4,0.5555555555555556,1.0,9,4,4,0
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,4,3,0.4444444444444444,1.0,9,3,5,0
189.txt,6,6,1.0,1.0,6,6,0,0
980.txt,12,10,1.0,1.0,12,10,0,0
770.txt,10,13,0.9090909090909091,1.0,11,13,1,0
764.txt,8,7,0.8,1.0,10,7,2,0
1019.txt,42,40,0.8571428571428571,0.9523809523809523,49,42,7,2
1025.txt,25,32,0.9615384615384616,0.8888888888888888,26,36,1,4
955.txt,4,4,0.8,1.0,5,4,1,0
1147.txt,6,5,1.0,1.0,6,5,0,1
438.txt,9,10,0.75,1.0,12,10,3,1
439.txt,16,16,0.6153846153846154,1.0,26,16,10,0
411.txt,12,14,0.8571428571428571,1.0,14,14,2,0
1146.txt,23,19,0.8518518518518519,1.0,27,19,4,0
940.txt,7,7,0.7777777777777778,1.0,9,7,2,0
1218.txt,4,4,1.0,1.0,4,4,0,0
559.txt,7,6,0.7777777777777778,1.0,9,6,2,0
561.txt,15,13,0.8333333333333334,1.0,18,13,3,0
950.txt,16,18,0.9411764705882353,1.0,17,18,1,0
373.txt,3,3,0.6,1.0,5,3,2,0
616.txt,6,5,1.0,1.0,6,5,0,0
776.txt,5,4,1.0,1.0,5,4,0,0
574.txt,6,6,1.0,1.0,6,6,0,0
953.txt,19,16,0.8636363636363636,0.8,22,20,3,4
990.txt,11,9,0.9166666666666666,1.0,12,9,1,0
600.txt,19,19,1.0,1.0,19,19,0,0
1141.txt,10,10,1.0,0.9090909090909091,10,11,0,1
1155.txt,11,7,0.4782608695652174,1.0,23,7,12,0
416.txt,11,5,1.0,1.0,11,5,0,0
1196.txt,3,3,1.0,1.0,3,3,0,0
371.txt,8,8,1.0,1.0,8,8,0,0
359.txt,7,6,0.7,1.0,10,6,3,0
99.txt,4,4,0.6666666666666666,1.0,6,4,2,0
629.txt,18,16,0.6666666666666666,1.0,27,16,9,0
211.txt,4,4,0.8,1.0,5,4,1,0
1005.txt,4,4,0.8,1.0,5,4,1,0
220.txt,8,9,1.0,0.6428571428571429,8,14,0,5
778.txt,11,9,0.9166666666666666,1.0,12,9,1,0
57.txt,4,4,1.0,1.0,4,4,0,0
