File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1047,0.1875,0.21428571428571427,0.9657075007756551,3,3,16,14,"[0.9999998807907104, 0.9477488100528717, 0.9493738114833832]",0.1875,0.21428571428571427,0.9657075007756551,3,3,16,14,"[0.9999998807907104, 0.9477488100528717, 0.9493738114833832]",0.1875,0.21428571428571427,0.9657075007756551,3,3,16,14,"[0.9999998807907104, 0.9477488100528717, 0.9493738114833832]",0.3125,0.42857142857142855,0.8088062902291616,5,6,16,14,"[0.9999998807907104, 0.6609262079000473, 0.669036790728569, 0.9477488100528717, 0.9493738114833832, 0.6257522404193878]",0.4375,0.5714285714285714,0.7537844348698854,7,8,16,14,"[0.9999998807907104, 0.6609262079000473, 0.5941349267959595, 0.669036790728569, 0.9477488100528717, 0.9493738114833832, 0.6257522404193878, 0.5833028107881546]",0.75,1.0,0.5561114542186261,12,14,16,14,"[0.9999998807907104, 0.4077545702457428, 0.3453414887189865, 0.6609262079000473, 0.27739259600639343, 0.5941349267959595, 0.4778933823108673, 0.669036790728569, 0.9477488100528717, 0.9493738114833832, 0.6257522404193878, 0.4402385950088501, 0.43647482991218567, 0.492338627576828, 0.34499427676200867, 0.44907358288764954, 0.49903468787670135, 0.4290783405303955, 0.5833028107881546, 0.492338627576828]"
289,0.0,0.0,0,0,0,13,10,[],0.0,0.0,0,0,0,13,10,[],0.3076923076923077,0.4,0.7426515854895115,4,4,13,10,"[0.7979838848114014, 0.7580999135971069, 0.7143809199333191, 0.7001416236162186]",0.46153846153846156,0.6,0.7029198308785757,6,6,13,10,"[0.7979838848114014, 0.6324320584535599, 0.614480584859848, 0.7580999135971069, 0.7143809199333191, 0.7001416236162186]",0.46153846153846156,0.6,0.7029198308785757,6,6,13,10,"[0.7979838848114014, 0.6324320584535599, 0.614480584859848, 0.7580999135971069, 0.7143809199333191, 0.7001416236162186]",0.7692307692307693,1.0,0.6027419716119766,10,10,13,10,"[0.7979838848114014, 0.45812514424324036, 0.6324320584535599, 0.614480584859848, 0.467562735080719, 0.7580999135971069, 0.4005436301231384, 0.4836692214012146, 0.7143809199333191, 0.7001416236162186]"
510,0.0,0.0,0,0,0,11,8,[],0.09090909090909091,0.125,0.8255078196525574,1,1,11,8,[0.8255078196525574],0.2727272727272727,0.375,0.7756078441937765,3,3,11,8,"[0.8255078196525574, 0.7181645631790161, 0.7831511497497559]",0.2727272727272727,0.375,0.7756078441937765,3,3,11,8,"[0.8255078196525574, 0.7181645631790161, 0.7831511497497559]",0.36363636363636365,0.5,0.7168622463941574,4,4,11,8,"[0.8255078196525574, 0.7181645631790161, 0.7831511497497559, 0.5406254529953003]",0.9090909090909091,0.625,0.5105263829231262,10,5,11,8,"[0.8255078196525574, 0.7181645631790161, 0.21889090538024902, 0.4408668279647827, 0.34278586506843567, 0.7831511497497559, 0.4407588541507721, 0.4183160364627838, 0.37619635462760925, 0.5406254529953003]"
921,0.25,0.2222222222222222,0.9606999754905701,2,2,8,9,"[1.000000238418579, 0.921399712562561]",0.25,0.2222222222222222,0.9606999754905701,2,2,8,9,"[1.000000238418579, 0.921399712562561]",0.375,0.3333333333333333,0.8908709386984507,3,3,8,9,"[1.000000238418579, 0.751212865114212, 0.921399712562561]",0.625,0.5555555555555556,0.7670008689165115,5,5,8,9,"[1.000000238418579, 0.751212865114212, 0.6371650099754333, 0.921399712562561, 0.6235830783843994, 0.6686443090438843]",0.75,0.7777777777777778,0.6938172976175944,6,7,8,9,"[1.000000238418579, 0.751212865114212, 0.6371650099754333, 0.921399712562561, 0.6235830783843994, 0.5305598676204681, 0.6686443090438843, 0.5551551282405853, 0.5566354691982269]",1.0,1.0,0.5979244762233326,8,9,8,9,"[1.000000238418579, 0.3931725025177002, 0.751212865114212, 0.6371650099754333, 0.921399712562561, 0.6235830783843994, 0.4342089593410492, 0.4547702670097351, 0.5305598676204681, 0.6686443090438843, 0.5551551282405853, 0.4556165188550949, 0.38881874084472656, 0.5566354691982269]"
29,0.0,0.0,0,0,0,4,5,[],0.25,0.2,0.8648607134819031,1,1,4,5,[0.8648607134819031],0.25,0.2,0.8648607134819031,1,1,4,5,[0.8648607134819031],0.75,0.6,0.7266801496346792,3,3,4,5,"[0.8648607134819031, 0.6732294857501984, 0.641950249671936]",0.75,0.6,0.7266801496346792,3,3,4,5,"[0.8648607134819031, 0.6732294857501984, 0.641950249671936]",1.0,0.8,0.6487526968121529,4,4,4,5,"[0.8648607134819031, 0.414970338344574, 0.6732294857501984, 0.641950249671936]"
855,0.0,0.0,0,0,0,9,10,[],0.2222222222222222,0.2,0.8310720473527908,2,2,9,10,"[0.8202232420444489, 0.8419208526611328]",0.3333333333333333,0.3,0.7923793693383535,3,3,9,10,"[0.7149940133094788, 0.8202232420444489, 0.8419208526611328]",0.5555555555555556,0.4,0.7410263240337371,5,4,9,10,"[0.7149940133094788, 0.6493121087551117, 0.6786814033985138, 0.8202232420444489, 0.8419208526611328]",0.8888888888888888,0.8,0.6432686475190249,8,8,9,10,"[0.7149940133094788, 0.5908966064453125, 0.6493121087551117, 0.6786814033985138, 0.5474199652671814, 0.5832773447036743, 0.5370886325836182, 0.5199262499809265, 0.8202232420444489, 0.8419208526611328, 0.5922147035598755]",1.0,0.9,0.5723343603312969,9,9,9,10,"[0.7149940133094788, 0.5908966064453125, 0.3627507984638214, 0.4581751823425293, 0.6493121087551117, 0.6786814033985138, 0.5474199652671814, 0.45978111028671265, 0.5832773447036743, 0.5370886325836182, 0.40523290634155273, 0.39545464515686035, 0.5199262499809265, 0.8202232420444489, 0.8419208526611328, 0.5922147035598755]"
666,0.08333333333333333,0.08333333333333333,1.0,1,1,12,12,[1.0],0.25,0.25,0.9172928730646769,3,3,12,12,"[0.879518985748291, 0.8723596334457397, 1.0]",0.4166666666666667,0.4166666666666667,0.8494887530803681,5,5,12,12,"[0.879518985748291, 0.750343382358551, 0.7452217638492584, 0.8723596334457397, 1.0]",0.75,0.75,0.768291132317649,9,9,12,12,"[0.879518985748291, 0.750343382358551, 0.6532348990440369, 0.6803181767463684, 0.7452217638492584, 0.8723596334457397, 1.0, 0.6551238894462585, 0.6784994602203369]",0.8333333333333334,0.8333333333333334,0.7425680130720138,10,10,12,12,"[0.879518985748291, 0.750343382358551, 0.6532348990440369, 0.6803181767463684, 0.7452217638492584, 0.8723596334457397, 1.0, 0.5110599398612976, 0.6551238894462585, 0.6784994602203369]",1.0,1.0,0.683261459072431,12,12,12,12,"[0.879518985748291, 0.42335090041160583, 0.750343382358551, 0.6532348990440369, 0.35010647773742676, 0.6803181767463684, 0.7452217638492584, 0.8723596334457397, 1.0, 0.5110599398612976, 0.6551238894462585, 0.6784994602203369]"
470,1.0,1.0,0.9371938705444336,1,1,1,1,[0.9371938705444336],1.0,1.0,0.9371938705444336,1,1,1,1,[0.9371938705444336],1.0,1.0,0.9371938705444336,1,1,1,1,[0.9371938705444336],1.0,1.0,0.9371938705444336,1,1,1,1,[0.9371938705444336],1.0,1.0,0.9371938705444336,1,1,1,1,[0.9371938705444336],1.0,1.0,0.9371938705444336,1,1,1,1,[0.9371938705444336]
303,0.0,0.0,0,0,0,14,5,[],0.0,0.0,0,0,0,14,5,[],0.0,0.0,0,0,0,14,5,[],0.14285714285714285,0.4,0.6491328775882721,2,2,14,5,"[0.6854628920555115, 0.6128028631210327]",0.2857142857142857,0.6,0.5899480059742928,4,3,14,5,"[0.5114481151103973, 0.6854628920555115, 0.5500781536102295, 0.6128028631210327]",0.5,1.0,0.5371089577674866,7,5,14,5,"[0.4487011134624481, 0.49908247590065, 0.5114481151103973, 0.6854628920555115, 0.5500781536102295, 0.45218709111213684, 0.6128028631210327]"
1132,0.25,0.25,0.9473251700401306,1,1,4,4,[0.9473251700401306],0.75,0.75,0.8873996039231619,3,3,4,4,"[0.9473251700401306, 0.8472894132137299, 0.867584228515625]",0.75,0.75,0.8873996039231619,3,3,4,4,"[0.9473251700401306, 0.8472894132137299, 0.867584228515625]",0.75,0.75,0.8873996039231619,3,3,4,4,"[0.9473251700401306, 0.8472894132137299, 0.867584228515625]",0.75,0.75,0.8873996039231619,3,3,4,4,"[0.9473251700401306, 0.8472894132137299, 0.867584228515625]",1.0,1.0,0.7858895435929298,4,4,4,4,"[0.9473251700401306, 0.4813593626022339, 0.8472894132137299, 0.867584228515625]"
