file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,15,13,0.8823529411764706,0.9285714285714286,17,14,2,1
289.txt,15,14,1.0,0.875,15,16,0,2
510.txt,11,11,1.0,0.8461538461538461,11,13,0,2
921.txt,11,11,1.0,0.9166666666666666,11,12,0,1
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,21,17,0.9545454545454546,1.0,22,17,2,0
666.txt,15,14,1.0,0.875,15,16,0,2
470.txt,8,8,1.0,0.8888888888888888,8,9,0,1
303.txt,7,7,1.0,0.7777777777777778,7,9,0,2
1132.txt,5,4,0.8333333333333334,0.8,6,5,1,1
883.txt,8,8,1.0,0.8888888888888888,8,9,0,1
129.txt,23,26,1.0,0.896551724137931,23,29,0,3
28.txt,11,20,1.0,1.0,11,20,0,0
920.txt,13,14,1.0,1.0,13,14,0,0
539.txt,17,17,1.0,0.9444444444444444,17,18,0,1
511.txt,9,10,1.0,0.9090909090909091,9,11,0,1
1085.txt,7,12,1.0,0.6,7,20,0,8
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,22,21,0.9565217391304348,0.9545454545454546,23,22,1,1
842.txt,6,8,1.0,0.8888888888888888,6,9,0,1
856.txt,6,6,0.8571428571428571,0.75,7,8,1,2
103.txt,15,16,1.0,1.0,15,16,0,0
117.txt,16,13,1.0,0.9285714285714286,16,14,0,1
1130.txt,9,9,0.9,0.75,10,12,1,3
499.txt,8,8,1.0,0.6153846153846154,8,13,0,5
102.txt,9,10,1.0,1.0,9,10,0,0
857.txt,6,8,1.0,1.0,6,8,1,0
17.txt,3,4,1.0,1.0,3,4,0,0
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,8,12,1.0,0.9230769230769231,8,13,0,1
516.txt,15,13,1.0,1.0,15,13,0,0
933.txt,37,32,0.7254901960784313,0.8205128205128205,51,39,14,7
853.txt,8,8,1.0,0.8,8,10,0,2
884.txt,6,7,0.8571428571428571,0.875,7,8,1,1
1121.txt,4,5,1.0,1.0,4,5,0,0
304.txt,12,12,1.0,1.0,12,12,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,9,1.0,1.0,7,9,0,0
1134.txt,16,16,0.9411764705882353,1.0,17,16,1,0
661.txt,6,6,1.0,0.75,6,8,0,2
649.txt,8,11,1.0,0.9166666666666666,8,12,0,1
852.txt,7,7,1.0,0.4375,7,16,0,9
1097.txt,7,8,1.0,0.8888888888888888,7,9,0,1
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,8,1.0,0.8,8,10,0,2
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,9,5,1.0,0.8333333333333334,9,6,0,1
930.txt,5,6,1.0,0.8571428571428571,5,7,0,1
139.txt,9,11,1.0,0.9166666666666666,9,12,0,1
111.txt,3,3,1.0,0.75,3,4,0,1
474.txt,14,16,1.0,0.8888888888888888,14,18,0,2
1123.txt,6,8,1.0,0.5714285714285714,6,14,0,6
110.txt,3,3,1.0,0.6,3,5,0,2
886.txt,8,11,1.0,0.9166666666666666,8,12,0,1
39.txt,5,5,1.0,0.625,5,8,0,3
11.txt,12,13,1.0,0.7647058823529411,12,17,0,4
716.txt,7,8,1.0,0.7272727272727273,7,11,0,3
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,26,25,0.7027027027027027,0.8333333333333334,37,30,11,5
1232.txt,38,37,0.8837209302325582,0.8809523809523809,43,42,5,5
956.txt,20,20,1.0,0.5882352941176471,20,34,0,14
759.txt,4,4,1.0,0.5,4,8,0,4
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,7,1.0,1.0,7,7,0,0
375.txt,4,6,1.0,1.0,4,6,0,0
1187.txt,12,9,0.8571428571428571,0.6923076923076923,14,13,2,4
1193.txt,18,18,0.9473684210526315,0.9,19,20,1,2
349.txt,6,6,1.0,0.8571428571428571,6,7,0,1
348.txt,15,14,1.0,0.5185185185185185,15,27,0,13
406.txt,4,8,1.0,0.7272727272727273,4,11,0,3
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,3,4,1.0,0.4444444444444444,3,9,0,5
189.txt,6,6,1.0,1.0,6,6,0,0
980.txt,10,9,1.0,0.5625,10,16,0,7
770.txt,11,9,0.8461538461538461,0.9,13,10,2,1
764.txt,7,7,1.0,0.7777777777777778,7,9,0,2
1019.txt,36,36,0.8571428571428571,0.8780487804878049,42,41,7,5
1025.txt,32,30,0.8888888888888888,0.8823529411764706,36,34,4,4
955.txt,4,4,1.0,0.8,4,5,0,1
1147.txt,5,6,1.0,0.75,5,8,0,2
438.txt,10,9,1.0,0.6923076923076923,10,13,0,4
439.txt,16,16,1.0,0.6153846153846154,16,26,0,10
411.txt,14,13,1.0,0.9285714285714286,14,14,0,1
1146.txt,19,19,1.0,0.7037037037037037,19,27,0,8
940.txt,7,8,1.0,1.0,7,8,0,0
1218.txt,4,4,1.0,1.0,4,4,0,0
559.txt,6,7,1.0,0.7777777777777778,6,9,0,2
561.txt,11,12,0.8461538461538461,0.8,13,15,2,3
950.txt,18,16,1.0,0.9411764705882353,18,17,0,1
373.txt,3,3,1.0,0.6,3,5,0,2
616.txt,5,6,1.0,1.0,5,6,0,0
776.txt,4,5,1.0,1.0,4,5,0,0
574.txt,6,6,1.0,1.0,6,6,0,0
953.txt,20,17,1.0,0.68,20,25,1,8
990.txt,9,8,1.0,0.6153846153846154,9,13,0,5
600.txt,19,18,1.0,0.9,19,20,0,2
1141.txt,11,10,1.0,0.6666666666666666,11,15,0,5
1155.txt,7,14,1.0,0.5833333333333334,7,24,0,10
416.txt,5,7,1.0,1.0,5,7,0,0
1196.txt,3,3,1.0,1.0,3,3,0,0
371.txt,8,8,1.0,1.0,8,8,0,0
359.txt,6,6,1.0,0.6666666666666666,6,9,0,3
99.txt,4,4,1.0,0.6666666666666666,4,6,0,2
629.txt,16,17,1.0,0.7083333333333334,16,24,0,7
211.txt,4,4,1.0,1.0,4,4,0,0
1005.txt,4,4,1.0,0.8,4,5,0,1
220.txt,14,9,1.0,1.0,14,9,0,0
778.txt,9,11,1.0,0.9166666666666666,9,12,0,1
57.txt,4,4,1.0,1.0,4,4,0,0
5.txt,19,18,1.0,0.9473684210526315,19,19,0,1
803.txt,3,3,1.0,0.75,3,4,0,1
618.txt,8,12,1.0,0.7058823529411765,8,17,0,5
368.txt,4,4,1.0,0.8,4,5,0,1
427.txt,8,8,1.0,0.42105263157894735,8,19,0,11
341.txt,17,15,1.0,1.0,17,15,0,0
95.txt,14,13,0.875,0.8666666666666667,16,15,2,2
631.txt,4,4,0.8,0.4444444444444444,5,9,1,5
962.txt,20,20,1.0,1.0,20,20,1,0
584.txt,7,8,1.0,0.4444444444444444,7,18,0,10
1010.txt,7,10,1.0,1.0,7,10,0,0
551.txt,7,7,0.875,0.875,8,8,1,1
948.txt,18,18,0.5806451612903226,0.9,31,20,13,2
753.txt,9,13,0.9,0.8666666666666667,10,15,1,2
141.txt,6,7,1.0,0.875,6,8,0,1
394.txt,20,23,1.0,0.696969696969697,20,33,0,10
343.txt,5,8,1.0,1.0,5,8,0,0
395.txt,8,7,1.0,0.875,8,8,0,1
96.txt,11,12,0.9166666666666666,0.46153846153846156,12,26,1,14
41.txt,16,14,0.8888888888888888,0.875,18,16,2,2
236.txt,5,5,1.0,1.0,5,5,0,0
550.txt,9,9,1.0,0.6923076923076923,9,13,0,4
597.txt,9,9,1.0,0.75,9,12,0,3
232.txt,10,10,1.0,0.9090909090909091,10,11,0,1
971.txt,6,7,1.0,0.7777777777777778,6,9,0,2
51.txt,14,14,1.0,1.0,14,14,0,0
811.txt,29,25,0.6590909090909091,0.9615384615384616,44,26,15,1
839.txt,6,6,1.0,0.8571428571428571,6,7,0,1
144.txt,17,17,1.0,1.0,17,17,0,0
636.txt,6,10,0.8571428571428571,1.0,7,10,1,0
1188.txt,15,14,0.8823529411764706,0.875,17,16,2,2
347.txt,3,3,1.0,0.6,3,5,0,2
637.txt,12,13,0.9230769230769231,0.7647058823529411,13,17,1,4
151.txt,5,5,1.0,1.0,5,5,0,0
623.txt,17,16,0.8947368421052632,1.0,19,16,2,0
186.txt,11,11,1.0,0.8461538461538461,11,13,0,2
233.txt,3,3,1.0,1.0,3,3,0,0
1028.txt,10,9,0.9090909090909091,0.75,11,12,1,3
543.txt,8,6,1.0,1.0,8,6,0,0
796.txt,5,6,1.0,0.75,5,8,0,2
999.txt,11,11,1.0,0.7333333333333333,11,15,0,4
153.txt,3,3,1.0,1.0,3,3,0,0
351.txt,12,12,1.0,1.0,12,12,0,0
344.txt,17,22,1.0,1.0,17,22,0,0
350.txt,9,10,1.0,0.7692307692307693,9,13,0,3
191.txt,4,4,1.0,1.0,4,4,0,0
1.txt,13,13,0.8666666666666667,0.65,15,20,2,7
1203.txt,3,3,1.0,0.6,3,5,0,2
595.txt,12,12,0.8571428571428571,0.8571428571428571,14,14,2,2
1015.txt,10,10,1.0,1.0,10,10,0,0
280.txt,4,4,1.0,0.6666666666666666,4,6,0,2
848.txt,13,11,1.0,1.0,13,11,0,0
860.txt,4,4,1.0,1.0,4,4,0,0
653.txt,15,15,1.0,0.9375,15,16,0,1
322.txt,16,16,0.8421052631578947,0.7272727272727273,19,22,3,6
861.txt,5,8,1.0,1.0,5,8,0,0
849.txt,10,10,1.0,0.9090909090909091,10,11,0,1
901.txt,17,18,0.9444444444444444,1.0,18,18,1,0
929.txt,7,9,1.0,1.0,7,9,0,0
530.txt,6,7,1.0,1.0,6,7,0,0
1067.txt,22,23,1.0,1.0,22,23,0,0
1073.txt,3,3,1.0,0.75,3,4,0,1
268.txt,5,5,1.0,0.8333333333333334,5,6,0,1
23.txt,22,22,0.88,0.9166666666666666,25,24,3,2
136.txt,7,10,1.0,1.0,7,10,0,0
1139.txt,9,10,1.0,1.0,9,10,0,0
902.txt,13,16,1.0,0.6956521739130435,13,23,0,7
916.txt,12,12,0.8571428571428571,0.8,14,15,2,3
269.txt,4,4,1.0,1.0,4,4,0,0
241.txt,12,11,1.0,0.9166666666666666,12,12,0,1
282.txt,6,6,1.0,0.8571428571428571,6,7,0,1
1070.txt,6,9,1.0,0.8181818181818182,6,11,0,2
251.txt,5,5,1.0,0.5555555555555556,5,9,0,4
682.txt,7,8,1.0,0.8,7,10,0,2
127.txt,5,5,1.0,0.8333333333333334,5,6,0,1
480.txt,7,11,1.0,0.9166666666666666,7,12,0,1
126.txt,6,6,1.0,0.75,6,8,0,2
27.txt,7,6,1.0,0.8571428571428571,7,7,0,1
278.txt,13,8,1.0,0.8888888888888888,13,9,0,1
1061.txt,10,11,0.9090909090909091,0.6470588235294118,11,17,1,6
1049.txt,6,5,1.0,1.0,6,5,0,0
1088.txt,4,4,1.0,1.0,4,4,0,0
