file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,14,18,0.8235294117647058,0.46153846153846156,17,39,3,21
289.txt,15,14,1.0,0.875,15,16,0,2
510.txt,11,14,1.0,0.8235294117647058,11,17,0,3
921.txt,11,14,1.0,1.0,11,14,0,0
29.txt,8,9,1.0,1.0,8,9,0,0
855.txt,19,21,0.8636363636363636,0.9130434782608695,22,23,3,2
666.txt,15,15,1.0,1.0,15,15,0,0
470.txt,8,8,1.0,0.8888888888888888,8,9,0,1
303.txt,7,7,1.0,0.6363636363636364,7,11,0,4
1132.txt,5,5,0.8333333333333334,0.7142857142857143,6,7,1,2
883.txt,8,8,1.0,0.8,8,10,0,2
129.txt,23,23,1.0,0.71875,23,32,0,9
28.txt,11,32,1.0,0.6153846153846154,11,52,0,20
920.txt,13,16,1.0,0.6666666666666666,13,24,0,8
539.txt,17,29,1.0,0.9666666666666667,17,30,0,1
511.txt,8,10,0.8888888888888888,0.6666666666666666,9,15,1,5
1085.txt,7,7,1.0,0.3333333333333333,7,21,0,14
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,22,19,0.9565217391304348,0.6785714285714286,23,28,1,9
842.txt,6,8,1.0,0.8888888888888888,6,9,0,1
856.txt,7,6,1.0,0.8571428571428571,7,7,0,1
103.txt,15,18,1.0,1.0,15,18,0,0
117.txt,16,19,1.0,0.6129032258064516,16,31,0,12
1130.txt,10,10,1.0,0.5263157894736842,10,19,0,9
499.txt,8,8,1.0,0.47058823529411764,8,17,0,9
102.txt,9,9,1.0,0.9,9,10,0,1
857.txt,6,7,1.0,1.0,6,7,0,0
17.txt,3,4,1.0,1.0,3,4,0,0
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,8,9,1.0,0.6,8,15,0,6
516.txt,14,13,0.9333333333333333,1.0,15,13,1,0
933.txt,33,33,0.6470588235294118,0.6470588235294118,51,51,18,18
853.txt,8,7,1.0,0.6363636363636364,8,11,0,4
884.txt,7,8,1.0,0.6153846153846154,7,13,0,5
1121.txt,4,4,1.0,0.8,4,5,0,1
304.txt,12,11,1.0,0.8461538461538461,12,13,0,2
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,7,1.0,0.7,7,10,0,3
1134.txt,17,14,1.0,0.6666666666666666,17,21,0,7
661.txt,6,5,1.0,0.625,6,8,0,3
649.txt,8,8,1.0,0.6666666666666666,8,12,0,4
852.txt,7,9,1.0,0.47368421052631576,7,19,0,10
1097.txt,7,8,1.0,1.0,7,8,0,0
267.txt,5,4,1.0,1.0,5,4,0,0
1081.txt,8,8,1.0,1.0,8,8,0,0
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,9,4,1.0,0.8,9,5,0,1
930.txt,5,6,1.0,0.75,5,8,0,2
139.txt,9,12,1.0,1.0,9,12,0,0
111.txt,3,3,1.0,1.0,3,3,0,0
474.txt,14,17,1.0,0.4146341463414634,14,41,0,24
1123.txt,6,6,1.0,0.4,6,15,0,9
110.txt,3,4,1.0,0.5,3,8,0,4
886.txt,8,11,1.0,1.0,8,11,0,0
39.txt,4,6,0.8,1.0,5,6,1,0
11.txt,12,11,1.0,0.7857142857142857,12,14,0,3
716.txt,7,9,1.0,0.75,7,12,0,3
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,31,27,0.8378378378378378,0.8709677419354839,37,31,6,4
1232.txt,38,35,0.8837209302325582,0.7777777777777778,43,45,5,10
956.txt,20,22,1.0,0.7333333333333333,20,30,0,8
759.txt,4,5,1.0,0.8333333333333334,4,6,0,1
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,6,1.0,1.0,7,6,0,0
375.txt,4,4,1.0,0.6666666666666666,4,6,0,2
1187.txt,14,10,1.0,0.8333333333333334,14,12,0,2
1193.txt,18,18,0.9473684210526315,0.6923076923076923,19,26,1,8
349.txt,6,5,1.0,0.625,6,8,0,3
348.txt,15,12,1.0,0.48,15,25,0,13
406.txt,4,6,1.0,0.42857142857142855,4,14,0,8
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,3,3,1.0,0.375,3,8,0,5
189.txt,6,6,1.0,1.0,6,6,0,0
980.txt,10,11,1.0,0.7857142857142857,10,14,0,3
770.txt,9,9,0.6923076923076923,0.6923076923076923,13,13,4,4
764.txt,7,7,1.0,0.7777777777777778,7,9,0,2
1019.txt,39,37,0.9285714285714286,0.74,42,50,3,13
1025.txt,32,26,0.8888888888888888,0.896551724137931,36,29,4,3
955.txt,4,5,1.0,1.0,4,5,0,0
1147.txt,5,5,1.0,0.7142857142857143,5,7,0,2
438.txt,10,9,1.0,0.5625,10,16,0,7
439.txt,16,33,1.0,0.7021276595744681,16,47,0,14
411.txt,13,12,0.9285714285714286,0.8571428571428571,14,14,1,2
1146.txt,17,17,0.8947368421052632,0.7391304347826086,19,23,2,6
940.txt,7,7,1.0,0.7,7,10,0,3
1218.txt,4,4,1.0,1.0,4,4,0,0
559.txt,6,6,1.0,0.75,6,8,0,2
561.txt,13,15,1.0,1.0,13,15,0,0
950.txt,18,17,1.0,0.8947368421052632,18,19,0,2
373.txt,3,3,1.0,0.75,3,4,0,1
616.txt,5,5,1.0,1.0,5,5,0,0
776.txt,4,4,1.0,1.0,4,4,0,0
574.txt,5,5,0.8333333333333334,1.0,6,5,1,0
953.txt,19,21,0.95,0.75,20,28,1,7
990.txt,9,9,1.0,0.9,9,10,0,1
600.txt,19,19,1.0,0.8636363636363636,19,22,0,3
1141.txt,9,14,0.8181818181818182,0.6086956521739131,11,23,2,9
1155.txt,7,13,1.0,0.5652173913043478,7,23,0,10
416.txt,5,13,1.0,1.0,5,13,0,0
1196.txt,3,3,1.0,1.0,3,3,0,0
371.txt,8,8,1.0,1.0,8,8,0,0
359.txt,6,8,1.0,0.8888888888888888,6,9,0,1
99.txt,4,4,1.0,0.6666666666666666,4,6,0,2
629.txt,15,16,0.9375,0.64,16,25,1,9
211.txt,4,4,1.0,1.0,4,4,0,0
1005.txt,4,4,1.0,1.0,4,4,0,0
220.txt,11,8,0.7857142857142857,1.0,14,8,3,0
778.txt,9,11,1.0,1.0,9,11,0,0
57.txt,4,4,1.0,1.0,4,4,0,0
