File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1047,0.07142857142857142,0.02631578947368421,0.9318634271621704,1,1,14,38,[0.9318634271621704],0.07142857142857142,0.02631578947368421,0.9318634271621704,1,1,14,38,[0.9318634271621704],0.07142857142857142,0.02631578947368421,0.9318634271621704,1,1,14,38,[0.9318634271621704],0.21428571428571427,0.07894736842105263,0.7310729473829269,3,3,14,38,"[0.9318634271621704, 0.6609262228012085, 0.6004291921854019]",0.42857142857142855,0.13157894736842105,0.6297940313816071,6,5,14,38,"[0.9318634271621704, 0.6609262228012085, 0.6004291921854019, 0.5296472460031509, 0.5496223419904709, 0.5062757581472397]",1.0,0.3157894736842105,0.5123050035908818,14,12,14,38,"[0.9318634271621704, 0.4029375910758972, 0.6609262228012085, 0.4778568297624588, 0.38853587210178375, 0.6004291921854019, 0.5296472460031509, 0.3677680343389511, 0.4597354382276535, 0.4597354382276535, 0.469423845410347, 0.4486590474843979, 0.4832233190536499, 0.5496223419904709, 0.5062757581472397, 0.4602404534816742]"
289,0.0,0.0,0,0,0,10,16,[],0.0,0.0,0,0,0,10,16,[],0.3,0.1875,0.7335817813873291,3,3,10,16,"[0.7437142133712769, 0.731001615524292, 0.7260295152664185]",0.4,0.25,0.7191205024719238,4,4,10,16,"[0.7437142133712769, 0.731001615524292, 0.7260295152664185, 0.675736665725708]",0.7,0.375,0.6526083414043699,7,6,10,16,"[0.7437142133712769, 0.731001615524292, 0.7260295152664185, 0.5748131573200226, 0.675736665725708, 0.5773725658655167, 0.5395906567573547]",1.0,0.5625,0.5858041852712631,10,9,10,16,"[0.7437142133712769, 0.46282902359962463, 0.731001615524292, 0.7260295152664185, 0.4191986620426178, 0.5748131573200226, 0.675736665725708, 0.4077557772397995, 0.5773725658655167, 0.5395906567573547]"
510,0.5,0.8,0.9505551308393478,4,4,8,5,"[0.9999998211860657, 0.9746981263160706, 0.9132091999053955, 0.9143133759498596]",0.5,0.8,0.9505551308393478,4,4,8,5,"[0.9999998211860657, 0.9746981263160706, 0.9132091999053955, 0.9143133759498596]",0.625,1.0,0.9194686532020568,5,5,8,5,"[0.9999998211860657, 0.9746981263160706, 0.9132091999053955, 0.9143133759498596, 0.7951227426528931]",0.625,1.0,0.9194686532020568,5,5,8,5,"[0.9999998211860657, 0.9746981263160706, 0.9132091999053955, 0.9143133759498596, 0.7951227426528931]",0.625,1.0,0.9194686532020568,5,5,8,5,"[0.9999998211860657, 0.9746981263160706, 0.9132091999053955, 0.9143133759498596, 0.7951227426528931]",0.625,1.0,0.9194686532020568,5,5,8,5,"[0.9999998211860657, 0.9746981263160706, 0.9132091999053955, 0.9143133759498596, 0.7951227426528931]"
921,0.1111111111111111,0.14285714285714285,0.9383523464202881,1,1,9,7,[0.9383523464202881],0.1111111111111111,0.14285714285714285,0.9383523464202881,1,1,9,7,[0.9383523464202881],0.2222222222222222,0.2857142857142857,0.8447826504707336,2,2,9,7,"[0.9383523464202881, 0.7512129545211792]",0.3333333333333333,0.42857142857142855,0.7695517937342325,3,3,9,7,"[0.9383523464202881, 0.7512129545211792, 0.6190900802612305]",0.5555555555555556,0.7142857142857143,0.6838565766811371,5,5,9,7,"[0.9383523464202881, 0.7512129545211792, 0.5761451572179794, 0.6190900802612305, 0.5344823449850082]",0.6666666666666666,0.8571428571428571,0.6178075422843298,6,6,9,7,"[0.9383523464202881, 0.28756237030029297, 0.7512129545211792, 0.5761451572179794, 0.6190900802612305, 0.5344823449850082]"
29,0.0,0.0,0,0,0,5,4,[],0.2,0.25,0.8537381291389465,1,1,5,4,[0.8537381291389465],0.2,0.25,0.8537381291389465,1,1,5,4,[0.8537381291389465],0.6,0.75,0.7350056519110998,3,3,5,4,"[0.8537381291389465, 0.6707778871059418, 0.680500939488411]",0.6,0.75,0.7350056519110998,3,3,5,4,"[0.8537381291389465, 0.6707778871059418, 0.680500939488411]",0.8,1.0,0.6560615114867687,4,4,5,4,"[0.8537381291389465, 0.41922909021377563, 0.6707778871059418, 0.680500939488411]"
855,0.0,0.0,0,0,0,10,17,[],0.0,0.0,0,0,0,10,17,[],0.1,0.058823529411764705,0.734944224357605,1,1,10,17,[0.734944224357605],0.2,0.11764705882352941,0.680673360824585,2,2,10,17,"[0.734944224357605, 0.6264024972915649]",0.5,0.4117647058823529,0.5950300821236202,5,7,10,17,"[0.734944224357605, 0.5678352564573288, 0.6264024972915649, 0.5909907221794128, 0.5234181135892868, 0.5617259740829468, 0.559893786907196]",1.0,0.6470588235294118,0.47526349613200064,10,11,10,17,"[0.734944224357605, 0.5678352564573288, 0.4472305178642273, 0.3995632231235504, 0.6264024972915649, 0.3171074166893959, 0.45362086594104767, 0.4357652813196182, 0.5909907221794128, 0.3761640638113022, 0.5234181135892868, 0.2764768898487091, 0.47856640815734863, 0.4854838252067566, 0.4370489716529846, 0.5617259740829468, 0.39959727227687836, 0.46941857039928436, 0.4375670999288559, 0.42480865120887756, 0.4618149995803833, 0.46561577916145325, 0.559893786907196]"
666,0.16666666666666666,0.18181818181818182,1.0000000596046448,2,2,12,11,"[1.0000001192092896, 1.0]",0.16666666666666666,0.18181818181818182,1.0000000596046448,2,2,12,11,"[1.0000001192092896, 1.0]",0.3333333333333333,0.36363636363636365,0.8588650599122047,4,4,12,11,"[0.7225868105888367, 0.7128733098506927, 1.0000001192092896, 1.0]",0.5,0.45454545454545453,0.7920390466849009,6,5,12,11,"[0.7225868105888367, 0.7128733098506927, 0.6488638818264008, 0.6679101586341858, 1.0000001192092896, 1.0]",0.5833333333333334,0.5454545454545454,0.7640870256083352,7,6,12,11,"[0.7225868105888367, 0.7128733098506927, 0.596374899148941, 0.6488638818264008, 0.6679101586341858, 1.0000001192092896, 1.0]",0.8333333333333334,0.8181818181818182,0.6582198888063431,10,9,12,11,"[0.7225868105888367, 0.49985983967781067, 0.7128733098506927, 0.596374899148941, 0.3597925305366516, 0.6488638818264008, 0.6679101586341858, 1.0000001192092896, 1.0, 0.37393733859062195]"
470,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8805976510047913,1,1,1,1,[0.8805976510047913],1.0,1.0,0.8805976510047913,1,1,1,1,[0.8805976510047913],1.0,1.0,0.8805976510047913,1,1,1,1,[0.8805976510047913],1.0,1.0,0.8805976510047913,1,1,1,1,[0.8805976510047913],1.0,1.0,0.8805976510047913,1,1,1,1,[0.8805976510047913]
303,0.0,0.0,0,0,0,5,9,[],0.0,0.0,0,0,0,5,9,[],0.0,0.0,0,0,0,5,9,[],0.6,0.4444444444444444,0.6438110411167145,3,4,5,9,"[0.6249397397041321, 0.6387349963188171, 0.6869317293167114, 0.6098572015762329, 0.6585915386676788]",0.6,0.4444444444444444,0.6438110411167145,3,4,5,9,"[0.6249397397041321, 0.6387349963188171, 0.6869317293167114, 0.6098572015762329, 0.6585915386676788]",1.0,0.6666666666666666,0.5952571971075875,5,6,5,9,"[0.48590734601020813, 0.4618378281593323, 0.6249397397041321, 0.6387349963188171, 0.6869317293167114, 0.6098572015762329, 0.6585915386676788]"
1132,0.25,0.25,0.9404394626617432,1,1,4,4,[0.9404394626617432],0.25,0.25,0.9404394626617432,1,1,4,4,[0.9404394626617432],0.25,0.25,0.9404394626617432,1,1,4,4,[0.9404394626617432],0.5,0.5,0.7758872807025909,2,2,4,4,"[0.9404394626617432, 0.6113350987434387]",0.75,0.5,0.7133853932221731,3,2,4,4,"[0.9404394626617432, 0.5883816182613373, 0.6113350987434387]",1.0,0.75,0.6436118185520172,4,3,4,4,"[0.9404394626617432, 0.4342910945415497, 0.5883816182613373, 0.6113350987434387]"
883,0.0,0.0,0,0,0,1,7,[],0.0,0.0,0,0,0,1,7,[],1.0,0.14285714285714285,0.7141216993331909,1,1,1,7,[0.7141216993331909],1.0,0.14285714285714285,0.7141216993331909,1,1,1,7,[0.7141216993331909],1.0,0.14285714285714285,0.7141216993331909,1,1,1,7,[0.7141216993331909],1.0,0.14285714285714285,0.7141216993331909,1,1,1,7,[0.7141216993331909]
129,0.0,0.0,0,0,0,18,29,[],0.05555555555555555,0.034482758620689655,0.8435506820678711,1,1,18,29,[0.8435506820678711],0.05555555555555555,0.034482758620689655,0.8435506820678711,1,1,18,29,[0.8435506820678711],0.1111111111111111,0.06896551724137931,0.7653022408485413,2,2,18,29,"[0.8435506820678711, 0.6870537996292114]",0.3888888888888889,0.2413793103448276,0.5967792038406644,7,7,18,29,"[0.8435506820678711, 0.5449460744857788, 0.6870537996292114, 0.5496571660041809, 0.5063574910163879, 0.5378230214118958, 0.5080661922693253]",0.3888888888888889,0.2413793103448276,0.5967792038406644,7,7,18,29,"[0.8435506820678711, 0.5449460744857788, 0.6870537996292114, 0.5496571660041809, 0.5063574910163879, 0.5378230214118958, 0.5080661922693253]"
28,0.0,0.0,0,0,0,10,37,[],0.1,0.02702702702702703,0.8318881690502167,1,1,10,37,[0.8318881690502167],0.2,0.05405405405405406,0.787329226732254,2,2,10,37,"[0.7427702844142914, 0.8318881690502167]",0.6,0.21621621621621623,0.6637091040611267,6,8,10,37,"[0.6426685154438019, 0.6382400393486023, 0.7427702844142914, 0.6088584959506989, 0.6244331300258636, 0.6076681613922119, 0.613146036863327, 0.8318881690502167]",0.7,0.24324324324324326,0.6503682600127326,7,9,10,37,"[0.5436415076255798, 0.6426685154438019, 0.6382400393486023, 0.7427702844142914, 0.6088584959506989, 0.6244331300258636, 0.6076681613922119, 0.613146036863327, 0.8318881690502167]",1.0,0.32432432432432434,0.529517525807023,10,12,10,37,"[0.422782301902771, 0.293388694524765, 0.5436415076255798, 0.4924118220806122, 0.37232083082199097, 0.6426685154438019, 0.6382400393486023, 0.7427702844142914, 0.6088584959506989, 0.40702664852142334, 0.6244331300258636, 0.3525393605232239, 0.6076681613922119, 0.613146036863327, 0.8318881690502167, 0.2784964144229889]"
