file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,18,15,0.5,0.8823529411764706,36,17,18,2
289.txt,15,14,0.4838709677419355,0.9333333333333333,31,15,16,1
510.txt,11,11,0.9166666666666666,1.0,12,11,1,0
921.txt,21,11,0.84,1.0,25,11,4,0
29.txt,9,8,1.0,1.0,9,8,0,0
855.txt,17,20,0.8947368421052632,0.9090909090909091,19,22,2,2
666.txt,13,15,0.8666666666666667,1.0,15,15,2,0
470.txt,8,8,0.8,1.0,10,8,2,0
303.txt,8,7,0.5,1.0,16,7,8,0
1132.txt,5,5,0.7142857142857143,0.8333333333333334,7,6,2,1
883.txt,10,8,1.0,1.0,10,8,0,0
129.txt,21,21,0.7,0.9130434782608695,30,23,9,2
28.txt,16,11,0.8,1.0,20,11,4,0
920.txt,14,13,0.875,1.0,16,13,2,0
539.txt,21,17,1.0,1.0,21,17,0,0
511.txt,11,8,0.55,0.8888888888888888,20,9,9,1
1085.txt,12,7,0.7058823529411765,1.0,17,7,5,0
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,21,22,0.8076923076923077,0.9565217391304348,26,23,5,2
842.txt,8,6,0.8888888888888888,1.0,9,6,1,0
856.txt,6,7,0.75,1.0,8,7,2,0
103.txt,17,15,1.0,1.0,17,15,0,0
117.txt,18,16,0.6206896551724138,1.0,29,16,11,0
1130.txt,9,9,0.5625,0.9,16,10,7,1
499.txt,8,8,0.5333333333333333,1.0,15,8,7,0
102.txt,9,9,0.9,1.0,10,9,1,0
857.txt,7,6,1.0,1.0,7,6,0,0
17.txt,3,3,0.75,1.0,4,3,1,0
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,10,8,0.7692307692307693,1.0,13,8,3,0
516.txt,13,15,1.0,1.0,13,15,0,0
933.txt,39,39,0.8863636363636364,0.7647058823529411,44,51,5,12
853.txt,9,8,0.75,1.0,12,8,3,0
884.txt,6,7,0.6,1.0,10,7,4,0
1121.txt,4,4,0.8,1.0,5,4,1,0
304.txt,12,12,1.0,1.0,12,12,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,7,0.7777777777777778,1.0,9,7,2,0
1134.txt,17,16,0.7083333333333334,0.9411764705882353,24,17,7,1
661.txt,6,6,0.75,1.0,8,6,2,0
649.txt,8,8,0.8888888888888888,1.0,9,8,1,0
852.txt,8,7,0.4444444444444444,1.0,18,7,10,0
1097.txt,6,7,0.8571428571428571,1.0,7,7,1,0
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,8,1.0,1.0,8,8,0,0
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,5,9,0.8333333333333334,1.0,6,9,1,0
930.txt,6,5,0.8571428571428571,1.0,7,5,1,0
139.txt,12,9,1.0,1.0,12,9,0,0
111.txt,3,3,1.0,1.0,3,3,0,0
474.txt,31,14,0.7045454545454546,1.0,44,14,13,0
1123.txt,6,5,0.46153846153846156,0.8333333333333334,13,6,7,1
110.txt,5,3,0.8333333333333334,1.0,6,3,1,0
886.txt,11,8,1.0,1.0,11,8,0,0
39.txt,6,4,1.0,0.8,6,5,0,1
11.txt,10,12,0.7142857142857143,1.0,14,12,4,1
716.txt,7,7,0.4666666666666667,1.0,15,7,8,0
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,26,27,0.7222222222222222,0.7297297297297297,36,37,10,10
1232.txt,26,27,0.5531914893617021,0.627906976744186,47,43,21,16
956.txt,24,20,0.6666666666666666,1.0,36,20,12,0
759.txt,4,4,0.5,1.0,8,4,4,0
