File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1047,0.030303030303030304,0.07142857142857142,0.9833145141601562,1,1,33,14,[0.9833145141601562],0.030303030303030304,0.07142857142857142,0.9833145141601562,1,1,33,14,[0.9833145141601562],0.030303030303030304,0.07142857142857142,0.9833145141601562,1,1,33,14,[0.9833145141601562],0.09090909090909091,0.21428571428571427,0.7437888781229655,3,3,33,14,"[0.9833145141601562, 0.6268079876899719, 0.6212441325187683]",0.12121212121212122,0.21428571428571427,0.6845836788415909,4,3,33,14,"[0.9833145141601562, 0.6268079876899719, 0.6212441325187683, 0.506968080997467]",0.48484848484848486,0.5,0.4833359744618921,16,7,33,14,"[0.9833145141601562, 0.4117506146430969, 0.3887876272201538, 0.3682767301797867, 0.290746808052063, 0.35312850773334503, 0.42435015738010406, 0.4680615961551666, 0.48004665970802307, 0.6268079876899719, 0.44044366478919983, 0.4943067878484726, 0.40761981904506683, 0.6212441325187683, 0.506968080997467, 0.4774969667196274, 0.47336091101169586]"
289,0.0,0.0,0,0,0,23,10,[],0.043478260869565216,0.1,0.8528525829315186,1,1,23,10,[0.8528525829315186],0.08695652173913043,0.2,0.7919271141290665,2,2,23,10,"[0.8528525829315186, 0.7310016453266144]",0.2608695652173913,0.4,0.7026164134343466,6,4,23,10,"[0.8528525829315186, 0.7310016453266144, 0.6618366539478302, 0.6947007179260254, 0.6160262823104858, 0.6592805981636047]",0.2608695652173913,0.4,0.7026164134343466,6,4,23,10,"[0.8528525829315186, 0.7310016453266144, 0.6618366539478302, 0.6947007179260254, 0.6160262823104858, 0.6592805981636047]",0.391304347826087,0.6,0.6022036522626877,9,6,23,10,"[0.8528525829315186, 0.45812517404556274, 0.7310016453266144, 0.6618366539478302, 0.458997905254364, 0.45347753167152405, 0.4357374310493469, 0.6947007179260254, 0.6160262823104858, 0.6592805981636047]"
510,0.0,0.0,0,0,0,11,8,[],0.09090909090909091,0.125,0.8524928689002991,1,1,11,8,[0.8524928689002991],0.2727272727272727,0.375,0.7846028606096903,3,3,11,8,"[0.8524928689002991, 0.7181645631790161, 0.7831511497497559]",0.2727272727272727,0.375,0.7846028606096903,3,3,11,8,"[0.8524928689002991, 0.7181645631790161, 0.7831511497497559]",0.36363636363636365,0.5,0.7236085087060928,4,4,11,8,"[0.8524928689002991, 0.7181645631790161, 0.7831511497497559, 0.5406254529953003]",0.9090909090909091,0.625,0.4993730729276484,10,5,11,8,"[0.8524928689002991, 0.7181645631790161, 0.21889090538024902, 0.4408668279647827, 0.34278586506843567, 0.7831511497497559, 0.4407588541507721, 0.4183160364627838, 0.37619635462760925, 0.3608549237251282, 0.5406254529953003]"
921,0.14285714285714285,0.1111111111111111,0.9383523464202881,1,1,7,9,[0.9383523464202881],0.14285714285714285,0.1111111111111111,0.9383523464202881,1,1,7,9,[0.9383523464202881],0.2857142857142857,0.2222222222222222,0.8447826504707336,2,2,7,9,"[0.9383523464202881, 0.7512129545211792]",0.2857142857142857,0.2222222222222222,0.8447826504707336,2,2,7,9,"[0.9383523464202881, 0.7512129545211792]",0.7142857142857143,0.5555555555555556,0.6731232285499573,5,5,7,9,"[0.9383523464202881, 0.7512129545211792, 0.5761451572179794, 0.5965049266815186, 0.5034007579088211]",1.0,0.6666666666666666,0.5796781671898705,7,6,7,9,"[0.9383523464202881, 0.2601677179336548, 0.7512129545211792, 0.5761451572179794, 0.5965049266815186, 0.43196330964565277, 0.5034007579088211]"
29,0.0,0.0,0,0,0,4,5,[],0.25,0.2,0.8380234241485596,1,1,4,5,[0.8380234241485596],0.25,0.2,0.8380234241485596,1,1,4,5,[0.8380234241485596],0.75,0.6,0.7280916124582291,3,3,4,5,"[0.8380234241485596, 0.6684486567974091, 0.6778027564287186]",0.75,0.6,0.7280916124582291,3,3,4,5,"[0.8380234241485596, 0.6684486567974091, 0.6778027564287186]",1.0,0.8,0.663916852325201,4,4,4,5,"[0.8380234241485596, 0.47139257192611694, 0.6684486567974091, 0.6778027564287186]"
855,0.0,0.0,0,0,0,13,10,[],0.0,0.0,0,0,0,13,10,[],0.15384615384615385,0.2,0.741882398724556,2,2,13,10,"[0.7820271849632263, 0.7017376124858856]",0.6153846153846154,0.5,0.6575224306434393,8,5,13,10,"[0.7820271849632263, 0.6439367532730103, 0.62331822514534, 0.6264024972915649, 0.6561598777770996, 0.6252681463956833, 0.6013291478157043, 0.7017376124858856]",0.6923076923076923,0.6,0.6372216328978538,9,6,13,10,"[0.7820271849632263, 0.6439367532730103, 0.62331822514534, 0.6264024972915649, 0.5686723589897156, 0.6561598777770996, 0.6252681463956833, 0.5433645248413086, 0.6013291478157043, 0.7017376124858856]",1.0,0.9,0.4885644258364387,13,9,13,10,"[0.7820271849632263, 0.6439367532730103, 0.2752110958099365, 0.30717146396636963, 0.62331822514534, 0.6264024972915649, 0.3594135344028473, 0.4730501174926758, 0.5686723589897156, 0.6561598777770996, 0.6252681463956833, 0.2685874402523041, 0.3959576487541199, 0.3150025010108948, 0.5433645248413086, 0.6013291478157043, 0.4794703423976898, 0.4266701936721802, 0.49577564001083374, 0.2929590940475464, 0.29795610904693604, 0.7017376124858856, 0.4775402843952179]"
666,0.09090909090909091,0.08333333333333333,0.9579482078552246,1,1,11,12,[0.9579482078552246],0.18181818181818182,0.16666666666666666,0.9068694114685059,2,2,11,12,"[0.9579482078552246, 0.8557906150817871]",0.2727272727272727,0.25,0.8422040442625681,3,3,11,12,"[0.7128733098506927, 0.9579482078552246, 0.8557906150817871]",0.6363636363636364,0.5,0.7281838357448578,7,6,11,12,"[0.6431834697723389, 0.7128733098506927, 0.6071845889091492, 0.6535725295543671, 0.666734129190445, 0.9579482078552246, 0.8557906150817871]",0.6363636363636364,0.5,0.7281838357448578,7,6,11,12,"[0.6431834697723389, 0.7128733098506927, 0.6071845889091492, 0.6535725295543671, 0.666734129190445, 0.9579482078552246, 0.8557906150817871]",1.0,0.75,0.6195750724185597,11,9,11,12,"[0.6431834697723389, 0.4796609878540039, 0.7128733098506927, 0.6071845889091492, 0.469901442527771, 0.6535725295543671, 0.666734129190445, 0.9579482078552246, 0.8557906150817871, 0.35974380373954773, 0.40873271226882935]"
470,0.0,0.0,0,0,0,4,1,[],0.0,0.0,0,0,0,4,1,[],0.25,1.0,0.7940095663070679,1,1,4,1,[0.7940095663070679],0.25,1.0,0.7940095663070679,1,1,4,1,[0.7940095663070679],0.25,1.0,0.7940095663070679,1,1,4,1,[0.7940095663070679],0.25,1.0,0.7940095663070679,1,1,4,1,[0.7940095663070679]
303,0.0,0.0,0,0,0,16,5,[],0.0,0.0,0,0,0,16,5,[],0.0,0.0,0,0,0,16,5,[],0.0625,0.2,0.6387349963188171,1,1,16,5,[0.6387349963188171],0.1875,0.6,0.5631910264492035,3,3,16,5,"[0.6387349963188171, 0.5096219480037689, 0.5412161350250244]",0.3125,1.0,0.520661735534668,5,5,16,5,"[0.48590734601020813, 0.42782825231552124, 0.6387349963188171, 0.5096219480037689, 0.5412161350250244]"
1132,0.25,0.25,0.9404394626617432,1,1,4,4,[0.9404394626617432],0.25,0.25,0.9404394626617432,1,1,4,4,[0.9404394626617432],0.25,0.25,0.9404394626617432,1,1,4,4,[0.9404394626617432],0.5,0.5,0.7878490388393402,2,2,4,4,"[0.9404394626617432, 0.6352586150169373]",0.75,0.75,0.7249176899592081,3,3,4,4,"[0.9404394626617432, 0.5990549921989441, 0.6352586150169373]",1.0,1.0,0.6539981439709663,4,4,4,4,"[0.9404394626617432, 0.44123950600624084, 0.5990549921989441, 0.6352586150169373]"
