file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,17,14,1.0,0.9333333333333333,17,15,0,1
289.txt,14,14,0.9333333333333333,1.0,15,14,1,0
510.txt,11,13,1.0,1.0,11,13,0,0
921.txt,11,11,1.0,1.0,11,11,0,0
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,22,18,1.0,0.9,22,20,0,2
666.txt,14,16,0.9333333333333333,0.8888888888888888,15,18,1,2
470.txt,8,8,1.0,0.8888888888888888,8,9,0,1
303.txt,6,7,0.8571428571428571,0.6363636363636364,7,11,1,4
1132.txt,5,4,0.8333333333333334,0.6666666666666666,6,6,1,2
883.txt,8,6,1.0,0.6666666666666666,8,9,0,3
129.txt,21,19,0.9130434782608695,0.9047619047619048,23,21,2,2
28.txt,11,19,1.0,0.95,11,20,0,1
920.txt,13,15,1.0,1.0,13,15,0,0
539.txt,17,16,1.0,1.0,17,16,0,0
511.txt,8,9,0.8888888888888888,1.0,9,9,1,0
1085.txt,2,2,0.2857142857142857,0.3333333333333333,7,6,5,4
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,19,16,0.8260869565217391,0.8421052631578947,23,19,4,3
842.txt,6,7,1.0,0.875,6,8,0,1
856.txt,6,6,0.8571428571428571,0.75,7,8,1,2
103.txt,15,15,1.0,0.8823529411764706,15,17,0,2
117.txt,16,13,1.0,0.7222222222222222,16,18,0,5
1130.txt,10,10,1.0,0.6666666666666666,10,15,0,5
499.txt,8,9,1.0,1.0,8,9,0,0
102.txt,9,9,1.0,0.8181818181818182,9,11,0,2
857.txt,6,5,1.0,0.625,6,8,0,3
17.txt,3,3,1.0,0.75,3,4,0,1
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,8,9,1.0,0.9,8,10,0,1
516.txt,12,11,0.8,1.0,15,11,3,0
933.txt,31,25,0.6078431372549019,0.8928571428571429,51,28,20,3
853.txt,8,7,1.0,0.7777777777777778,8,9,0,2
884.txt,6,7,0.8571428571428571,1.0,7,7,1,0
1121.txt,4,4,1.0,0.6666666666666666,4,6,0,2
304.txt,12,11,1.0,1.0,12,11,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,7,1.0,0.7777777777777778,7,9,0,2
1134.txt,17,13,1.0,0.8666666666666667,17,15,0,2
661.txt,6,5,1.0,0.8333333333333334,6,6,0,1
649.txt,8,8,1.0,1.0,8,8,0,0
852.txt,7,17,1.0,0.8095238095238095,7,21,0,4
1097.txt,7,9,1.0,1.0,7,9,0,0
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,9,1.0,1.0,8,9,0,0
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,9,5,1.0,0.8333333333333334,9,6,0,1
930.txt,5,6,1.0,1.0,5,6,0,0
139.txt,9,9,1.0,1.0,9,9,0,0
111.txt,3,3,1.0,0.75,3,4,0,1
474.txt,13,17,0.9285714285714286,0.8095238095238095,14,21,1,4
1123.txt,6,5,1.0,0.4166666666666667,6,12,0,7
110.txt,3,3,1.0,0.75,3,4,0,1
886.txt,8,11,1.0,0.9166666666666666,8,12,0,1
39.txt,5,5,1.0,1.0,5,5,0,0
