File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1047,0.07142857142857142,0.06666666666666667,0.9732851982116699,1,1,14,15,[0.9732851982116699],0.07142857142857142,0.06666666666666667,0.9732851982116699,1,1,14,15,[0.9732851982116699],0.07142857142857142,0.06666666666666667,0.9732851982116699,1,1,14,15,[0.9732851982116699],0.14285714285714285,0.13333333333333333,0.7873155772686005,2,2,14,15,"[0.9732851982116699, 0.601345956325531]",0.42857142857142855,0.3333333333333333,0.6317627678314844,6,5,14,15,"[0.9732851982116699, 0.5879552662372589, 0.5604174733161926, 0.601345956325531, 0.5337863564491272, 0.5337863564491272]",0.6428571428571429,0.4666666666666667,0.5679106066624323,9,7,14,15,"[0.9732851982116699, 0.48465701937675476, 0.5879552662372589, 0.3882427215576172, 0.44771911203861237, 0.5604174733161926, 0.601345956325531, 0.5337863564491272, 0.5337863564491272]"
289,0.1,0.1,0.9330417811870575,1,1,10,10,[0.9330417811870575],0.3,0.3,0.8672333161036173,3,3,10,10,"[0.848565399646759, 0.8200927674770355, 0.9330417811870575]",0.5,0.5,0.8250498056411744,5,5,10,10,"[0.848565399646759, 0.8200927674770355, 0.9330417811870575, 0.7827007472515106, 0.7408483326435089]",0.5,0.5,0.8250498056411744,5,5,10,10,"[0.848565399646759, 0.8200927674770355, 0.9330417811870575, 0.7827007472515106, 0.7408483326435089]",0.8,0.8,0.7087377309799194,8,8,10,10,"[0.5257951021194458, 0.848565399646759, 0.8200927674770355, 0.5050359964370728, 0.9330417811870575, 0.5138217210769653, 0.7827007472515106, 0.7408483326435089]",1.0,0.9,0.6469198927283287,10,9,10,10,"[0.32361823320388794, 0.5257951021194458, 0.848565399646759, 0.8200927674770355, 0.5050359964370728, 0.9330417811870575, 0.47567884624004364, 0.5138217210769653, 0.7827007472515106, 0.7408483326435089]"
510,0.0,0.0,0,0,0,8,9,[],0.0,0.0,0,0,0,8,9,[],0.0,0.0,0,0,0,8,9,[],0.125,0.1111111111111111,0.6270627975463867,1,1,8,9,[0.6270627975463867],0.25,0.2222222222222222,0.5838441252708435,2,2,8,9,"[0.6270627975463867, 0.5406254529953003]",1.0,0.6666666666666666,0.44940605759620667,8,6,8,9,"[0.3129953145980835, 0.44221556186676025, 0.375556081533432, 0.33550912141799927, 0.4719600975513458, 0.49797123670578003, 0.6270627975463867, 0.4407588541507721, 0.5406254529953003]"
921,0.0,0.0,0,0,0,9,7,[],0.0,0.0,0,0,0,9,7,[],0.1111111111111111,0.14285714285714285,0.7506506443023682,1,1,9,7,[0.7506506443023682],0.3333333333333333,0.42857142857142855,0.6944958964983622,3,3,9,7,"[0.7506506443023682, 0.6666130423545837, 0.6662240028381348]",0.5555555555555556,0.7142857142857143,0.6414929211139679,5,5,9,7,"[0.7506506443023682, 0.6666130423545837, 0.5874204337596893, 0.6662240028381348, 0.5365564823150635]",0.6666666666666666,0.8571428571428571,0.610370859503746,6,6,9,7,"[0.7506506443023682, 0.4547605514526367, 0.6666130423545837, 0.5874204337596893, 0.6662240028381348, 0.5365564823150635]"
29,0.0,0.0,0,0,0,5,4,[],0.0,0.0,0,0,0,5,4,[],0.2,0.25,0.7911734580993652,1,1,5,4,[0.7911734580993652],0.6,0.75,0.7235861569643021,3,3,5,4,"[0.7911734580993652, 0.6876446008682251, 0.6919404119253159]",0.6,0.75,0.7235861569643021,3,3,5,4,"[0.7911734580993652, 0.6876446008682251, 0.6919404119253159]",0.8,1.0,0.6546082459390163,4,4,5,4,"[0.7911734580993652, 0.4476745128631592, 0.6876446008682251, 0.6919404119253159]"
855,0.0,0.0,0,0,0,10,13,[],0.0,0.0,0,0,0,10,13,[],0.1,0.07692307692307693,0.7200540900230408,1,1,10,13,[0.7200540900230408],0.2,0.15384615384615385,0.6705908328294754,2,2,10,13,"[0.7200540900230408, 0.62112757563591]",0.6,0.6153846153846154,0.5668828129768372,6,8,10,13,"[0.7200540900230408, 0.5958045721054077, 0.62112757563591, 0.55975741147995, 0.5234181135892868, 0.5257068872451782, 0.551050215959549, 0.525092601776123, 0.5137897878885269, 0.5330268740653992]",1.0,0.9230769230769231,0.44851576245349384,10,12,10,13,"[0.7200540900230408, 0.5958045721054077, 0.3138704299926758, 0.3511841893196106, 0.62112757563591, 0.3540685176849365, 0.3594135344028473, 0.24406123161315918, 0.55975741147995, 0.3761640638113022, 0.5234181135892868, 0.2764768898487091, 0.44267016649246216, 0.5257068872451782, 0.4334627389907837, 0.551050215959549, 0.34648677706718445, 0.525092601776123, 0.46453601121902466, 0.4060562998056412, 0.5137897878885269, 0.2785835564136505, 0.5330268740653992]"
666,0.0,0.0,0,0,0,12,13,[],0.0,0.0,0,0,0,12,13,[],0.16666666666666666,0.15384615384615385,0.7270803898572922,2,2,12,13,"[0.712873250246048, 0.7412875294685364]",0.4166666666666667,0.3076923076923077,0.6847297012805938,5,4,12,13,"[0.712873250246048, 0.6570737659931183, 0.6761199533939362, 0.7412875294685364, 0.6362940073013306]",0.5,0.38461538461538464,0.6692728971441587,6,5,12,13,"[0.712873250246048, 0.5919888764619827, 0.6570737659931183, 0.6761199533939362, 0.7412875294685364, 0.6362940073013306]",0.75,0.6153846153846154,0.5739193740818236,9,8,12,13,"[0.3540331721305847, 0.4233510494232178, 0.712873250246048, 0.5919888764619827, 0.37225276231765747, 0.6570737659931183, 0.6761199533939362, 0.7412875294685364, 0.6362940073013306]"
470,1.0,1.0,0.9726067781448364,1,1,1,1,[0.9726067781448364],1.0,1.0,0.9726067781448364,1,1,1,1,[0.9726067781448364],1.0,1.0,0.9726067781448364,1,1,1,1,[0.9726067781448364],1.0,1.0,0.9726067781448364,1,1,1,1,[0.9726067781448364],1.0,1.0,0.9726067781448364,1,1,1,1,[0.9726067781448364],1.0,1.0,0.9726067781448364,1,1,1,1,[0.9726067781448364]
303,0.0,0.0,0,0,0,5,7,[],0.0,0.0,0,0,0,5,7,[],0.2,0.14285714285714285,0.7810766398906708,1,1,5,7,[0.7810766398906708],0.6,0.42857142857142855,0.6796539425849915,3,3,5,7,"[0.7810766398906708, 0.6737242639064789, 0.6483001112937927, 0.6155147552490234]",0.8,0.5714285714285714,0.6460684061050415,4,4,5,7,"[0.5117262601852417, 0.7810766398906708, 0.6737242639064789, 0.6483001112937927, 0.6155147552490234]",1.0,0.7142857142857143,0.5704594339643206,5,5,5,7,"[0.5117262601852417, 0.3918730914592743, 0.7810766398906708, 0.6737242639064789, 0.37100091576576233, 0.6483001112937927, 0.6155147552490234]"
1132,0.0,0.0,0,0,0,4,4,[],0.25,0.25,0.8704239130020142,1,1,4,4,[0.8704239130020142],0.75,0.75,0.7877478003501892,3,3,4,4,"[0.8704239130020142, 0.7224001288414001, 0.7704193592071533]",0.75,0.75,0.7877478003501892,3,3,4,4,"[0.8704239130020142, 0.7224001288414001, 0.7704193592071533]",1.0,1.0,0.723363846540451,4,4,4,4,"[0.8704239130020142, 0.5302119851112366, 0.7224001288414001, 0.7704193592071533]",1.0,1.0,0.723363846540451,4,4,4,4,"[0.8704239130020142, 0.5302119851112366, 0.7224001288414001, 0.7704193592071533]"
883,0.0,0.0,0,0,0,1,6,[],0.0,0.0,0,0,0,1,6,[],0.0,0.0,0,0,0,1,6,[],1.0,0.16666666666666666,0.6622463464736938,1,1,1,6,[0.6622463464736938],1.0,0.16666666666666666,0.6622463464736938,1,1,1,6,[0.6622463464736938],1.0,0.16666666666666666,0.6622463464736938,1,1,1,6,[0.6622463464736938]
129,0.0,0.0,0,0,0,18,15,[],0.1111111111111111,0.13333333333333333,0.8317333161830902,2,2,18,15,"[0.8262672424316406, 0.8371993899345398]",0.2222222222222222,0.26666666666666666,0.7722563296556473,4,4,18,15,"[0.8262672424316406, 0.8371993899345398, 0.7134886980056763, 0.7120699882507324]",0.3333333333333333,0.4,0.7302493751049042,6,6,18,15,"[0.8262672424316406, 0.8371993899345398, 0.6434262096881866, 0.6490447223186493, 0.7134886980056763, 0.7120699882507324]",0.3333333333333333,0.4,0.7302493751049042,6,6,18,15,"[0.8262672424316406, 0.8371993899345398, 0.6434262096881866, 0.6490447223186493, 0.7134886980056763, 0.7120699882507324]",0.6111111111111112,0.6,0.6066831458698619,11,9,18,15,"[0.8262672424316406, 0.8371993899345398, 0.6434262096881866, 0.6490447223186493, 0.7134886980056763, 0.7120699882507324, 0.4477558732032776, 0.4492947608232498, 0.48308713734149933, 0.4378821551799774, 0.47399842739105225]"
28,0.0,0.0,0,0,0,10,17,[],0.1,0.058823529411764705,0.8972721099853516,1,1,10,17,[0.8972721099853516],0.1,0.058823529411764705,0.8972721099853516,1,1,10,17,[0.8972721099853516],0.3,0.17647058823529413,0.7474386195341746,3,3,10,17,"[0.8972721099853516, 0.6552143096923828, 0.6898294389247894]",0.8,0.47058823529411764,0.6159602608531713,8,8,10,17,"[0.5124103426933289, 0.5740820169448853, 0.5178520679473877, 0.5557782053947449, 0.8972721099853516, 0.6552143096923828, 0.5252435952425003, 0.6898294389247894]",1.0,0.5882352941176471,0.5372462670008341,10,10,10,17,"[0.5124103426933289, 0.28780898451805115, 0.4014301300048828, 0.5740820169448853, 0.3485656976699829, 0.5178520679473877, 0.5557782053947449, 0.4814683049917221, 0.8972721099853516, 0.6552143096923828, 0.5252435952425003, 0.6898294389247894]"
920,0.09090909090909091,0.125,0.9170960783958435,1,1,11,8,[0.9170960783958435],0.09090909090909091,0.125,0.9170960783958435,1,1,11,8,[0.9170960783958435],0.18181818181818182,0.25,0.8441996574401855,2,2,11,8,"[0.9170960783958435, 0.7713032364845276]",0.2727272727272727,0.375,0.7870640754699707,3,3,11,8,"[0.9170960783958435, 0.672792911529541, 0.7713032364845276]",0.36363636363636365,0.5,0.7259567305445671,4,4,11,8,"[0.9170960783958435, 0.5426346957683563, 0.672792911529541, 0.7713032364845276]",0.5454545454545454,0.75,0.5972766528526942,6,6,11,8,"[0.9170960783958435, 0.3005852699279785, 0.5426346957683563, 0.672792911529541, 0.7713032364845276, 0.3792477250099182]"
539,0.07692307692307693,0.08333333333333333,1.0,1,1,13,12,[1.0],0.07692307692307693,0.08333333333333333,1.0,1,1,13,12,[1.0],0.3076923076923077,0.3333333333333333,0.8011593446135521,4,4,13,12,"[0.7124687433242798, 0.766511857509613, 0.7256567776203156, 1.0]",0.38461538461538464,0.4166666666666667,0.7625027239322663,5,5,13,12,"[0.7124687433242798, 0.766511857509613, 0.7256567776203156, 1.0, 0.6078762412071228]",0.6923076923076923,0.6666666666666666,0.6542710393667222,9,8,13,12,"[0.7124687433242798, 0.766511857509613, 0.7256567776203156, 1.0, 0.5142640471458435, 0.5814828872680664, 0.5801801681518555, 0.5165127813816071, 0.5377568900585175, 0.6078762412071228]",0.9230769230769231,0.8333333333333334,0.5779718477278948,12,10,13,12,"[0.7124687433242798, 0.45129507780075073, 0.766511857509613, 0.7256567776203156, 1.0, 0.5142640471458435, 0.49285265803337097, 0.4947398751974106, 0.5814828872680664, 0.5801801681518555, 0.3886827975511551, 0.43707671761512756, 0.5165127813816071, 0.4401920437812805, 0.5377568900585175, 0.6078762412071228]"
511,0.0,0.0,0,0,0,8,7,[],0.0,0.0,0,0,0,8,7,[],0.125,0.14285714285714285,0.7872349917888641,1,1,8,7,[0.7872349917888641],0.5,0.42857142857142855,0.7073121145367622,4,3,8,7,"[0.6735200881958008, 0.7872349917888641, 0.6821740865707397, 0.6863192915916443]",0.625,0.5714285714285714,0.6818343043327332,5,4,8,7,"[0.6735200881958008, 0.7872349917888641, 0.5799230635166168, 0.6821740865707397, 0.6863192915916443]",1.0,1.0,0.5494895622134208,8,7,8,7,"[0.6735200881958008, 0.41518306732177734, 0.7872349917888641, 0.5799230635166168, 0.4291585385799408, 0.3700908124446869, 0.4035279005765915, 0.6821740865707397, 0.4677637815475464, 0.6863192915916443]"
1085,0.0,0.0,0,0,0,5,4,[],0.0,0.0,0,0,0,5,4,[],0.0,0.0,0,0,0,5,4,[],0.0,0.0,0,0,0,5,4,[],0.2,0.25,0.5085828304290771,1,1,5,4,[0.5085828304290771],0.8,0.75,0.45560234412550926,4,3,5,4,"[0.5085828304290771, 0.4285656809806824, 0.44982506334781647, 0.43543580174446106]"
1046,1.0,1.0,0.9571118950843811,1,1,1,1,[0.9571118950843811],1.0,1.0,0.9571118950843811,1,1,1,1,[0.9571118950843811],1.0,1.0,0.9571118950843811,1,1,1,1,[0.9571118950843811],1.0,1.0,0.9571118950843811,1,1,1,1,[0.9571118950843811],1.0,1.0,0.9571118950843811,1,1,1,1,[0.9571118950843811],1.0,1.0,0.9571118950843811,1,1,1,1,[0.9571118950843811]
