file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,12,11,0.6666666666666666,0.6470588235294118,18,17,6,6
289.txt,14,15,1.0,1.0,14,15,0,0
510.txt,9,9,0.9,0.8181818181818182,10,11,1,2
921.txt,16,11,0.9411764705882353,1.0,17,11,1,0
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,17,21,1.0,0.9545454545454546,17,22,0,1
666.txt,13,15,0.9285714285714286,1.0,14,15,1,0
470.txt,9,8,1.0,1.0,9,8,0,0
303.txt,7,7,0.7,1.0,10,7,3,0
1132.txt,5,5,0.7142857142857143,0.8333333333333334,7,6,2,1
883.txt,6,7,0.8571428571428571,0.875,7,8,1,1
129.txt,15,16,0.9375,0.6956521739130435,16,23,1,7
28.txt,15,11,0.7894736842105263,1.0,19,11,4,0
920.txt,11,13,0.9166666666666666,1.0,12,13,1,0
539.txt,18,17,0.9,1.0,20,17,2,0
511.txt,12,8,1.0,0.8888888888888888,12,9,0,1
1085.txt,9,6,0.8181818181818182,0.8571428571428571,11,7,2,1
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,25,16,1.0,0.6956521739130435,25,23,0,7
842.txt,7,6,0.875,1.0,8,6,1,0
856.txt,8,7,0.8888888888888888,1.0,9,7,1,0
103.txt,18,15,1.0,1.0,18,15,0,1
117.txt,19,16,0.8636363636363636,1.0,22,16,3,0
1130.txt,11,10,0.9166666666666666,1.0,12,10,1,1
499.txt,8,7,0.8888888888888888,0.875,9,8,1,1
102.txt,9,9,0.8181818181818182,1.0,11,9,2,0
857.txt,7,6,1.0,1.0,7,6,0,0
17.txt,4,3,1.0,1.0,4,3,0,0
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,6,6,0.8571428571428571,0.75,7,8,1,2
516.txt,11,14,1.0,0.9333333333333333,11,15,0,1
933.txt,19,32,0.9047619047619048,0.6274509803921569,21,51,2,19
853.txt,8,8,0.8888888888888888,1.0,9,8,1,0
884.txt,6,6,0.8571428571428571,0.8571428571428571,7,7,1,1
1121.txt,4,4,0.8,1.0,5,4,1,0
304.txt,11,12,1.0,1.0,11,12,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,6,7,0.75,1.0,8,7,2,0
1134.txt,12,16,0.9230769230769231,0.9411764705882353,13,17,1,1
661.txt,5,6,1.0,1.0,5,6,0,0
649.txt,11,8,0.9166666666666666,1.0,12,8,1,0
852.txt,11,7,0.7333333333333333,1.0,15,7,4,0
1097.txt,9,7,1.0,1.0,9,7,0,0
267.txt,4,5,1.0,1.0,4,5,0,0
1081.txt,8,8,1.0,1.0,8,8,0,0
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,5,9,0.8333333333333334,1.0,6,9,1,0
930.txt,7,5,0.875,1.0,8,5,1,0
139.txt,10,9,1.0,1.0,10,9,0,0
111.txt,4,3,1.0,1.0,4,3,0,0
474.txt,15,12,0.8823529411764706,0.8571428571428571,17,14,2,2
1123.txt,7,6,0.5833333333333334,1.0,12,6,5,0
110.txt,3,3,0.75,1.0,4,3,1,1
886.txt,8,8,0.6666666666666666,1.0,12,8,4,0
39.txt,5,5,1.0,1.0,5,5,0,0
11.txt,13,12,0.65,1.0,20,12,7,0
716.txt,10,7,0.6666666666666666,1.0,15,7,5,0
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,24,29,0.7741935483870968,0.7837837837837838,31,37,7,8
1232.txt,24,29,0.9230769230769231,0.6744186046511628,26,43,2,14
956.txt,20,20,0.8,1.0,25,20,5,0
759.txt,6,4,0.75,1.0,8,4,2,0
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,7,1.0,1.0,7,7,0,0
375.txt,4,4,0.8,1.0,5,4,1,0
1187.txt,8,9,0.8,0.6428571428571429,10,14,2,5
1193.txt,18,19,1.0,1.0,18,19,0,0
349.txt,6,6,1.0,1.0,6,6,0,0
348.txt,11,14,0.39285714285714285,0.9333333333333333,28,15,17,1
406.txt,8,4,0.5714285714285714,1.0,14,4,6,0
1186.txt,6,6,0.75,1.0,8,6,2,0
1151.txt,4,3,0.6666666666666666,1.0,6,3,2,0
189.txt,6,6,1.0,1.0,6,6,0,0
980.txt,11,10,0.9166666666666666,1.0,12,10,1,0
770.txt,8,12,0.8,0.9230769230769231,10,13,2,1
764.txt,6,6,0.8571428571428571,0.8571428571428571,7,7,1,1
1019.txt,35,35,0.9722222222222222,0.8333333333333334,36,42,1,8
1025.txt,22,25,0.9565217391304348,0.6944444444444444,23,36,1,11
955.txt,5,4,1.0,1.0,5,4,0,0
1147.txt,7,5,0.875,1.0,8,5,1,0
438.txt,9,10,0.5625,1.0,16,10,7,0
439.txt,12,14,0.7058823529411765,0.875,17,16,5,2
411.txt,11,13,0.7333333333333333,0.9285714285714286,15,14,4,1
1146.txt,16,19,0.9411764705882353,1.0,17,19,1,0
940.txt,7,7,0.7777777777777778,1.0,9,7,2,0
1218.txt,4,4,1.0,1.0,4,4,0,0
559.txt,7,6,0.875,1.0,8,6,1,0
561.txt,14,13,0.5833333333333334,1.0,24,13,10,0
950.txt,17,17,0.8095238095238095,0.9444444444444444,21,18,4,1
373.txt,3,3,0.75,1.0,4,3,1,0
616.txt,6,5,1.0,1.0,6,5,0,0
776.txt,5,4,1.0,1.0,5,4,0,0
574.txt,6,6,1.0,1.0,6,6,0,0
953.txt,15,16,0.5,0.8,30,20,15,4
990.txt,7,8,0.7,0.8888888888888888,10,9,3,1
600.txt,16,19,0.8888888888888888,1.0,18,19,2,0
1141.txt,8,9,0.8888888888888888,0.8181818181818182,9,11,1,2
1155.txt,11,7,0.6875,1.0,16,7,5,0
416.txt,7,5,1.0,1.0,7,5,0,0
1196.txt,3,3,1.0,1.0,3,3,0,0
371.txt,8,8,1.0,1.0,8,8,0,0
359.txt,6,6,0.6,1.0,10,6,4,0
99.txt,6,4,1.0,1.0,6,4,0,0
629.txt,19,16,0.7307692307692307,1.0,26,16,7,0
211.txt,4,4,0.6666666666666666,1.0,6,4,2,0
1005.txt,4,4,1.0,1.0,4,4,0,0
220.txt,9,9,0.9,0.6428571428571429,10,14,1,5
778.txt,10,9,1.0,1.0,10,9,0,0
57.txt,4,4,1.0,1.0,4,4,0,0
5.txt,16,19,0.9411764705882353,1.0,17,19,1,0
803.txt,3,3,1.0,1.0,3,3,0,0
618.txt,13,8,1.0,1.0,13,8,0,0
368.txt,4,4,1.0,1.0,4,4,0,0
427.txt,11,7,0.9166666666666666,0.875,12,8,1,1
341.txt,13,15,1.0,0.8823529411764706,13,17,0,2
95.txt,14,13,0.8235294117647058,0.8125,17,16,3,3
631.txt,6,4,0.75,0.8,8,5,2,1
962.txt,22,20,1.0,1.0,22,20,0,0
584.txt,9,7,1.0,1.0,9,7,0,0
1010.txt,6,7,0.8571428571428571,1.0,7,7,1,0
551.txt,9,8,0.9,1.0,10,8,1,0
948.txt,19,21,0.9047619047619048,0.6774193548387096,21,31,2,10
753.txt,12,8,0.8571428571428571,0.8,14,10,2,2
141.txt,7,6,0.875,1.0,8,6,1,0
394.txt,17,19,0.8095238095238095,0.95,21,20,4,1
343.txt,4,5,0.5714285714285714,1.0,7,5,3,0
395.txt,6,8,1.0,1.0,6,8,0,0
96.txt,12,11,0.8,0.9166666666666666,15,12,3,1
41.txt,14,16,1.0,0.8888888888888888,14,18,0,2
236.txt,5,5,1.0,1.0,5,5,0,0
550.txt,10,9,0.7692307692307693,1.0,13,9,3,0
597.txt,11,9,1.0,1.0,11,9,0,0
232.txt,10,10,1.0,1.0,10,10,0,0
971.txt,8,5,0.8888888888888888,0.8333333333333334,9,6,1,1
51.txt,13,11,0.8125,0.7857142857142857,16,14,3,3
