File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1047,0.0,0.0,0,0,0,23,14,[],0.0,0.0,0,0,0,23,14,[],0.0,0.0,0,0,0,23,14,[],0.08695652173913043,0.07142857142857142,0.6106272041797638,2,1,23,14,"[0.6106272041797638, 0.6106272041797638]",0.17391304347826086,0.21428571428571427,0.5808488093316555,4,3,23,14,"[0.6106272041797638, 0.6106272041797638, 0.5991864502429962, 0.5029543787240982]",0.6086956521739131,0.7857142857142857,0.45941463112831116,14,11,23,14,"[0.25378480553627014, 0.3428203761577606, 0.6106272041797638, 0.6106272041797638, 0.479988694190979, 0.5991864502429962, 0.41848887503147125, 0.3758629560470581, 0.35037338733673096, 0.4580603390932083, 0.4971788376569748, 0.4971788376569748, 0.5029543787240982, 0.4346724897623062]"
289,0.0,0.0,0,0,0,10,10,[],0.0,0.0,0,0,0,10,10,[],0.2,0.2,0.7826471477746964,2,2,10,10,"[0.7756814062595367, 0.789612889289856]",0.2,0.2,0.7826471477746964,2,2,10,10,"[0.7756814062595367, 0.789612889289856]",0.4,0.3,0.663514144718647,4,3,10,10,"[0.7756814062595367, 0.789612889289856, 0.5259701013565063, 0.562792181968689]",1.0,0.7,0.5099652573466301,10,7,10,10,"[0.32361823320388794, 0.46518541872501373, 0.7756814062595367, 0.789612889289856, 0.4791259765625, 0.4917699098587036, 0.33671385049819946, 0.5259701013565063, 0.3491826057434082, 0.562792181968689]"
510,0.0,0.0,0,0,0,11,8,[],0.09090909090909091,0.125,0.8255078196525574,1,1,11,8,[0.8255078196525574],0.36363636363636365,0.375,0.7665451467037201,4,3,11,8,"[0.8255078196525574, 0.7181645631790161, 0.7831511497497559, 0.739357054233551]",0.36363636363636365,0.375,0.7665451467037201,4,3,11,8,"[0.8255078196525574, 0.7181645631790161, 0.7831511497497559, 0.739357054233551]",0.45454545454545453,0.5,0.7213612079620362,5,4,11,8,"[0.8255078196525574, 0.7181645631790161, 0.7831511497497559, 0.739357054233551, 0.5406254529953003]",0.9090909090909091,0.625,0.5575703904032707,10,5,11,8,"[0.8255078196525574, 0.7181645631790161, 0.21889090538024902, 0.28189319372177124, 0.49797123670578003, 0.48808610439300537, 0.4820564240217209, 0.7831511497497559, 0.739357054233551, 0.5406254529953003]"
921,0.0,0.0,0,0,0,7,9,[],0.0,0.0,0,0,0,7,9,[],0.2857142857142857,0.2222222222222222,0.7733373790979385,2,2,7,9,"[0.798653244972229, 0.7480215132236481]",0.42857142857142855,0.3333333333333333,0.7376328408718109,3,3,7,9,"[0.798653244972229, 0.7480215132236481, 0.6662237644195557]",0.7142857142857143,0.5555555555555556,0.6596221446990966,5,5,7,9,"[0.798653244972229, 0.7480215132236481, 0.5529312491416931, 0.6662237644195557, 0.5322809517383575]",1.0,0.6666666666666666,0.5959287967000689,7,6,7,9,"[0.798653244972229, 0.4547605514526367, 0.7480215132236481, 0.5529312491416931, 0.6662237644195557, 0.41863030195236206, 0.5322809517383575]"
29,0.0,0.0,0,0,0,4,5,[],0.0,0.0,0,0,0,4,5,[],0.25,0.2,0.7231307625770569,1,1,4,5,[0.7231307625770569],0.75,0.6,0.68610680103302,3,3,4,5,"[0.7231307625770569, 0.6880428493022919, 0.6471467912197113]",0.75,0.6,0.68610680103302,3,3,4,5,"[0.7231307625770569, 0.6880428493022919, 0.6471467912197113]",1.0,0.8,0.6163515448570251,4,4,4,5,"[0.7231307625770569, 0.4070857763290405, 0.6880428493022919, 0.6471467912197113]"
855,0.0,0.0,0,0,0,13,10,[],0.0,0.0,0,0,0,13,10,[],0.15384615384615385,0.2,0.7687744200229645,2,2,13,10,"[0.7934550642967224, 0.7440937757492065]",0.3076923076923077,0.4,0.6952648088335991,4,4,13,10,"[0.7934550642967224, 0.6223828196525574, 0.62112757563591, 0.7440937757492065]",0.38461538461538464,0.5,0.6681490629911423,5,5,13,10,"[0.7934550642967224, 0.6223828196525574, 0.62112757563591, 0.7440937757492065, 0.559686079621315]",0.7692307692307693,0.8,0.5094958931207657,10,8,13,10,"[0.7934550642967224, 0.6223828196525574, 0.30284956097602844, 0.2968624234199524, 0.62112757563591, 0.4532706290483475, 0.7440937757492065, 0.35678720474243164, 0.34444379806518555, 0.559686079621315]"
666,0.0,0.0,0,0,0,11,12,[],0.09090909090909091,0.08333333333333333,0.873766303062439,1,1,11,12,[0.873766303062439],0.2727272727272727,0.25,0.7622578044732412,3,3,11,12,"[0.873766303062439, 0.7128733098506927, 0.7001338005065918]",0.5454545454545454,0.4166666666666667,0.7062560270229975,6,5,11,12,"[0.873766303062439, 0.6261358857154846, 0.7128733098506927, 0.6567167043685913, 0.6679101586341858, 0.7001338005065918]",0.7272727272727273,0.5833333333333334,0.663129722699523,8,7,11,12,"[0.873766303062439, 0.5053202360868454, 0.6261358857154846, 0.7128733098506927, 0.6567167043685913, 0.6679101586341858, 0.7001338005065918, 0.5621813833713531]",1.0,0.75,0.5907832790504802,11,9,11,12,"[0.873766303062439, 0.5053202360868454, 0.6261358857154846, 0.7128733098506927, 0.43134303390979767, 0.6567167043685913, 0.6679101586341858, 0.7001338005065918, 0.5621813833713531, 0.39119383692741394, 0.3710414171218872]"
470,1.0,1.0,0.9597633481025696,1,1,1,1,[0.9597633481025696],1.0,1.0,0.9597633481025696,1,1,1,1,[0.9597633481025696],1.0,1.0,0.9597633481025696,1,1,1,1,[0.9597633481025696],1.0,1.0,0.9597633481025696,1,1,1,1,[0.9597633481025696],1.0,1.0,0.9597633481025696,1,1,1,1,[0.9597633481025696],1.0,1.0,0.9597633481025696,1,1,1,1,[0.9597633481025696]
303,0.0,0.0,0,0,0,8,5,[],0.125,0.2,0.8721543550491333,1,1,8,5,[0.8721543550491333],0.375,0.4,0.7684908310572306,3,2,8,5,"[0.7091093063354492, 0.7242088317871094, 0.8721543550491333]",0.625,0.8,0.7275322258472443,5,4,8,5,"[0.6938062310218811, 0.7091093063354492, 0.7242088317871094, 0.8721543550491333, 0.6383824050426483]",0.625,0.8,0.7275322258472443,5,4,8,5,"[0.6938062310218811, 0.7091093063354492, 0.7242088317871094, 0.8721543550491333, 0.6383824050426483]",0.75,1.0,0.6889217545588812,6,5,8,5,"[0.6938062310218811, 0.49586939811706543, 0.7091093063354492, 0.7242088317871094, 0.8721543550491333, 0.6383824050426483]"
1132,0.0,0.0,0,0,0,4,4,[],0.25,0.25,0.8108435869216919,1,1,4,4,[0.8108435869216919],0.5,0.5,0.765596553683281,2,2,4,4,"[0.8108435869216919, 0.72034952044487]",0.5,0.5,0.765596553683281,2,2,4,4,"[0.8108435869216919, 0.72034952044487]",0.75,0.75,0.6925155818462372,3,3,4,4,"[0.8108435869216919, 0.72034952044487, 0.5463536381721497]",1.0,1.0,0.6296965554356575,4,4,4,4,"[0.8108435869216919, 0.44123947620391846, 0.72034952044487, 0.5463536381721497]"
