file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,14,16,0.9333333333333333,0.9411764705882353,15,17,1,1
289.txt,17,15,0.9444444444444444,1.0,18,15,1,0
510.txt,11,11,0.8461538461538461,1.0,13,11,2,0
921.txt,11,11,0.9166666666666666,1.0,12,11,1,0
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,17,22,1.0,1.0,17,22,0,0
666.txt,15,15,0.8333333333333334,1.0,18,15,3,0
470.txt,8,8,0.8888888888888888,1.0,9,8,1,0
303.txt,9,7,0.6923076923076923,1.0,13,7,4,0
1132.txt,7,6,0.875,1.0,8,6,1,0
883.txt,6,7,0.8571428571428571,0.875,7,8,1,1
129.txt,26,22,1.0,0.9565217391304348,26,23,0,1
28.txt,16,11,0.8421052631578947,1.0,19,11,3,0
920.txt,15,13,0.9375,1.0,16,13,1,0
539.txt,17,17,0.9444444444444444,1.0,18,17,1,0
511.txt,10,8,0.9090909090909091,0.8888888888888888,11,9,1,1
1085.txt,14,7,0.9333333333333333,1.0,15,7,1,0
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,18,19,0.8571428571428571,0.8260869565217391,21,23,3,4
842.txt,8,6,0.8888888888888888,1.0,9,6,1,0
856.txt,6,7,0.75,1.0,8,7,2,0
103.txt,16,15,1.0,1.0,16,15,0,0
117.txt,17,16,0.85,1.0,20,16,3,0
1130.txt,12,9,1.0,0.9,12,10,0,1
499.txt,8,8,0.6666666666666666,1.0,12,8,4,0
102.txt,11,9,1.0,1.0,11,9,0,0
857.txt,6,6,0.75,1.0,8,6,2,0
17.txt,4,3,1.0,1.0,4,3,0,0
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,12,8,0.8,1.0,15,8,3,0
516.txt,13,15,1.0,1.0,13,15,0,0
933.txt,36,42,0.9230769230769231,0.8235294117647058,39,51,3,9
853.txt,8,8,0.8,1.0,10,8,2,0
884.txt,6,7,0.8571428571428571,1.0,7,7,1,0
1121.txt,4,4,1.0,1.0,4,4,0,0
304.txt,12,12,1.0,1.0,12,12,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,7,0.6363636363636364,1.0,11,7,4,0
1134.txt,15,16,1.0,0.9411764705882353,15,17,0,1
661.txt,6,6,0.75,1.0,8,6,2,0
649.txt,9,8,0.9,1.0,10,8,1,0
852.txt,8,7,0.7272727272727273,1.0,11,7,3,0
1097.txt,8,7,0.8888888888888888,1.0,9,7,1,0
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,8,0.8888888888888888,1.0,9,8,1,0
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,5,9,0.7142857142857143,1.0,7,9,2,0
930.txt,7,5,1.0,1.0,7,5,0,0
139.txt,12,9,1.0,1.0,12,9,0,0
111.txt,3,3,1.0,1.0,3,3,0,0
474.txt,16,13,0.8421052631578947,0.9285714285714286,19,14,3,1
1123.txt,6,6,0.5454545454545454,1.0,11,6,5,0
110.txt,3,3,0.6,1.0,5,3,2,0
886.txt,11,8,0.9166666666666666,1.0,12,8,1,0
39.txt,5,5,1.0,1.0,5,5,0,0
11.txt,12,11,0.8,0.9166666666666666,15,12,3,1
716.txt,9,7,1.0,1.0,9,7,0,0
266.txt,14,14,1.0,1.0,14,14,0,1
229.txt,26,28,0.7222222222222222,0.7567567567567568,36,37,10,9
1232.txt,39,39,0.8863636363636364,0.9069767441860465,44,43,5,4
956.txt,21,20,0.6,1.0,35,20,14,0
759.txt,6,4,0.8571428571428571,1.0,7,4,1,0
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,7,1.0,1.0,7,7,0,0
375.txt,5,4,0.8333333333333334,1.0,6,4,1,0
1187.txt,9,14,0.75,1.0,12,14,3,0
1193.txt,21,19,1.0,1.0,21,19,0,0
349.txt,5,6,0.7142857142857143,1.0,7,6,2,0
348.txt,17,15,0.6296296296296297,1.0,27,15,10,0
406.txt,5,4,0.5555555555555556,1.0,9,4,4,0
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,0,0,0.0,0.0,10,3,10,3
189.txt,6,6,1.0,1.0,6,6,0,0
980.txt,9,10,0.8181818181818182,1.0,11,10,2,0
770.txt,10,13,1.0,1.0,10,13,0,0
764.txt,7,7,0.7777777777777778,1.0,9,7,2,0
1019.txt,36,37,0.8,0.8809523809523809,45,42,9,5
1025.txt,28,31,0.9655172413793104,0.8611111111111112,29,36,1,5
955.txt,5,4,1.0,1.0,5,4,0,0
1147.txt,5,5,0.625,1.0,8,5,3,0
438.txt,9,10,0.75,1.0,12,10,3,1
439.txt,16,16,0.64,1.0,25,16,9,0
411.txt,15,14,1.0,1.0,15,14,0,0
1146.txt,19,19,0.7037037037037037,1.0,27,19,8,0
940.txt,7,7,0.7,1.0,10,7,3,0
1218.txt,4,4,1.0,1.0,4,4,0,0
559.txt,8,6,0.8888888888888888,1.0,9,6,1,0
561.txt,11,11,0.6470588235294118,0.8461538461538461,17,13,6,2
950.txt,17,17,0.9444444444444444,0.9444444444444444,18,18,1,1
373.txt,3,3,0.6,1.0,5,3,2,0
616.txt,6,5,1.0,1.0,6,5,0,0
776.txt,4,4,0.8,1.0,5,4,1,0
574.txt,6,6,1.0,1.0,6,6,0,0
953.txt,19,19,0.8260869565217391,0.95,23,20,4,1
990.txt,8,9,0.6153846153846154,1.0,13,9,5,0
600.txt,16,18,0.8421052631578947,0.9473684210526315,19,19,3,1
1141.txt,9,10,0.9,0.9090909090909091,10,11,1,1
1155.txt,10,7,0.45454545454545453,1.0,22,7,12,0
416.txt,12,5,1.0,1.0,12,5,0,0
1196.txt,3,3,1.0,1.0,3,3,0,0
371.txt,8,8,1.0,1.0,8,8,0,0
359.txt,6,6,0.6,1.0,10,6,4,0
99.txt,4,4,0.6666666666666666,1.0,6,4,2,0
629.txt,19,16,0.7307692307692307,1.0,26,16,7,1
211.txt,6,4,1.0,1.0,6,4,0,0
1005.txt,4,4,0.8,1.0,5,4,1,0
220.txt,8,14,1.0,1.0,8,14,0,0
778.txt,12,9,1.0,1.0,12,9,0,0
57.txt,4,4,1.0,1.0,4,4,0,0
5.txt,20,19,1.0,1.0,20,19,0,0
803.txt,4,3,1.0,1.0,4,3,0,0
618.txt,12,8,0.8571428571428571,1.0,14,8,2,0
368.txt,4,4,0.8,1.0,5,4,1,0
427.txt,11,8,0.6111111111111112,1.0,18,8,7,0
341.txt,16,15,1.0,0.8823529411764706,16,17,0,2
95.txt,16,15,0.9411764705882353,0.9375,17,16,1,1
631.txt,7,5,0.875,1.0,8,5,1,0
962.txt,20,19,1.0,0.95,20,20,0,1
584.txt,11,7,0.7857142857142857,1.0,14,7,3,0
1010.txt,9,7,0.8181818181818182,1.0,11,7,2,0
551.txt,6,8,0.8571428571428571,1.0,7,8,1,0
948.txt,20,29,0.9523809523809523,0.9354838709677419,21,31,1,2
753.txt,13,9,1.0,0.9,13,10,0,1
141.txt,7,6,1.0,1.0,7,6,0,0
394.txt,21,20,0.6176470588235294,1.0,34,20,13,0
343.txt,6,5,0.75,1.0,8,5,2,0
395.txt,8,8,0.8888888888888888,1.0,9,8,1,0
96.txt,19,12,1.0,1.0,19,12,0,0
41.txt,14,18,1.0,1.0,14,18,0,0
236.txt,5,5,1.0,1.0,5,5,0,0
550.txt,9,9,0.6923076923076923,1.0,13,9,4,0
597.txt,9,9,0.9,1.0,10,9,1,0
232.txt,9,10,1.0,1.0,9,10,0,0
971.txt,8,6,1.0,1.0,8,6,0,0
51.txt,13,13,0.7222222222222222,0.9285714285714286,18,14,5,1
811.txt,26,27,0.9629629629629629,0.6136363636363636,27,44,1,17
839.txt,6,6,1.0,1.0,6,6,0,0
144.txt,17,17,1.0,1.0,17,17,0,0
636.txt,8,6,1.0,0.8571428571428571,8,7,0,1
1188.txt,14,17,0.875,1.0,16,17,2,0
347.txt,4,3,0.8,1.0,5,3,1,0
637.txt,13,12,0.7222222222222222,0.9230769230769231,18,13,5,1
151.txt,6,5,1.0,1.0,6,5,0,0
623.txt,0,0,0.0,0.0,15,19,15,19
186.txt,11,11,0.8461538461538461,1.0,13,11,2,0
233.txt,2,2,1.0,0.6666666666666666,2,3,0,1
1028.txt,8,10,0.7272727272727273,0.9090909090909091,11,11,3,1
543.txt,9,8,1.0,1.0,9,8,0,0
796.txt,5,5,0.8333333333333334,1.0,6,5,1,0
999.txt,11,11,0.7857142857142857,1.0,14,11,3,0
153.txt,3,3,1.0,1.0,3,3,0,0
351.txt,11,12,0.9166666666666666,1.0,12,12,1,0
344.txt,16,17,1.0,1.0,16,17,0,0
350.txt,9,9,0.9,1.0,10,9,1,0
191.txt,4,4,1.0,1.0,4,4,0,0
1.txt,14,14,0.7368421052631579,0.9333333333333333,19,15,5,1
1203.txt,3,3,0.6,1.0,5,3,2,0
