File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1010,0.0,0.0,0,0,0,11,6,[],0.0,0.0,0,0,0,11,6,[],0.0,0.0,0,0,0,11,6,[],0.09090909090909091,0.16666666666666666,0.6189146637916565,1,1,11,6,[0.6189146637916565],0.09090909090909091,0.16666666666666666,0.6189146637916565,1,1,11,6,[0.6189146637916565],0.45454545454545453,0.8333333333333334,0.44764943718910216,5,5,11,6,"[0.4239974617958069, 0.3959258198738098, 0.41376812756061554, 0.38564111292362213, 0.6189146637916565]"
1015,0.75,0.75,0.948306659857432,3,3,4,4,"[0.9390513300895691, 1.0000001192092896, 0.9058685302734375]",0.75,0.75,0.948306659857432,3,3,4,4,"[0.9390513300895691, 1.0000001192092896, 0.9058685302734375]",0.75,0.75,0.948306659857432,3,3,4,4,"[0.9390513300895691, 1.0000001192092896, 0.9058685302734375]",0.75,0.75,0.948306659857432,3,3,4,4,"[0.9390513300895691, 1.0000001192092896, 0.9058685302734375]",0.75,0.75,0.948306659857432,3,3,4,4,"[0.9390513300895691, 1.0000001192092896, 0.9058685302734375]",1.0,1.0,0.8156833201646805,4,4,4,4,"[0.9390513300895691, 0.4178133010864258, 1.0000001192092896, 0.9058685302734375]"
1,0.15384615384615385,0.18181818181818182,0.9694852828979492,2,2,13,11,"[0.9533631801605225, 0.985607385635376]",0.23076923076923078,0.2727272727272727,0.9180030425389608,3,3,13,11,"[0.8150385618209839, 0.9533631801605225, 0.985607385635376]",0.3076923076923077,0.36363636363636365,0.8854252398014069,4,4,13,11,"[0.8150385618209839, 0.7876918315887451, 0.9533631801605225, 0.985607385635376]",0.38461538461538464,0.45454545454545453,0.8364233493804931,5,5,13,11,"[0.8150385618209839, 0.7876918315887451, 0.9533631801605225, 0.985607385635376, 0.6404157876968384]",0.38461538461538464,0.45454545454545453,0.8364233493804931,5,5,13,11,"[0.8150385618209839, 0.7876918315887451, 0.9533631801605225, 0.985607385635376, 0.6404157876968384]",0.5384615384615384,0.6363636363636364,0.7195342353412083,7,7,13,11,"[0.8150385618209839, 0.7876918315887451, 0.9533631801605225, 0.985607385635376, 0.3962594270706177, 0.6404157876968384, 0.45836347341537476]"
1005,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298]
1019,0.0,0.0,0,0,0,36,33,[],0.0,0.0,0,0,0,36,33,[],0.027777777777777776,0.030303030303030304,0.7852433323860168,1,1,36,33,[0.7852433323860168],0.05555555555555555,0.06060606060606061,0.7422975301742554,2,2,36,33,"[0.7852433323860168, 0.6993517279624939]",0.05555555555555555,0.06060606060606061,0.7422975301742554,2,2,36,33,"[0.7852433323860168, 0.6993517279624939]",0.1111111111111111,0.09090909090909091,0.5675376877188683,4,3,36,33,"[0.7852433323860168, 0.31582167744636536, 0.6993517279624939, 0.4697340130805969]"
102,0.0,0.0,0,0,0,4,1,[],0.0,0.0,0,0,0,4,1,[],0.0,0.0,0,0,0,4,1,[],0.25,1.0,0.6508370637893677,1,1,4,1,[0.6508370637893677],0.25,1.0,0.6508370637893677,1,1,4,1,[0.6508370637893677],0.25,1.0,0.6508370637893677,1,1,4,1,[0.6508370637893677]
1025,0.16,0.14285714285714285,1.000000149011612,4,4,25,28,"[1.0000000596046448, 1.0000001788139343, 1.000000238418579, 1.0000001192092896]",0.24,0.21428571428571427,0.9399014115333557,6,6,25,28,"[0.8230258822441101, 1.0000000596046448, 1.0000001788139343, 1.000000238418579, 1.0000001192092896, 0.8163819909095764]",0.24,0.21428571428571427,0.9399014115333557,6,6,25,28,"[0.8230258822441101, 1.0000000596046448, 1.0000001788139343, 1.000000238418579, 1.0000001192092896, 0.8163819909095764]",0.52,0.42857142857142855,0.771828888782433,13,12,25,28,"[0.8230258822441101, 1.0000000596046448, 1.0000001788139343, 0.6103660762310028, 0.680594727396965, 0.624693751335144, 0.6065381169319153, 0.697905033826828, 0.6662624478340149, 1.000000238418579, 1.0000001192092896, 0.6780672073364258, 0.6017686128616333, 0.8163819909095764]",0.64,0.5714285714285714,0.6604368007845349,16,16,25,28,"[0.8230258822441101, 1.0000000596046448, 1.0000001788139343, 0.5442100167274475, 0.5033000111579895, 0.6103660762310028, 0.680594727396965, 0.5218281298875809, 0.624693751335144, 0.5685511827468872, 0.5710193514823914, 0.6065381169319153, 0.697905033826828, 0.5182344317436218, 0.57137531042099, 0.5585743188858032, 0.6662624478340149, 1.000000238418579, 1.0000001192092896, 0.5562017560005188, 0.6780672073364258, 0.6017686128616333, 0.5274358540773392, 0.5770115554332733, 0.8163819909095764, 0.5005350410938263, 0.5079122185707092]",1.0,0.8214285714285714,0.5654071648915608,25,23,25,28,"[0.8230258822441101, 0.4363686144351959, 1.0000000596046448, 1.0000001788139343, 0.5442100167274475, 0.34517383575439453, 0.4672850966453552, 0.5033000111579895, 0.6103660762310028, 0.42771077156066895, 0.680594727396965, 0.41611723601818085, 0.5218281298875809, 0.624693751335144, 0.5685511827468872, 0.5710193514823914, 0.6065381169319153, 0.4538574665784836, 0.697905033826828, 0.41989436745643616, 0.5182344317436218, 0.3164236545562744, 0.57137531042099, 0.35955068469047546, 0.5585743188858032, 0.6662624478340149, 1.000000238418579, 1.0000001192092896, 0.5562017560005188, 0.6780672073364258, 0.45813804864883423, 0.6017686128616333, 0.5274358540773392, 0.38781142234802246, 0.5770115554332733, 0.4444114714860916, 0.8163819909095764, 0.5005350410938263, 0.4501742571592331, 0.4333888441324234, 0.396276593208313, 0.5079122185707092, 0.4290444105863571, 0.49681855738162994, 0.4730834662914276]"
1028,0.0,0.0,0,0,0,11,9,[],0.0,0.0,0,0,0,11,9,[],0.09090909090909091,0.1111111111111111,0.7368061542510986,1,1,11,9,[0.7368061542510986],0.09090909090909091,0.1111111111111111,0.7368061542510986,1,1,11,9,[0.7368061542510986],0.45454545454545453,0.5555555555555556,0.5880058318376541,5,5,11,9,"[0.7368061542510986, 0.5148777514696121, 0.5770692229270935, 0.5928409099578857, 0.5184351205825806]",0.8181818181818182,0.7777777777777778,0.5186734828684065,9,7,11,9,"[0.7368061542510986, 0.4677012860774994, 0.5148777514696121, 0.5770692229270935, 0.4695574641227722, 0.5928409099578857, 0.4024904668331146, 0.38828296959400177, 0.5184351205825806]"
103,0.36363636363636365,0.3333333333333333,0.9640963971614838,4,4,11,12,"[1.0000001192092896, 0.9889312386512756, 0.9550893306732178, 0.9123649001121521]",0.6363636363636364,0.5833333333333334,0.9088706076145172,7,7,11,12,"[0.8309434056282043, 1.0000001192092896, 0.8292905986309052, 0.8454746603965759, 0.9889312386512756, 0.9550893306732178, 0.9123649001121521]",0.6363636363636364,0.5833333333333334,0.9088706076145172,7,7,11,12,"[0.8309434056282043, 1.0000001192092896, 0.8292905986309052, 0.8454746603965759, 0.9889312386512756, 0.9550893306732178, 0.9123649001121521]",0.8181818181818182,0.75,0.8498464292950101,9,9,11,12,"[0.8309434056282043, 0.6440700739622116, 0.6424535363912582, 1.0000001192092896, 0.8292905986309052, 0.8454746603965759, 0.9889312386512756, 0.9550893306732178, 0.9123649001121521]",0.9090909090909091,0.8333333333333334,0.8148911833763123,10,10,11,12,"[0.8309434056282043, 0.6440700739622116, 0.6424535363912582, 1.0000001192092896, 0.5002939701080322, 0.8292905986309052, 0.8454746603965759, 0.9889312386512756, 0.9550893306732178, 0.9123649001121521]",1.0,0.9166666666666666,0.7731216549873352,11,11,11,12,"[0.8309434056282043, 0.3554263710975647, 0.6440700739622116, 0.6424535363912582, 1.0000001192092896, 0.5002939701080322, 0.8292905986309052, 0.8454746603965759, 0.9889312386512756, 0.9550893306732178, 0.9123649001121521]"
1046,0.0,0.0,0,0,0,1,1,[],0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.7833855152130127,1,1,1,1,[0.7833855152130127],1.0,1.0,0.7833855152130127,1,1,1,1,[0.7833855152130127],1.0,1.0,0.7833855152130127,1,1,1,1,[0.7833855152130127],1.0,1.0,0.7833855152130127,1,1,1,1,[0.7833855152130127]
