File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1,0.18181818181818182,0.15384615384615385,0.9694852828979492,2,2,11,13,"[0.9533631801605225, 0.985607385635376]",0.2727272727272727,0.23076923076923078,0.9180030425389608,3,3,11,13,"[0.8150385618209839, 0.9533631801605225, 0.985607385635376]",0.36363636363636365,0.3076923076923077,0.8854252398014069,4,4,11,13,"[0.8150385618209839, 0.7876918315887451, 0.9533631801605225, 0.985607385635376]",0.45454545454545453,0.38461538461538464,0.8364233493804931,5,5,11,13,"[0.8150385618209839, 0.7876918315887451, 0.9533631801605225, 0.985607385635376, 0.6404157876968384]",0.5454545454545454,0.38461538461538464,0.7822568068901697,6,5,11,13,"[0.8150385618209839, 0.7876918315887451, 0.9533631801605225, 0.985607385635376, 0.6404157876968384, 0.5114240944385529]",0.8181818181818182,0.5384615384615384,0.6606567319896486,9,7,11,13,"[0.8150385618209839, 0.7876918315887451, 0.9533631801605225, 0.985607385635376, 0.3962594270706177, 0.6404157876968384, 0.5114240944385529, 0.45836347341537476, 0.39774684607982635]"
1015,0.75,0.75,0.948306659857432,3,3,4,4,"[0.9390513300895691, 1.0000001192092896, 0.9058685302734375]",0.75,0.75,0.948306659857432,3,3,4,4,"[0.9390513300895691, 1.0000001192092896, 0.9058685302734375]",0.75,0.75,0.948306659857432,3,3,4,4,"[0.9390513300895691, 1.0000001192092896, 0.9058685302734375]",0.75,0.75,0.948306659857432,3,3,4,4,"[0.9390513300895691, 1.0000001192092896, 0.9058685302734375]",0.75,0.75,0.948306659857432,3,3,4,4,"[0.9390513300895691, 1.0000001192092896, 0.9058685302734375]",1.0,1.0,0.8156833201646805,4,4,4,4,"[0.9390513300895691, 0.4178133010864258, 1.0000001192092896, 0.9058685302734375]"
1019,0.0,0.0,0,0,0,33,36,[],0.0,0.0,0,0,0,33,36,[],0.030303030303030304,0.027777777777777776,0.7852433323860168,1,1,33,36,[0.7852433323860168],0.06060606060606061,0.05555555555555555,0.7422975301742554,2,2,33,36,"[0.7852433323860168, 0.6993517279624939]",0.06060606060606061,0.05555555555555555,0.7422975301742554,2,2,33,36,"[0.7852433323860168, 0.6993517279624939]",0.12121212121212122,0.08333333333333333,0.5597738772630692,4,3,33,36,"[0.7852433323860168, 0.31582167744636536, 0.6993517279624939, 0.4386787712574005]"
102,0.0,0.0,0,0,0,1,4,[],0.0,0.0,0,0,0,1,4,[],0.0,0.0,0,0,0,1,4,[],1.0,0.25,0.6508370637893677,1,1,1,4,[0.6508370637893677],1.0,0.25,0.6508370637893677,1,1,1,4,[0.6508370637893677],1.0,0.25,0.6508370637893677,1,1,1,4,[0.6508370637893677]
1005,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298],1.0,1.0,0.8959974646568298,1,1,1,1,[0.8959974646568298]
103,0.3333333333333333,0.36363636363636365,0.9640963971614838,4,4,12,11,"[1.0000001192092896, 0.9889312386512756, 0.9550893306732178, 0.9123649001121521]",0.5833333333333334,0.6363636363636364,0.9088706076145172,7,7,12,11,"[0.8309434056282043, 1.0000001192092896, 0.8292905986309052, 0.8454746603965759, 0.9889312386512756, 0.9550893306732178, 0.9123649001121521]",0.5833333333333334,0.6363636363636364,0.9088706076145172,7,7,12,11,"[0.8309434056282043, 1.0000001192092896, 0.8292905986309052, 0.8454746603965759, 0.9889312386512756, 0.9550893306732178, 0.9123649001121521]",0.75,0.8181818181818182,0.8498464292950101,9,9,12,11,"[0.8309434056282043, 0.6440700739622116, 0.6424535363912582, 1.0000001192092896, 0.8292905986309052, 0.8454746603965759, 0.9889312386512756, 0.9550893306732178, 0.9123649001121521]",0.8333333333333334,0.9090909090909091,0.8148911833763123,10,10,12,11,"[0.8309434056282043, 0.6440700739622116, 0.6424535363912582, 1.0000001192092896, 0.5002939701080322, 0.8292905986309052, 0.8454746603965759, 0.9889312386512756, 0.9550893306732178, 0.9123649001121521]",0.9166666666666666,1.0,0.7731216549873352,11,11,12,11,"[0.8309434056282043, 0.3554263710975647, 0.6440700739622116, 0.6424535363912582, 1.0000001192092896, 0.5002939701080322, 0.8292905986309052, 0.8454746603965759, 0.9889312386512756, 0.9550893306732178, 0.9123649001121521]"
1028,0.0,0.0,0,0,0,9,11,[],0.0,0.0,0,0,0,9,11,[],0.1111111111111111,0.09090909090909091,0.7368061542510986,1,1,9,11,[0.7368061542510986],0.1111111111111111,0.09090909090909091,0.7368061542510986,1,1,9,11,[0.7368061542510986],0.6666666666666666,0.45454545454545453,0.5747541338205338,6,5,9,11,"[0.7368061542510986, 0.5770692229270935, 0.508495643734932, 0.5148777514696121, 0.5928409099578857, 0.5184351205825806]",1.0,0.6363636363636364,0.5350644340117773,9,7,9,11,"[0.7368061542510986, 0.4677012860774994, 0.5770692229270935, 0.508495643734932, 0.5148777514696121, 0.5928409099578857, 0.4024904668331146, 0.49686335027217865, 0.5184351205825806]"
1010,0.0,0.0,0,0,0,6,11,[],0.0,0.0,0,0,0,6,11,[],0.0,0.0,0,0,0,6,11,[],0.16666666666666666,0.09090909090909091,0.6189146637916565,1,1,6,11,[0.6189146637916565],0.16666666666666666,0.09090909090909091,0.6189146637916565,1,1,6,11,[0.6189146637916565],1.0,0.45454545454545453,0.4290442590912183,6,5,6,11,"[0.4239974617958069, 0.3959258198738098, 0.41376812756061554, 0.38564111292362213, 0.336018368601799, 0.6189146637916565]"
1046,0.0,0.0,0,0,0,1,1,[],0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.7833855152130127,1,1,1,1,[0.7833855152130127],1.0,1.0,0.7833855152130127,1,1,1,1,[0.7833855152130127],1.0,1.0,0.7833855152130127,1,1,1,1,[0.7833855152130127],1.0,1.0,0.7833855152130127,1,1,1,1,[0.7833855152130127]
1047,0.07142857142857142,0.07692307692307693,0.9416463077068329,1,1,14,13,[0.9416463077068329],0.35714285714285715,0.38461538461538464,0.8812540233135223,5,5,14,13,"[0.8059325218200684, 0.9416463077068329, 0.8935852944850922, 0.8791058957576752, 0.8860000967979431]",0.5,0.5384615384615384,0.8237928077578545,7,7,14,13,"[0.8059325218200684, 0.9416463077068329, 0.8935852944850922, 0.8791058957576752, 0.719688668847084, 0.7636040449142456, 0.7007796317338943, 0.8860000967979431]",0.7142857142857143,0.6923076923076923,0.7731019461696799,10,9,14,13,"[0.8059325218200684, 0.9416463077068329, 0.6291453391313553, 0.8935852944850922, 0.8791058957576752, 0.6838876307010651, 0.6007459759712219, 0.719688668847084, 0.7636040449142456, 0.7007796317338943, 0.8860000967979431]",0.8571428571428571,0.7692307692307693,0.7347479519935755,12,10,14,13,"[0.8059325218200684, 0.9416463077068329, 0.5343844294548035, 0.6291453391313553, 0.8935852944850922, 0.8791058957576752, 0.6838876307010651, 0.6007459759712219, 0.719688668847084, 0.7636040449142456, 0.7007796317338943, 0.8860000967979431, 0.5132175385951996]",1.0,1.0,0.6348245350850953,14,13,14,13,"[0.8059325218200684, 0.38015317916870117, 0.9416463077068329, 0.5343844294548035, 0.6291453391313553, 0.8935852944850922, 0.8791058957576752, 0.6838876307010651, 0.6007459759712219, 0.33728379011154175, 0.719688668847084, 0.7636040449142456, 0.7007796317338943, 0.8860000967979431, 0.5132175385951996, 0.39443130791187286, 0.30328913033008575, 0.45996084809303284]"
