file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,16,13,0.9411764705882353,0.8666666666666667,17,15,1,2
289.txt,15,15,1.0,0.9375,15,16,0,1
510.txt,11,11,1.0,0.9166666666666666,11,12,0,1
921.txt,11,11,1.0,0.8461538461538461,11,13,0,2
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,22,16,1.0,1.0,22,16,0,0
666.txt,13,13,0.8666666666666667,0.8125,15,16,2,3
470.txt,8,8,1.0,0.7272727272727273,8,11,0,3
303.txt,7,9,1.0,0.6,7,15,0,6
1132.txt,6,7,1.0,0.875,6,8,0,1
883.txt,8,8,1.0,0.7272727272727273,8,11,0,3
129.txt,23,24,1.0,0.8275862068965517,23,29,0,5
28.txt,11,22,1.0,0.9565217391304348,11,23,0,1
920.txt,13,14,1.0,0.9333333333333333,13,15,0,1
539.txt,17,18,1.0,1.0,17,18,0,0
511.txt,9,11,1.0,0.8461538461538461,9,13,0,2
1085.txt,7,12,1.0,0.8571428571428571,7,14,0,2
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,22,23,0.9565217391304348,0.9583333333333334,23,24,1,1
842.txt,6,8,1.0,0.8,6,10,0,2
856.txt,7,7,1.0,0.7777777777777778,7,9,0,2
103.txt,15,15,1.0,1.0,15,15,0,0
117.txt,16,13,1.0,0.9285714285714286,16,14,0,1
1130.txt,9,8,0.9,0.8,10,10,1,2
499.txt,8,9,1.0,0.6923076923076923,8,13,0,4
102.txt,9,9,1.0,0.9,9,10,0,1
857.txt,6,8,1.0,1.0,6,8,0,0
17.txt,3,3,1.0,0.75,3,4,0,1
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,8,12,1.0,0.9230769230769231,8,13,0,1
516.txt,14,13,0.9333333333333333,0.9285714285714286,15,14,1,1
933.txt,32,32,0.6274509803921569,0.8,51,40,19,8
853.txt,8,8,1.0,0.8888888888888888,8,9,0,1
884.txt,7,6,1.0,0.8571428571428571,7,7,0,1
1121.txt,4,5,1.0,1.0,4,5,0,0
304.txt,12,12,1.0,1.0,12,12,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,7,1.0,0.7,7,10,0,3
1134.txt,17,16,1.0,0.9411764705882353,17,17,0,1
661.txt,6,7,1.0,0.875,6,8,0,1
649.txt,8,10,1.0,0.9090909090909091,8,11,0,1
852.txt,7,8,1.0,0.8,7,10,0,2
1097.txt,7,7,1.0,0.7,7,10,0,3
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,10,1.0,1.0,8,10,0,0
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,9,5,1.0,0.7142857142857143,9,7,0,2
930.txt,5,5,1.0,0.7142857142857143,5,7,0,2
139.txt,9,9,1.0,0.75,9,12,0,3
111.txt,3,3,1.0,1.0,3,3,0,0
474.txt,13,15,0.9285714285714286,0.7894736842105263,14,19,1,4
1123.txt,6,7,1.0,0.5,6,14,0,7
110.txt,3,4,1.0,0.8,3,5,0,1
886.txt,8,11,1.0,0.9166666666666666,8,12,0,1
39.txt,5,5,1.0,1.0,5,5,0,0
11.txt,12,13,1.0,0.8666666666666667,12,15,0,2
716.txt,7,9,1.0,0.8181818181818182,7,11,0,2
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,29,25,0.7837837837837838,0.8333333333333334,37,30,10,5
1232.txt,33,31,0.7674418604651163,0.6326530612244898,43,49,10,18
956.txt,20,21,1.0,0.8076923076923077,20,26,0,5
759.txt,4,5,1.0,0.7142857142857143,4,7,0,2
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,7,1.0,1.0,7,7,0,0
375.txt,4,4,1.0,0.6666666666666666,4,6,0,2
1187.txt,14,10,1.0,0.8333333333333334,14,12,0,2
1193.txt,19,19,1.0,0.95,19,20,0,1
349.txt,6,5,1.0,0.7142857142857143,6,7,0,2
348.txt,15,16,1.0,0.5714285714285714,15,28,0,12
406.txt,4,6,1.0,0.5454545454545454,4,11,0,5
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,3,4,1.0,0.6666666666666666,3,6,0,2
189.txt,6,6,1.0,1.0,6,6,0,0
980.txt,10,9,1.0,0.75,10,12,0,3
770.txt,9,9,0.6923076923076923,0.9,13,10,4,1
764.txt,7,7,1.0,0.7777777777777778,7,9,0,2
1019.txt,38,38,0.9047619047619048,0.8260869565217391,42,46,4,8
1025.txt,28,27,0.7777777777777778,0.9,36,30,8,3
955.txt,4,5,1.0,1.0,4,5,0,0
1147.txt,5,7,1.0,0.7777777777777778,5,9,0,2
438.txt,10,11,1.0,0.5238095238095238,10,21,0,10
439.txt,16,16,1.0,0.6153846153846154,16,26,0,10
411.txt,14,13,1.0,0.8666666666666667,14,15,0,2
1146.txt,17,19,0.8947368421052632,0.7307692307692307,19,26,2,7
940.txt,7,7,1.0,0.7777777777777778,7,9,0,2
1218.txt,4,4,1.0,1.0,4,4,0,0
559.txt,6,8,1.0,0.8888888888888888,6,9,0,1
561.txt,13,13,1.0,0.7647058823529411,13,17,0,4
950.txt,18,18,1.0,0.9,18,20,0,2
373.txt,3,3,1.0,0.6,3,5,0,2
616.txt,5,5,1.0,1.0,5,5,0,0
776.txt,4,4,1.0,1.0,4,4,0,0
574.txt,6,5,1.0,1.0,6,5,0,0
953.txt,18,18,0.9,0.75,20,24,2,6
990.txt,9,11,1.0,0.6875,9,16,0,5
600.txt,19,17,1.0,0.85,19,20,1,3
1141.txt,10,10,0.9090909090909091,0.9090909090909091,11,11,1,1
1155.txt,8,18,1.1428571428571428,0.8181818181818182,7,22,0,4
416.txt,5,13,1.0,1.0,5,13,0,0
1196.txt,3,3,1.0,1.0,3,3,0,0
371.txt,8,8,1.0,1.0,8,8,0,0
359.txt,6,6,1.0,0.6666666666666666,6,9,0,3
99.txt,4,4,1.0,0.6666666666666666,4,6,0,2
629.txt,15,15,0.9375,0.5769230769230769,16,26,1,11
211.txt,4,4,1.0,1.0,4,4,0,0
1005.txt,0,0,0.0,0.0,4,4,4,4
220.txt,14,8,1.0,1.0,14,8,0,0
778.txt,9,10,1.0,0.9090909090909091,9,11,0,1
57.txt,4,4,1.0,1.0,4,4,0,0
5.txt,19,20,1.0,1.0,19,20,0,0
803.txt,3,3,1.0,0.75,3,4,0,1
618.txt,8,14,1.0,0.875,8,16,0,2
368.txt,4,4,1.0,0.8,4,5,0,1
427.txt,8,8,1.0,0.42105263157894735,8,19,0,11
341.txt,15,16,0.8823529411764706,1.0,17,16,2,0
95.txt,15,14,0.9375,0.875,16,16,1,2
631.txt,5,8,1.0,0.8888888888888888,5,9,0,1
962.txt,20,20,1.0,0.9523809523809523,20,21,0,1
584.txt,7,11,1.0,0.7333333333333333,7,15,0,4
1010.txt,7,10,1.0,0.9090909090909091,7,11,0,1
551.txt,7,6,0.875,1.0,8,6,1,0
948.txt,22,21,0.7096774193548387,1.0,31,21,9,0
753.txt,9,11,0.9,0.7333333333333333,10,15,1,4
141.txt,6,6,1.0,0.8571428571428571,6,7,0,1
394.txt,20,23,1.0,0.71875,20,32,0,9
343.txt,5,6,1.0,0.8571428571428571,5,7,0,1
395.txt,8,8,1.0,0.8888888888888888,8,9,0,1
