## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"start the ExpenseReport process by clicking Start and selecting Edit Report","start","","","",""
2,"is the expense greater than 1000","condition","1","","",""
3,"review the report","entity","2","","",""
4,"is there a need for translation","condition","2","Yes","",""
5,"translate the receipts","entity","4","","",""
6,"confirm the receipts","entity","4","","",""
7,"evaluate the review decision","condition","3","","",""
8,"evaluate the review decision","condition","5","","",""
9,"evaluate the review decision","condition","6","","",""
10,"is the report rejected","condition","7","","",""
11,"is the report rejected","condition","8","","",""
12,"is the report rejected","condition","9","","",""
13,"edit the report","entity","10","","",""
14,"edit the report","entity","11","","",""
15,"edit the report","entity","12","","",""
16,"is the report approved","condition","10","","",""
17,"is the report approved","condition","11","","",""
18,"is the report approved","condition","12","","",""
19,"is there a need for translation","condition","16","No","",""
20,"is there a need for translation","condition","17","No","",""
21,"is there a need for translation","condition","18","No","",""
22,"translate the receipts","entity","19","","",""
23,"confirm the receipts","entity","19","","",""
24,"translate the receipts","entity","20","","",""
25,"confirm the receipts","entity","20","","",""
26,"translate the receipts","entity","21","","",""
27,"confirm the receipts","entity","21","","",""
28,"evaluate the receipts decision","condition","23","","",""
29,"evaluate the receipts decision","condition","25","","",""
30,"evaluate the receipts decision","condition","27","","",""
31,"are the receipts accepted","condition","28","","",""
32,"are the receipts accepted","condition","29","","",""
33,"are the receipts accepted","condition","30","","",""
34,"process the expense","entity","31","","",""
35,"edit the report","entity","31","","",""
36,"process the expense","entity","32","","",""
37,"edit the report","entity","32","","",""
38,"process the expense","entity","33","","",""
39,"edit the report","entity","33","","",""
40,"End process","end","34","","",""
41,"End process","end","35","","",""
42,"End process","end","36","","",""
43,"End process","end","37","","",""
44,"End process","end","38","","",""
45,"End process","end","39","","",""
46,"evaluate the review decision","condition","13","","",""
47,"evaluate the review decision","condition","14","","",""
48,"evaluate the review decision","condition","15","","",""
49,"is the report rejected","condition","46","","",""
50,"is the report rejected","condition","47","","",""
51,"is the report rejected","condition","48","","",""
52,"edit the report","entity","49","","",""
53,"edit the report","entity","50","","",""
54,"edit the report","entity","51","","",""
55,"is the report approved","condition","49","","",""
56,"is the report approved","condition","50","","",""
57,"is the report approved","condition","51","","",""
58,"translate the receipts","entity","55","","",""
59,"translate the receipts","entity","56","","",""
60,"translate the receipts","entity","57","","",""
61,"confirm the receipts","entity","58","","",""
62,"confirm the receipts","entity","59","","",""
63,"confirm the receipts","entity","60","","",""
64,"evaluate the receipts decision","condition","61","","",""
65,"evaluate the receipts decision","condition","62","","",""
66,"evaluate the receipts decision","condition","63","","",""
67,"are the receipts accepted","condition","64","","",""
68,"are the receipts accepted","condition","65","","",""
69,"are the receipts accepted","condition","66","","",""
70,"process the expense","entity","67","","",""
71,"edit the report","entity","67","","",""
72,"process the expense","entity","68","","",""
73,"edit the report","entity","68","","",""
74,"process the expense","entity","69","","",""
75,"edit the report","entity","69","","",""
76,"End process","end","70","","",""
77,"End process","end","71","","",""
78,"End process","end","72","","",""
79,"End process","end","73","","",""
80,"End process","end","74","","",""
81,"End process","end","75","","",""
