file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,0,0,0.0,0.0,25,17,25,17
289.txt,15,15,0.8823529411764706,1.0,17,15,2,0
510.txt,11,11,0.9166666666666666,1.0,12,11,1,0
921.txt,0,0,0.0,0.0,14,11,14,11
29.txt,9,8,1.0,1.0,9,8,0,0
855.txt,0,0,0.0,0.0,17,22,17,22
666.txt,19,15,0.7916666666666666,1.0,24,15,5,0
470.txt,8,8,0.8888888888888888,1.0,9,8,1,0
303.txt,7,7,0.5,1.0,14,7,7,0
1132.txt,5,5,0.7142857142857143,0.8333333333333334,7,6,2,1
883.txt,8,8,1.0,1.0,8,8,0,0
129.txt,0,0,0.0,0.0,30,23,30,23
28.txt,0,0,0.0,0.0,81,11,81,11
920.txt,13,13,0.9285714285714286,1.0,14,13,1,0
539.txt,0,0,0.0,0.0,33,17,33,17
511.txt,0,0,0.0,0.0,16,9,16,9
1085.txt,0,0,0.0,0.0,16,7,16,7
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,19,20,0.8260869565217391,0.8695652173913043,23,23,4,3
842.txt,8,6,0.8888888888888888,1.0,9,6,1,0
856.txt,6,7,0.8571428571428571,1.0,7,7,1,0
103.txt,0,0,0.0,0.0,28,15,28,15
117.txt,0,0,0.0,0.0,22,16,22,16
1130.txt,9,10,0.5625,1.0,16,10,7,0
499.txt,0,0,0.0,0.0,11,8,11,8
102.txt,9,9,0.9,1.0,10,9,1,0
857.txt,5,5,0.5555555555555556,0.8333333333333334,9,6,4,1
17.txt,3,3,0.5,1.0,6,3,3,0
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,10,8,0.6666666666666666,1.0,15,8,5,0
516.txt,13,14,1.0,0.9333333333333333,13,15,0,1
933.txt,0,0,0.0,0.0,50,51,50,51
853.txt,8,8,0.8,1.0,10,8,2,0
884.txt,0,0,0.0,0.0,10,7,10,7
1121.txt,4,4,1.0,1.0,4,4,0,0
304.txt,12,12,1.0,1.0,12,12,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,7,0.7,1.0,10,7,3,0
1134.txt,14,17,0.8235294117647058,1.0,17,17,3,0
661.txt,6,6,0.8571428571428571,1.0,7,6,1,0
649.txt,10,8,0.9090909090909091,1.0,11,8,1,0
852.txt,0,0,0.0,0.0,14,7,14,7
1097.txt,7,7,0.7,1.0,10,7,3,0
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,8,1.0,1.0,8,8,0,0
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,5,9,0.8333333333333334,1.0,6,9,1,0
930.txt,8,5,1.0,1.0,8,5,0,0
139.txt,12,9,1.0,1.0,12,9,0,0
111.txt,3,3,1.0,1.0,3,3,0,0
474.txt,0,0,0.0,0.0,23,14,23,14
1123.txt,0,0,0.0,0.0,17,6,17,6
110.txt,4,3,0.8,1.0,5,3,1,0
886.txt,8,8,0.7272727272727273,1.0,11,8,3,0
39.txt,5,5,0.7142857142857143,1.0,7,5,2,0
11.txt,0,0,0.0,0.0,14,12,14,12
716.txt,8,7,0.6666666666666666,1.0,12,7,4,0
266.txt,14,14,1.0,1.0,14,14,0,1
229.txt,0,0,0.0,0.0,36,37,36,37
1232.txt,0,0,0.0,0.0,49,43,49,43
956.txt,22,20,0.5945945945945946,1.0,37,20,15,0
759.txt,6,4,0.8571428571428571,1.0,7,4,1,0
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,7,1.0,1.0,7,7,0,0
375.txt,4,4,0.6666666666666666,1.0,6,4,2,0
1187.txt,9,13,0.75,0.9285714285714286,12,14,3,1
1193.txt,22,19,0.88,1.0,25,19,3,0
349.txt,5,6,0.625,1.0,8,6,3,0
348.txt,0,0,0.0,0.0,89,15,89,15
406.txt,0,0,0.0,0.0,19,4,19,4
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,4,3,0.5,1.0,8,3,4,0
189.txt,6,6,1.0,1.0,6,6,0,0
980.txt,14,10,1.0,1.0,14,10,0,0
770.txt,8,12,0.7272727272727273,0.9230769230769231,11,13,3,1
764.txt,7,7,0.7777777777777778,1.0,9,7,2,0
1019.txt,0,0,0.0,0.0,53,42,53,42
1025.txt,0,0,0.0,0.0,23,36,23,36
955.txt,4,4,0.8,1.0,5,4,1,0
1147.txt,7,5,0.7777777777777778,1.0,9,5,2,0
438.txt,9,10,0.5294117647058824,1.0,17,10,8,0
439.txt,15,16,0.5769230769230769,1.0,26,16,11,0
411.txt,12,14,0.8571428571428571,1.0,14,14,2,0
1146.txt,16,18,0.48484848484848486,0.9473684210526315,33,19,17,1
940.txt,9,7,1.0,1.0,9,7,0,0
1218.txt,4,4,1.0,1.0,4,4,0,0
559.txt,6,6,0.6,1.0,10,6,4,0
561.txt,14,11,0.8235294117647058,0.8461538461538461,17,13,3,2
950.txt,17,17,0.85,0.9444444444444444,20,18,3,1
373.txt,3,3,0.75,1.0,4,3,1,0
616.txt,5,5,1.0,1.0,5,5,0,0
776.txt,4,4,0.8,1.0,5,4,1,0
574.txt,5,5,1.0,0.8333333333333334,5,6,0,1
953.txt,0,0,0.0,0.0,31,20,31,20
990.txt,9,9,0.9,1.0,10,9,1,0
600.txt,16,18,0.48484848484848486,0.9473684210526315,33,19,17,1
1141.txt,8,10,0.8,0.9090909090909091,10,11,2,1
1155.txt,0,0,0.0,0.0,21,7,21,7
416.txt,22,5,1.0,1.0,22,5,0,0
1196.txt,3,3,1.0,1.0,3,3,0,0
371.txt,8,8,1.0,1.0,8,8,0,0
359.txt,7,6,0.7777777777777778,1.0,9,6,2,0
99.txt,4,4,0.6666666666666666,1.0,6,4,2,0
629.txt,16,16,0.64,1.0,25,16,9,0
211.txt,4,4,1.0,1.0,4,4,0,0
1005.txt,4,4,1.0,1.0,4,4,0,0
220.txt,8,8,1.0,0.5714285714285714,8,14,0,6
778.txt,10,9,0.9090909090909091,1.0,11,9,1,0
