File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1,0.0,0.0,0.0,0,0,16,11,[],0.0,0.0,0.0,0,0,16,11,[],0.0,0.0,0.0,0,0,16,11,[],0.0,0.0,0.0,0,0,16,11,[],0.0,0.0,0.0,0,0,16,11,[],0.0,0.0,0.0,0,0,16,11,[]
1005,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8294872641563416,1,1,1,1,[0.8294872641563416],1.0,1.0,0.8294872641563416,1,1,1,1,[0.8294872641563416],1.0,1.0,0.8294872641563416,1,1,1,1,[0.8294872641563416],1.0,1.0,0.8294872641563416,1,1,1,1,[0.8294872641563416],1.0,1.0,0.8294872641563416,1,1,1,1,[0.8294872641563416]
1010,0.0,0.0,0,0,0,10,6,[],0.0,0.0,0,0,0,10,6,[],0.0,0.0,0,0,0,10,6,[],0.2,0.16666666666666666,0.6626121401786804,2,1,10,6,"[0.6867650747299194, 0.6384592056274414]",0.3,0.3333333333333333,0.615779827038447,3,2,10,6,"[0.5221152007579803, 0.6867650747299194, 0.6384592056274414]",0.7,0.6666666666666666,0.49396451456206186,7,4,10,6,"[0.42720603942871094, 0.3680301904678345, 0.4378201365470886, 0.5221152007579803, 0.37735575437545776, 0.6867650747299194, 0.6384592056274414]"
1015,0.0,0.0,0,0,0,4,4,[],0.25,0.25,0.8134135603904724,1,1,4,4,[0.8134135603904724],0.25,0.25,0.8134135603904724,1,1,4,4,[0.8134135603904724],0.75,0.5,0.6847260495026907,3,2,4,4,"[0.8134135603904724, 0.6216867566108704, 0.6190778315067291]",0.75,0.5,0.6847260495026907,3,2,4,4,"[0.8134135603904724, 0.6216867566108704, 0.6190778315067291]",1.0,0.75,0.6179978996515274,4,3,4,4,"[0.8134135603904724, 0.4178134500980377, 0.6216867566108704, 0.6190778315067291]"
1025,0.0,0.0,0.0,0,0,20,28,[],0.0,0.0,0.0,0,0,20,28,[],0.0,0.0,0.0,0,0,20,28,[],0.0,0.0,0.0,0,0,20,28,[],0.0,0.0,0.0,0,0,20,28,[],0.0,0.0,0.0,0,0,20,28,[]
1019,0.0,0.0,0.0,0,0,30,33,[],0.0,0.0,0.0,0,0,30,33,[],0.0,0.0,0.0,0,0,30,33,[],0.0,0.0,0.0,0,0,30,33,[],0.0,0.0,0.0,0,0,30,33,[],0.0,0.0,0.0,0,0,30,33,[]
102,1.0,1.0,0.9258008599281311,1,1,1,1,[0.9258008599281311],1.0,1.0,0.9258008599281311,1,1,1,1,[0.9258008599281311],1.0,1.0,0.9258008599281311,1,1,1,1,[0.9258008599281311],1.0,1.0,0.9258008599281311,1,1,1,1,[0.9258008599281311],1.0,1.0,0.9258008599281311,1,1,1,1,[0.9258008599281311],1.0,1.0,0.9258008599281311,1,1,1,1,[0.9258008599281311]
1028,0.0,0.0,0.0,0,0,12,9,[],0.0,0.0,0.0,0,0,12,9,[],0.0,0.0,0.0,0,0,12,9,[],0.0,0.0,0.0,0,0,12,9,[],0.0,0.0,0.0,0,0,12,9,[],0.0,0.0,0.0,0,0,12,9,[]
103,0.0,0.0,0.0,0,0,16,12,[],0.0,0.0,0.0,0,0,16,12,[],0.0,0.0,0.0,0,0,16,12,[],0.0,0.0,0.0,0,0,16,12,[],0.0,0.0,0.0,0,0,16,12,[],0.0,0.0,0.0,0,0,16,12,[]
1046,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8361395001411438,1,1,1,1,[0.8361395001411438],1.0,1.0,0.8361395001411438,1,1,1,1,[0.8361395001411438],1.0,1.0,0.8361395001411438,1,1,1,1,[0.8361395001411438],1.0,1.0,0.8361395001411438,1,1,1,1,[0.8361395001411438],1.0,1.0,0.8361395001411438,1,1,1,1,[0.8361395001411438]
