File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1,0.0,0.0,0.0,0,0,11,16,[],0.0,0.0,0.0,0,0,11,16,[],0.0,0.0,0.0,0,0,11,16,[],0.0,0.0,0.0,0,0,11,16,[],0.0,0.0,0.0,0,0,11,16,[],0.0,0.0,0.0,0,0,11,16,[]
1015,0.0,0.0,0,0,0,4,4,[],0.25,0.25,0.8134135603904724,1,1,4,4,[0.8134135603904724],0.25,0.25,0.8134135603904724,1,1,4,4,[0.8134135603904724],0.5,0.5,0.7175501585006714,2,2,4,4,"[0.8134135603904724, 0.6216867566108704]",0.5,0.5,0.7175501585006714,2,2,4,4,"[0.8134135603904724, 0.6216867566108704]",0.75,0.75,0.6176379223664602,3,3,4,4,"[0.8134135603904724, 0.4178134500980377, 0.6216867566108704]"
1019,0.0,0.0,0.0,0,0,33,30,[],0.0,0.0,0.0,0,0,33,30,[],0.0,0.0,0.0,0,0,33,30,[],0.0,0.0,0.0,0,0,33,30,[],0.0,0.0,0.0,0,0,33,30,[],0.0,0.0,0.0,0,0,33,30,[]
102,1.0,1.0,0.9258008599281311,1,1,1,1,[0.9258008599281311],1.0,1.0,0.9258008599281311,1,1,1,1,[0.9258008599281311],1.0,1.0,0.9258008599281311,1,1,1,1,[0.9258008599281311],1.0,1.0,0.9258008599281311,1,1,1,1,[0.9258008599281311],1.0,1.0,0.9258008599281311,1,1,1,1,[0.9258008599281311],1.0,1.0,0.9258008599281311,1,1,1,1,[0.9258008599281311]
1005,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8294872641563416,1,1,1,1,[0.8294872641563416],1.0,1.0,0.8294872641563416,1,1,1,1,[0.8294872641563416],1.0,1.0,0.8294872641563416,1,1,1,1,[0.8294872641563416],1.0,1.0,0.8294872641563416,1,1,1,1,[0.8294872641563416],1.0,1.0,0.8294872641563416,1,1,1,1,[0.8294872641563416]
103,0.0,0.0,0.0,0,0,12,16,[],0.0,0.0,0.0,0,0,12,16,[],0.0,0.0,0.0,0,0,12,16,[],0.0,0.0,0.0,0,0,12,16,[],0.0,0.0,0.0,0,0,12,16,[],0.0,0.0,0.0,0,0,12,16,[]
1028,0.0,0.0,0.0,0,0,9,12,[],0.0,0.0,0.0,0,0,9,12,[],0.0,0.0,0.0,0,0,9,12,[],0.0,0.0,0.0,0,0,9,12,[],0.0,0.0,0.0,0,0,9,12,[],0.0,0.0,0.0,0,0,9,12,[]
1010,0.0,0.0,0,0,0,6,10,[],0.0,0.0,0,0,0,6,10,[],0.0,0.0,0,0,0,6,10,[],0.16666666666666666,0.1,0.6867650747299194,1,1,6,10,[0.6867650747299194],0.3333333333333333,0.2,0.6044401377439499,2,2,6,10,"[0.5221152007579803, 0.6867650747299194]",1.0,0.4,0.47456830491622287,6,4,6,10,"[0.42720603942871094, 0.3680301904678345, 0.5221152007579803, 0.4141864776611328, 0.42910684645175934, 0.6867650747299194]"
1046,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8361395001411438,1,1,1,1,[0.8361395001411438],1.0,1.0,0.8361395001411438,1,1,1,1,[0.8361395001411438],1.0,1.0,0.8361395001411438,1,1,1,1,[0.8361395001411438],1.0,1.0,0.8361395001411438,1,1,1,1,[0.8361395001411438],1.0,1.0,0.8361395001411438,1,1,1,1,[0.8361395001411438]
1047,0.0,0.0,0.0,0,0,14,23,[],0.0,0.0,0.0,0,0,14,23,[],0.0,0.0,0.0,0,0,14,23,[],0.0,0.0,0.0,0,0,14,23,[],0.0,0.0,0.0,0,0,14,23,[],0.0,0.0,0.0,0,0,14,23,[]
1049,0.6,0.6,0.9727586706479391,3,3,5,5,"[1.000000238418579, 1.0, 0.918275773525238]",0.8,0.8,0.9306793063879013,4,4,5,5,"[1.000000238418579, 1.0, 0.918275773525238, 0.8044412136077881]",0.8,0.8,0.9306793063879013,4,4,5,5,"[1.000000238418579, 1.0, 0.918275773525238, 0.8044412136077881]",0.8,0.8,0.9306793063879013,4,4,5,5,"[1.000000238418579, 1.0, 0.918275773525238, 0.8044412136077881]",0.8,0.8,0.9306793063879013,4,4,5,5,"[1.000000238418579, 1.0, 0.918275773525238, 0.8044412136077881]",1.0,1.0,0.8342633187770844,5,5,5,5,"[0.44859936833381653, 1.000000238418579, 1.0, 0.918275773525238, 0.8044412136077881]"
1052,0.21428571428571427,0.1875,0.9531197845935822,3,3,14,16,"[0.9374747574329376, 0.9218844771385193, 1.0000001192092896]",0.35714285714285715,0.3125,0.9059033989906311,5,5,14,16,"[0.8172944784164429, 0.9374747574329376, 0.9218844771385193, 1.0000001192092896, 0.8528631627559662]",0.5,0.5,0.8364775106310844,7,8,14,16,"[0.8172944784164429, 0.7333747148513794, 0.9374747574329376, 0.9218844771385193, 0.726405531167984, 1.0000001192092896, 0.7025228440761566, 0.8528631627559662]",0.7142857142857143,0.6875,0.789373981681737,10,11,14,16,"[0.8172944784164429, 0.7333747148513794, 0.9374747574329376, 0.9218844771385193, 0.726405531167984, 1.0000001192092896, 0.7025228440761566, 0.6876373589038849, 0.674130842089653, 0.8528631627559662, 0.6295255124568939]",0.8571428571428571,0.8125,0.743756825370448,12,13,14,16,"[0.8172944784164429, 0.7333747148513794, 0.9374747574329376, 0.5638728141784668, 0.9218844771385193, 0.726405531167984, 1.0000001192092896, 0.5813356935977936, 0.7025228440761566, 0.6876373589038849, 0.5842732489109039, 0.674130842089653, 0.8528631627559662, 0.6295255124568939]",1.0,1.0,0.6298031743083682,14,16,14,16,"[0.8172944784164429, 0.49336838722229004, 0.7333747148513794, 0.9374747574329376, 0.5638728141784668, 0.9218844771385193, 0.726405531167984, 1.0000001192092896, 0.4338756501674652, 0.5813356935977936, 0.7025228440761566, 0.6876373589038849, 0.47748275101184845, 0.5842732489109039, 0.24642051756381989, 0.674130842089653, 0.8528631627559662, 0.6295255124568939, 0.4503439962863922, 0.3406190276145935, 0.3711607754230499]"
1067,1.0,1.0,0.9692512154579163,1,1,1,1,[0.9692512154579163],1.0,1.0,0.9692512154579163,1,1,1,1,[0.9692512154579163],1.0,1.0,0.9692512154579163,1,1,1,1,[0.9692512154579163],1.0,1.0,0.9692512154579163,1,1,1,1,[0.9692512154579163],1.0,1.0,0.9692512154579163,1,1,1,1,[0.9692512154579163],1.0,1.0,0.9692512154579163,1,1,1,1,[0.9692512154579163]
1061,0.0,0.0,0,0,0,8,12,[],0.125,0.08333333333333333,0.8814783096313477,1,1,8,12,[0.8814783096313477],0.375,0.25,0.8089773853619894,3,3,8,12,"[0.7653918862342834, 0.7800619602203369, 0.8814783096313477]",0.75,0.5833333333333334,0.7225207090377808,6,7,8,12,"[0.7653918862342834, 0.6726348400115967, 0.6940109729766846, 0.6369308829307556, 0.6271361112594604, 0.7800619602203369, 0.8814783096313477]",0.875,0.6666666666666666,0.7038189563900232,7,8,8,12,"[0.7653918862342834, 0.6726348400115967, 0.5729066878557205, 0.6940109729766846, 0.6369308829307556, 0.6271361112594604, 0.7800619602203369, 0.8814783096313477]",1.0,0.8333333333333334,0.6348728224635124,8,10,8,12,"[0.7653918862342834, 0.6726348400115967, 0.5729066878557205, 0.6940109729766846, 0.6369308829307556, 0.6271361112594604, 0.7800619602203369, 0.8814783096313477, 0.32625845074653625, 0.3919181227684021]"
1070,0.0,0.0,0.0,0,0,5,6,[],0.0,0.0,0.0,0,0,5,6,[],0.0,0.0,0.0,0,0,5,6,[],0.0,0.0,0.0,0,0,5,6,[],0.0,0.0,0.0,0,0,5,6,[],0.0,0.0,0.0,0,0,5,6,[]
1025,0.0,0.0,0.0,0,0,28,20,[],0.0,0.0,0.0,0,0,28,20,[],0.0,0.0,0.0,0,0,28,20,[],0.0,0.0,0.0,0,0,28,20,[],0.0,0.0,0.0,0,0,28,20,[],0.0,0.0,0.0,0,0,28,20,[]
1085,0.0,0.0,0.0,0,0,5,12,[],0.0,0.0,0.0,0,0,5,12,[],0.0,0.0,0.0,0,0,5,12,[],0.0,0.0,0.0,0,0,5,12,[],0.0,0.0,0.0,0,0,5,12,[],0.0,0.0,0.0,0,0,5,12,[]
1088,0.0,0.0,0,0,0,1,1,[],0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.7738264203071594,1,1,1,1,[0.7738264203071594],1.0,1.0,0.7738264203071594,1,1,1,1,[0.7738264203071594],1.0,1.0,0.7738264203071594,1,1,1,1,[0.7738264203071594],1.0,1.0,0.7738264203071594,1,1,1,1,[0.7738264203071594]
1081,0.0,0.0,0,0,0,1,1,[],0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.7283040881156921,1,1,1,1,[0.7283040881156921],1.0,1.0,0.7283040881156921,1,1,1,1,[0.7283040881156921],1.0,1.0,0.7283040881156921,1,1,1,1,[0.7283040881156921],1.0,1.0,0.7283040881156921,1,1,1,1,[0.7283040881156921]
1073,0.0,0.0,0,0,0,1,1,[],0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.7443568706512451,1,1,1,1,[0.7443568706512451],1.0,1.0,0.7443568706512451,1,1,1,1,[0.7443568706512451],1.0,1.0,0.7443568706512451,1,1,1,1,[0.7443568706512451],1.0,1.0,0.7443568706512451,1,1,1,1,[0.7443568706512451]
1097,0.0,0.0,0,0,0,4,4,[],0.25,0.25,0.8086199164390564,1,1,4,4,[0.8086199164390564],0.5,0.5,0.7736662924289703,2,2,4,4,"[0.8086199164390564, 0.7387126684188843]",0.75,0.75,0.7358213265736898,3,3,4,4,"[0.8086199164390564, 0.7387126684188843, 0.6601313948631287]",1.0,1.0,0.6796723753213882,4,4,4,4,"[0.8086199164390564, 0.5112255215644836, 0.7387126684188843, 0.6601313948631287]",1.0,1.0,0.6796723753213882,4,4,4,4,"[0.8086199164390564, 0.5112255215644836, 0.7387126684188843, 0.6601313948631287]"
11,0.0,0.0,0.0,0,0,5,6,[],0.0,0.0,0.0,0,0,5,6,[],0.0,0.0,0.0,0,0,5,6,[],0.0,0.0,0.0,0,0,5,6,[],0.0,0.0,0.0,0,0,5,6,[],0.0,0.0,0.0,0,0,5,6,[]
111,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8065979480743408,1,1,1,1,[0.8065979480743408],1.0,1.0,0.8065979480743408,1,1,1,1,[0.8065979480743408],1.0,1.0,0.8065979480743408,1,1,1,1,[0.8065979480743408],1.0,1.0,0.8065979480743408,1,1,1,1,[0.8065979480743408],1.0,1.0,0.8065979480743408,1,1,1,1,[0.8065979480743408]
1120,0.2,0.25,0.9013581871986389,1,1,5,4,[0.9013581871986389],0.2,0.25,0.9013581871986389,1,1,5,4,[0.9013581871986389],0.2,0.25,0.9013581871986389,1,1,5,4,[0.9013581871986389],0.4,0.5,0.753793478012085,2,2,5,4,"[0.9013581871986389, 0.606228768825531]",0.6,0.75,0.6944344838460287,3,3,5,4,"[0.9013581871986389, 0.575716495513916, 0.606228768825531]",0.6,0.75,0.6944344838460287,3,3,5,4,"[0.9013581871986389, 0.575716495513916, 0.606228768825531]"
110,0.0,0.0,0,0,0,1,4,[],0.0,0.0,0,0,0,1,4,[],0.0,0.0,0,0,0,1,4,[],0.0,0.0,0,0,0,1,4,[],1.0,0.25,0.585442066192627,1,1,1,4,[0.585442066192627],1.0,0.25,0.585442066192627,1,1,1,4,[0.585442066192627]
1102,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8091078996658325,1,1,1,1,[0.8091078996658325],1.0,1.0,0.8091078996658325,1,1,1,1,[0.8091078996658325],1.0,1.0,0.8091078996658325,1,1,1,1,[0.8091078996658325],1.0,1.0,0.8091078996658325,1,1,1,1,[0.8091078996658325],1.0,1.0,0.8091078996658325,1,1,1,1,[0.8091078996658325]
1123,0.0,0.0,0.0,0,0,4,9,[],0.0,0.0,0.0,0,0,4,9,[],0.0,0.0,0.0,0,0,4,9,[],0.0,0.0,0.0,0,0,4,9,[],0.0,0.0,0.0,0,0,4,9,[],0.0,0.0,0.0,0,0,4,9,[]
1121,1.0,1.0,0.9709227681159973,1,1,1,1,[0.9709227681159973],1.0,1.0,0.9709227681159973,1,1,1,1,[0.9709227681159973],1.0,1.0,0.9709227681159973,1,1,1,1,[0.9709227681159973],1.0,1.0,0.9709227681159973,1,1,1,1,[0.9709227681159973],1.0,1.0,0.9709227681159973,1,1,1,1,[0.9709227681159973],1.0,1.0,0.9709227681159973,1,1,1,1,[0.9709227681159973]
1130,0.0,0.0,0,0,0,7,10,[],0.0,0.0,0,0,0,7,10,[],0.14285714285714285,0.1,0.794159471988678,1,1,7,10,[0.794159471988678],0.42857142857142855,0.3,0.677484005689621,3,3,7,10,"[0.794159471988678, 0.6116547584533691, 0.6266377866268158]",0.5714285714285714,0.4,0.6476552933454514,4,4,7,10,"[0.794159471988678, 0.5581691563129425, 0.6116547584533691, 0.6266377866268158]",1.0,0.6,0.5382895725114005,7,6,7,10,"[0.794159471988678, 0.4695560038089752, 0.5581691563129425, 0.6116547584533691, 0.3911372125148773, 0.6266377866268158, 0.3167126178741455]"
1132,0.25,0.25,0.9404394626617432,1,1,4,4,[0.9404394626617432],0.25,0.25,0.9404394626617432,1,1,4,4,[0.9404394626617432],0.25,0.25,0.9404394626617432,1,1,4,4,[0.9404394626617432],0.75,0.5,0.7290207346280416,3,2,4,4,"[0.9404394626617432, 0.6276849508285522, 0.6189377903938293]",0.75,0.5,0.7290207346280416,3,2,4,4,"[0.9404394626617432, 0.6276849508285522, 0.6189377903938293]",1.0,0.75,0.6687374711036682,4,3,4,4,"[0.9404394626617432, 0.4878876805305481, 0.6276849508285522, 0.6189377903938293]"
1134,0.07142857142857142,0.06666666666666667,0.9135129451751709,1,1,14,15,[0.9135129451751709],0.14285714285714285,0.13333333333333333,0.9001397490501404,2,2,14,15,"[0.8867665529251099, 0.9135129451751709]",0.5714285714285714,0.5333333333333333,0.7765985503792763,8,8,14,15,"[0.7283576726913452, 0.8867665529251099, 0.9135129451751709, 0.7181899547576904, 0.7649387717247009, 0.7538339495658875, 0.7039586305618286, 0.7432299256324768]",0.6428571428571429,0.6666666666666666,0.7267574759630057,9,10,14,15,"[0.7283576726913452, 0.6909704208374023, 0.6441237330436707, 0.8867665529251099, 0.9135129451751709, 0.7181899547576904, 0.7649387717247009, 0.6043081283569336, 0.7538339495658875, 0.7039586305618286, 0.6623542308807373, 0.6333022713661194, 0.7432299256324768]",0.7857142857142857,0.7333333333333333,0.6882534114753499,11,11,14,15,"[0.7283576726913452, 0.5531788170337677, 0.5912375152111053, 0.6909704208374023, 0.6441237330436707, 0.8867665529251099, 0.9135129451751709, 0.7181899547576904, 0.7649387717247009, 0.5868594646453857, 0.6043081283569336, 0.5211850106716156, 0.7538339495658875, 0.7039586305618286, 0.6623542308807373, 0.6333022713661194, 0.7432299256324768]",1.0,1.0,0.5740552342707111,14,15,14,15,"[0.7283576726913452, 0.43952760100364685, 0.5531788170337677, 0.4822220951318741, 0.5912375152111053, 0.4696831554174423, 0.6909704208374023, 0.6441237330436707, 0.4964677393436432, 0.8867665529251099, 0.9135129451751709, 0.7181899547576904, 0.3908230662345886, 0.7649387717247009, 0.44896653294563293, 0.5868594646453857, 0.6043081283569336, 0.5211850106716156, 0.39156630635261536, 0.4077751636505127, 0.406225323677063, 0.33929744362831116, 0.4831981956958771, 0.49415481090545654, 0.7538339495658875, 0.7039586305618286, 0.6623542308807373, 0.39425143599510193, 0.45124539732933044, 0.6333022713661194, 0.7432299256324768]"
1139,0.0,0.0,0,0,0,7,9,[],0.14285714285714285,0.1111111111111111,0.8374665975570679,1,1,7,9,[0.8374665975570679],0.14285714285714285,0.1111111111111111,0.8374665975570679,1,1,7,9,[0.8374665975570679],0.7142857142857143,0.4444444444444444,0.694784015417099,5,4,7,9,"[0.8374665975570679, 0.6634681075811386, 0.6731385886669159, 0.6672146320343018, 0.6326321512460709]",0.7142857142857143,0.4444444444444444,0.694784015417099,5,4,7,9,"[0.8374665975570679, 0.6634681075811386, 0.6731385886669159, 0.6672146320343018, 0.6326321512460709]",1.0,0.6666666666666666,0.6068768841879708,7,6,7,9,"[0.8374665975570679, 0.37499481439590454, 0.6634681075811386, 0.6731385886669159, 0.39922329783439636, 0.6672146320343018, 0.6326321512460709]"
1141,0.0,0.0,0,0,0,8,10,[],0.0,0.0,0,0,0,8,10,[],0.25,0.2,0.7621005475521088,2,2,8,10,"[0.7437340617179871, 0.7804670333862305]",0.25,0.2,0.7621005475521088,2,2,8,10,"[0.7437340617179871, 0.7804670333862305]",0.625,0.5,0.627636393904686,5,5,8,10,"[0.7437340617179871, 0.5195945054292679, 0.7804670333862305, 0.5288625806570053, 0.5655237883329391]",1.0,0.8,0.5324253886938095,8,8,8,10,"[0.7437340617179871, 0.28339260816574097, 0.5195945054292679, 0.46283547580242157, 0.7804670333862305, 0.37499305605888367, 0.5288625806570053, 0.5655237883329391]"
1146,0.0,0.0,0,0,0,15,24,[],0.0,0.0,0,0,0,15,24,[],0.0,0.0,0,0,0,15,24,[],0.06666666666666667,0.041666666666666664,0.660458043217659,1,1,15,24,[0.660458043217659],0.13333333333333333,0.041666666666666664,0.5954324826598167,2,1,15,24,"[0.5304069221019745, 0.660458043217659]",0.26666666666666666,0.125,0.48599958792328835,4,3,15,24,"[0.48608994483947754, 0.26704344153404236, 0.5304069221019745, 0.660458043217659]"
1147,0.0,0.0,0,0,0,1,5,[],1.0,0.2,0.8648844361305237,1,1,1,5,[0.8648844361305237],1.0,0.2,0.8648844361305237,1,1,1,5,[0.8648844361305237],1.0,0.2,0.8648844361305237,1,1,1,5,[0.8648844361305237],1.0,0.2,0.8648844361305237,1,1,1,5,[0.8648844361305237],1.0,0.2,0.8648844361305237,1,1,1,5,[0.8648844361305237]
1151,0.0,0.0,0,0,0,3,8,[],0.0,0.0,0,0,0,3,8,[],0.0,0.0,0,0,0,3,8,[],0.0,0.0,0,0,0,3,8,[],0.3333333333333333,0.125,0.5181058645248413,1,1,3,8,[0.5181058645248413],1.0,0.375,0.4392858147621155,3,3,3,8,"[0.49602335691452026, 0.30372822284698486, 0.5181058645248413]"
1155,0.0,0.0,0.0,0,0,7,19,[],0.0,0.0,0.0,0,0,7,19,[],0.0,0.0,0.0,0,0,7,19,[],0.0,0.0,0.0,0,0,7,19,[],0.0,0.0,0.0,0,0,7,19,[],0.0,0.0,0.0,0,0,7,19,[]
117,0.0,0.0,0.0,0,0,12,14,[],0.0,0.0,0.0,0,0,12,14,[],0.0,0.0,0.0,0,0,12,14,[],0.0,0.0,0.0,0,0,12,14,[],0.0,0.0,0.0,0,0,12,14,[],0.0,0.0,0.0,0,0,12,14,[]
1186,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8482826948165894,1,1,1,1,[0.8482826948165894],1.0,1.0,0.8482826948165894,1,1,1,1,[0.8482826948165894],1.0,1.0,0.8482826948165894,1,1,1,1,[0.8482826948165894],1.0,1.0,0.8482826948165894,1,1,1,1,[0.8482826948165894],1.0,1.0,0.8482826948165894,1,1,1,1,[0.8482826948165894]
