file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,0,0,0.0,0.0,17,24,17,24
289.txt,0,0,0.0,0.0,15,16,15,16
510.txt,11,12,1.0,1.0,11,12,0,0
921.txt,11,12,1.0,0.9230769230769231,11,13,0,1
29.txt,8,9,1.0,1.0,8,9,0,0
855.txt,0,0,0.0,0.0,22,19,22,19
666.txt,14,20,0.9333333333333333,0.8333333333333334,15,24,1,4
470.txt,8,9,1.0,1.0,8,9,0,0
303.txt,0,0,0.0,0.0,7,23,7,23
1132.txt,5,5,0.8333333333333334,0.7142857142857143,6,7,1,2
883.txt,8,7,1.0,0.7777777777777778,8,9,0,2
129.txt,0,0,0.0,0.0,23,29,23,29
28.txt,11,19,1.0,0.8636363636363636,11,22,0,3
920.txt,13,15,1.0,0.7894736842105263,13,19,0,4
539.txt,0,0,0.0,0.0,17,17,17,17
511.txt,9,13,1.0,0.5652173913043478,9,23,0,10
1085.txt,7,8,1.0,0.4,7,20,0,12
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,22,20,0.9565217391304348,0.8,23,25,1,5
842.txt,6,7,1.0,0.7777777777777778,6,9,0,2
856.txt,6,6,0.8571428571428571,0.75,7,8,1,2
103.txt,15,18,1.0,1.0,15,18,0,0
117.txt,0,0,0.0,0.0,16,20,16,20
1130.txt,10,10,1.0,0.5882352941176471,10,17,0,7
499.txt,0,0,0.0,0.0,8,45,8,45
102.txt,9,9,1.0,0.9,9,10,0,1
857.txt,6,6,1.0,0.6666666666666666,6,9,0,3
17.txt,3,3,1.0,0.75,3,4,0,1
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,8,12,1.0,0.9230769230769231,8,13,0,1
516.txt,12,14,0.8,0.7777777777777778,15,18,3,4
933.txt,34,35,0.6666666666666666,0.7954545454545454,51,44,17,9
853.txt,7,8,0.875,0.8888888888888888,8,9,1,1
884.txt,7,6,1.0,0.75,7,8,0,2
1121.txt,4,4,1.0,0.8,4,5,0,1
304.txt,12,12,1.0,0.9230769230769231,12,13,0,1
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,7,1.0,0.7,7,10,0,3
1134.txt,16,15,0.9411764705882353,0.8333333333333334,17,18,1,3
661.txt,0,0,0.0,0.0,6,7,6,7
649.txt,8,8,1.0,0.6153846153846154,8,13,0,5
852.txt,0,0,0.0,0.0,7,17,7,17
1097.txt,7,8,1.0,0.8,7,10,0,2
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,8,1.0,1.0,8,8,0,0
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,9,5,1.0,0.8333333333333334,9,6,0,1
930.txt,5,5,1.0,0.7142857142857143,5,7,0,2
139.txt,9,11,1.0,1.0,9,11,0,0
111.txt,3,3,1.0,1.0,3,3,0,0
474.txt,14,16,1.0,0.7619047619047619,14,21,0,5
1123.txt,0,0,0.0,0.0,6,16,6,16
110.txt,3,3,1.0,0.42857142857142855,3,7,0,4
886.txt,8,11,1.0,1.0,8,11,0,0
39.txt,5,8,1.0,1.0,5,8,0,0
11.txt,0,0,0.0,0.0,12,14,12,14
716.txt,7,8,1.0,0.7272727272727273,7,11,0,3
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,0,0,0.0,0.0,37,37,37,37
1232.txt,0,0,0.0,0.0,43,51,43,51
956.txt,0,0,0.0,0.0,20,26,20,26
759.txt,4,4,1.0,0.5714285714285714,4,7,0,3
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,7,1.0,1.0,7,7,0,0
375.txt,4,6,1.0,1.0,4,6,0,0
1187.txt,13,10,0.9285714285714286,1.0,14,10,1,0
1193.txt,0,0,0.0,0.0,19,27,19,27
349.txt,6,5,1.0,0.5555555555555556,6,9,0,4
348.txt,0,0,0.0,0.0,15,49,15,49
406.txt,4,6,1.0,0.5454545454545454,4,11,0,5
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,3,4,1.0,0.5,3,8,0,4
189.txt,6,7,1.0,1.0,6,7,0,0
980.txt,10,11,1.0,0.8461538461538461,10,13,0,2
770.txt,13,10,1.0,0.8333333333333334,13,12,0,2
764.txt,7,8,1.0,0.8,7,10,0,2
1019.txt,0,0,0.0,0.0,42,43,42,43
1025.txt,0,0,0.0,0.0,36,30,36,30
955.txt,4,4,1.0,0.8,4,5,0,1
1147.txt,5,5,1.0,0.5,5,10,0,5
438.txt,0,0,0.0,0.0,10,14,10,14
439.txt,0,0,0.0,0.0,16,25,16,25
411.txt,14,13,1.0,0.9285714285714286,14,14,0,1
1146.txt,18,18,0.9473684210526315,0.6666666666666666,19,27,1,9
940.txt,7,8,1.0,1.0,7,8,0,0
1218.txt,4,4,1.0,1.0,4,4,0,0
559.txt,6,7,1.0,0.7777777777777778,6,9,0,2
561.txt,12,15,0.9230769230769231,0.9375,13,16,1,1
950.txt,0,0,0.0,0.0,18,18,18,18
373.txt,3,3,1.0,0.75,3,4,0,1
616.txt,4,5,0.8,1.0,5,5,1,0
776.txt,4,5,1.0,1.0,4,5,0,0
574.txt,5,5,0.8333333333333334,1.0,6,5,1,0
953.txt,18,16,0.9,0.64,20,25,2,9
990.txt,9,10,1.0,1.0,9,10,0,0
