file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,0,0,0.0,0.0,17,19,17,19
289.txt,10,11,0.6666666666666666,1.0,15,11,5,0
510.txt,11,11,1.0,0.9166666666666666,11,12,0,1
921.txt,11,11,1.0,1.0,11,11,0,0
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,0,0,0.0,0.0,22,15,22,15
666.txt,15,13,1.0,1.0,15,13,0,0
470.txt,8,9,1.0,0.9,8,10,0,1
303.txt,0,0,0.0,0.0,7,10,7,10
1132.txt,5,4,0.8333333333333334,0.8,6,5,1,1
883.txt,7,7,0.875,1.0,8,7,1,0
129.txt,22,19,0.9565217391304348,0.76,23,25,1,6
28.txt,11,16,1.0,1.0,11,16,0,0
920.txt,0,0,0.0,0.0,13,21,13,21
539.txt,17,13,1.0,0.9285714285714286,17,14,0,1
511.txt,8,8,0.8888888888888888,0.8,9,10,1,2
1085.txt,0,0,0.0,0.0,7,16,7,16
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,18,17,0.782608695652174,0.7727272727272727,23,22,5,5
842.txt,0,0,0.0,0.0,6,14,6,14
856.txt,6,6,0.8571428571428571,0.6666666666666666,7,9,1,3
103.txt,0,0,0.0,0.0,15,13,15,13
117.txt,16,15,1.0,1.0,16,15,0,0
1130.txt,10,11,1.0,1.0,10,11,0,0
499.txt,0,0,0.0,0.0,8,8,8,8
102.txt,9,9,1.0,0.9,9,10,0,1
857.txt,6,5,1.0,0.625,6,8,0,3
17.txt,3,3,1.0,0.75,3,4,0,1
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,0,0,0.0,0.0,8,13,8,13
516.txt,14,15,0.9333333333333333,1.0,15,15,1,0
933.txt,39,28,0.7647058823529411,1.0,51,28,12,0
853.txt,6,5,0.75,0.7142857142857143,8,7,2,2
884.txt,6,7,0.8571428571428571,0.875,7,8,1,1
1121.txt,4,4,1.0,1.0,4,4,0,0
304.txt,0,0,0.0,0.0,12,11,12,11
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,6,1.0,0.6,7,10,0,4
1134.txt,16,15,0.9411764705882353,0.9375,17,16,1,1
661.txt,5,5,0.8333333333333334,1.0,6,5,1,0
649.txt,8,12,1.0,1.0,8,12,0,0
852.txt,0,0,0.0,0.0,7,15,7,15
1097.txt,7,6,1.0,0.6666666666666666,7,9,0,3
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,8,1.0,0.8888888888888888,8,9,0,1
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,0,0,0.0,0.0,9,6,9,6
930.txt,5,6,1.0,0.75,5,8,0,2
139.txt,9,11,1.0,1.0,9,11,0,0
111.txt,3,4,1.0,1.0,3,4,0,0
474.txt,14,17,1.0,0.9444444444444444,14,18,0,1
1123.txt,4,4,0.6666666666666666,0.25,6,16,2,12
110.txt,0,0,0.0,0.0,3,7,3,7
886.txt,8,11,1.0,1.0,8,11,0,0
39.txt,5,5,1.0,1.0,5,5,0,0
11.txt,0,0,0.0,0.0,12,12,12,12
716.txt,7,8,1.0,0.8,7,10,0,2
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,25,20,0.6756756756756757,1.0,37,20,12,0
1232.txt,34,29,0.7906976744186046,0.8055555555555556,43,36,9,7
956.txt,20,20,1.0,0.9523809523809523,20,21,0,1
759.txt,4,5,1.0,0.7142857142857143,4,7,0,2
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,7,1.0,1.0,7,7,0,0
375.txt,4,4,1.0,0.4,4,10,0,6
1187.txt,14,9,1.0,0.9,14,10,0,1
1193.txt,18,15,0.9473684210526315,1.0,19,15,1,0
349.txt,6,6,1.0,1.0,6,6,0,0
348.txt,0,0,0.0,0.0,15,33,15,33
406.txt,0,0,0.0,0.0,4,12,4,12
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,3,3,1.0,0.6,3,5,0,2
189.txt,6,7,1.0,1.0,6,7,0,0
980.txt,10,9,1.0,0.75,10,12,0,3
770.txt,0,0,0.0,0.0,13,10,13,10
764.txt,7,7,1.0,0.875,7,8,0,1
1019.txt,0,0,0.0,0.0,42,41,42,41
1025.txt,21,20,0.5833333333333334,1.0,36,20,15,0
955.txt,4,4,1.0,0.8,4,5,0,1
1147.txt,5,6,1.0,0.8571428571428571,5,7,0,1
438.txt,0,0,0.0,0.0,10,13,10,13
439.txt,15,12,0.9375,0.75,16,16,1,4
411.txt,13,11,0.9285714285714286,0.7857142857142857,14,14,1,3
1146.txt,15,15,0.7894736842105263,0.9375,19,16,4,1
940.txt,7,9,1.0,1.0,7,9,0,0
