File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1,0.0,0.0,0,0,0,11,9,[],0.0,0.0,0,0,0,11,9,[],0.09090909090909091,0.1111111111111111,0.7033503651618958,1,1,11,9,[0.7033503651618958],0.18181818181818182,0.2222222222222222,0.6760604977607727,2,2,11,9,"[0.7033503651618958, 0.6487706303596497]",0.2727272727272727,0.2222222222222222,0.6379779279232025,3,2,11,9,"[0.7033503651618958, 0.6487706303596497, 0.5618127882480621]",1.0,0.6666666666666666,0.4849790619178252,11,6,11,9,"[0.7033503651618958, 0.3424249291419983, 0.4809965640306473, 0.4980005621910095, 0.4334558844566345, 0.4805687367916107, 0.3846404403448105, 0.37406685948371887, 0.42668192088603973, 0.6487706303596497, 0.5618127882480621]"
1015,0.0,0.0,0,0,0,4,4,[],0.0,0.0,0,0,0,4,4,[],0.25,0.25,0.7142386138439178,1,1,4,4,[0.7142386138439178],0.25,0.25,0.7142386138439178,1,1,4,4,[0.7142386138439178],0.5,0.5,0.6506799012422562,2,2,4,4,"[0.5871211886405945, 0.7142386138439178]",0.75,0.75,0.5563559929529825,3,3,4,4,"[0.5871211886405945, 0.3677081763744354, 0.7142386138439178]"
1019,0.0,0.0,0.0,0,0,33,27,[],0.0,0.0,0.0,0,0,33,27,[],0.0,0.0,0.0,0,0,33,27,[],0.0,0.0,0.0,0,0,33,27,[],0.0,0.0,0.0,0,0,33,27,[],0.0,0.0,0.0,0,0,33,27,[]
102,1.0,1.0,0.941233217716217,1,1,1,1,[0.941233217716217],1.0,1.0,0.941233217716217,1,1,1,1,[0.941233217716217],1.0,1.0,0.941233217716217,1,1,1,1,[0.941233217716217],1.0,1.0,0.941233217716217,1,1,1,1,[0.941233217716217],1.0,1.0,0.941233217716217,1,1,1,1,[0.941233217716217],1.0,1.0,0.941233217716217,1,1,1,1,[0.941233217716217]
1005,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8539687395095825,1,1,1,1,[0.8539687395095825],1.0,1.0,0.8539687395095825,1,1,1,1,[0.8539687395095825],1.0,1.0,0.8539687395095825,1,1,1,1,[0.8539687395095825],1.0,1.0,0.8539687395095825,1,1,1,1,[0.8539687395095825],1.0,1.0,0.8539687395095825,1,1,1,1,[0.8539687395095825]
103,0.0,0.0,0.0,0,0,12,9,[],0.0,0.0,0.0,0,0,12,9,[],0.0,0.0,0.0,0,0,12,9,[],0.0,0.0,0.0,0,0,12,9,[],0.0,0.0,0.0,0,0,12,9,[],0.0,0.0,0.0,0,0,12,9,[]
1028,0.0,0.0,0,0,0,9,9,[],0.1111111111111111,0.1111111111111111,0.8924204707145691,1,1,9,9,[0.8924204707145691],0.1111111111111111,0.1111111111111111,0.8924204707145691,1,1,9,9,[0.8924204707145691],0.4444444444444444,0.4444444444444444,0.7108493968844414,4,4,9,9,"[0.8924204707145691, 0.6620229333639145, 0.6620229333639145, 0.6269312500953674]",0.5555555555555556,0.5555555555555556,0.6834225714206695,5,5,9,9,"[0.8924204707145691, 0.5737152695655823, 0.6620229333639145, 0.6620229333639145, 0.6269312500953674]",0.7777777777777778,0.7777777777777778,0.6296995835644859,7,7,9,9,"[0.8924204707145691, 0.4926334172487259, 0.5737152695655823, 0.6620229333639145, 0.6620229333639145, 0.6269312500953674, 0.4981508105993271]"
1010,0.0,0.0,0,0,0,6,4,[],0.0,0.0,0,0,0,6,4,[],0.0,0.0,0,0,0,6,4,[],0.0,0.0,0,0,0,6,4,[],0.16666666666666666,0.25,0.5177434980869293,1,1,6,4,[0.5177434980869293],0.8333333333333334,0.75,0.4537064373493195,5,3,6,4,"[0.4239974617958069, 0.36215639114379883, 0.5177434980869293, 0.49141208827495575, 0.4732227474451065]"
1046,1.0,1.0,0.969285786151886,1,1,1,1,[0.969285786151886],1.0,1.0,0.969285786151886,1,1,1,1,[0.969285786151886],1.0,1.0,0.969285786151886,1,1,1,1,[0.969285786151886],1.0,1.0,0.969285786151886,1,1,1,1,[0.969285786151886],1.0,1.0,0.969285786151886,1,1,1,1,[0.969285786151886],1.0,1.0,0.969285786151886,1,1,1,1,[0.969285786151886]
1047,0.0,0.0,0.0,0,0,14,14,[],0.0,0.0,0.0,0,0,14,14,[],0.0,0.0,0.0,0,0,14,14,[],0.0,0.0,0.0,0,0,14,14,[],0.0,0.0,0.0,0,0,14,14,[],0.0,0.0,0.0,0,0,14,14,[]
1049,0.4,0.3333333333333333,0.9591377675533295,2,2,5,6,"[0.9999999403953552, 0.9182755947113037]",0.6,0.5,0.9282908837000529,3,3,5,6,"[0.9999999403953552, 0.8665971159934998, 0.9182755947113037]",0.6,0.5,0.9282908837000529,3,3,5,6,"[0.9999999403953552, 0.8665971159934998, 0.9182755947113037]",0.6,0.5,0.9282908837000529,3,3,5,6,"[0.9999999403953552, 0.8665971159934998, 0.9182755947113037]",0.6,0.5,0.9282908837000529,3,3,5,6,"[0.9999999403953552, 0.8665971159934998, 0.9182755947113037]",1.0,0.8333333333333334,0.7306338548660278,5,5,5,6,"[0.4405987858772278, 0.9999999403953552, 0.8665971159934998, 0.9182755947113037, 0.4276978373527527]"
1052,0.0,0.0,0,0,0,14,12,[],0.0,0.0,0,0,0,14,12,[],0.14285714285714285,0.16666666666666666,0.7797092795372009,2,2,14,12,"[0.7809569835662842, 0.7784615755081177]",0.35714285714285715,0.4166666666666667,0.6868431627750397,5,5,14,12,"[0.7809569835662842, 0.6254616379737854, 0.6410139501094818, 0.7784615755081177, 0.6083216667175293]",0.42857142857142855,0.5,0.6663481046756109,6,6,14,12,"[0.7809569835662842, 0.6254616379737854, 0.6410139501094818, 0.7784615755081177, 0.5638728141784668, 0.6083216667175293]",0.5,0.5,0.6370316743850708,7,6,14,12,"[0.7809569835662842, 0.6254616379737854, 0.6410139501094818, 0.7784615755081177, 0.5638728141784668, 0.6083216667175293, 0.46113309264183044]"
1067,1.0,0.25,0.9432670474052429,1,1,1,4,[0.9432670474052429],1.0,0.25,0.9432670474052429,1,1,1,4,[0.9432670474052429],1.0,0.25,0.9432670474052429,1,1,1,4,[0.9432670474052429],1.0,0.25,0.9432670474052429,1,1,1,4,[0.9432670474052429],1.0,0.25,0.9432670474052429,1,1,1,4,[0.9432670474052429],1.0,0.25,0.9432670474052429,1,1,1,4,[0.9432670474052429]
1061,0.125,0.1,1.0000001192092896,1,1,8,10,[1.0000001192092896],0.125,0.1,1.0000001192092896,1,1,8,10,[1.0000001192092896],0.375,0.3,0.8271397252877554,3,3,8,10,"[0.713778018951416, 0.7676410377025604, 1.0000001192092896]",0.625,0.5,0.7602030068635941,5,5,8,10,"[0.713778018951416, 0.670719563961029, 0.6488762944936752, 0.7676410377025604, 1.0000001192092896]",0.75,0.7,0.7009938039949962,6,7,8,10,"[0.713778018951416, 0.670719563961029, 0.6488762944936752, 0.7676410377025604, 0.5132676959037781, 0.5926738977432251, 1.0000001192092896]",1.0,0.9,0.6190571144223214,8,9,8,10,"[0.713778018951416, 0.670719563961029, 0.6488762944936752, 0.7676410377025604, 0.5132676959037781, 0.5926738977432251, 1.0000001192092896, 0.47676223516464233, 0.3935188055038452, 0.4133334755897522]"
1070,0.0,0.0,0.0,0,0,5,6,[],0.0,0.0,0.0,0,0,5,6,[],0.0,0.0,0.0,0,0,5,6,[],0.0,0.0,0.0,0,0,5,6,[],0.0,0.0,0.0,0,0,5,6,[],0.0,0.0,0.0,0,0,5,6,[]
