file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,0,0,0,0,17,18,17,18
289.txt,0,0,0,0,15,21,15,21
510.txt,12,11,1.0,1.0,12,11,0,0
921.txt,10,11,0.9090909090909091,1.0,11,11,1,0
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,0,0,0,0,22,17,22,17
666.txt,13,15,0.8125,1.0,16,15,3,0
470.txt,9,8,0.9,1.0,10,8,1,0
303.txt,0,0,0,0,7,9,7,9
1132.txt,4,5,0.8,0.8333333333333334,5,6,1,1
883.txt,6,8,0.75,1.0,8,8,2,0
129.txt,19,19,0.95,0.8260869565217391,20,23,1,4
28.txt,16,11,0.8888888888888888,1.0,18,11,2,0
920.txt,0,0,0,0,13,20,13,20
539.txt,0,0,0,0,17,16,17,16
511.txt,10,9,0.7142857142857143,1.0,14,9,4,0
1085.txt,12,7,1.0,1.0,12,7,0,0
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,0,0,0,0,23,23,23,23
842.txt,9,6,1.0,1.0,9,6,0,0
856.txt,6,7,0.75,1.0,8,7,2,0
103.txt,13,15,1.0,1.0,13,15,0,0
117.txt,12,16,0.8571428571428571,1.0,14,16,2,0
1130.txt,11,9,1.0,0.9,11,10,0,1
499.txt,7,8,0.7,1.0,10,8,3,0
102.txt,10,9,0.9090909090909091,1.0,11,9,1,0
857.txt,7,6,1.0,1.0,7,6,0,0
17.txt,3,3,0.75,1.0,4,3,1,0
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,10,8,0.8333333333333334,1.0,12,8,2,0
516.txt,12,15,0.9230769230769231,1.0,13,15,1,0
933.txt,0,0,0,0,51,18,51,18
853.txt,6,8,0.6666666666666666,1.0,9,8,3,0
884.txt,6,7,0.8571428571428571,1.0,7,7,1,0
1121.txt,4,4,1.0,1.0,4,4,0,0
304.txt,10,12,1.0,1.0,10,12,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,7,0.7,1.0,10,7,3,0
1134.txt,14,16,0.9333333333333333,0.9411764705882353,15,17,1,1
661.txt,5,5,0.7142857142857143,0.8333333333333334,7,6,2,1
649.txt,0,0,0,0,8,10,8,10
852.txt,0,0,0,0,7,17,7,17
1097.txt,8,6,0.8888888888888888,0.8571428571428571,9,7,1,2
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,8,0.8888888888888888,1.0,9,8,1,0
515.txt,8,8,1.0,1.0,8,8,0,0
