File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1,0.0,0.0,0,0,0,11,11,[],0.0,0.0,0,0,0,11,11,[],0.09090909090909091,0.09090909090909091,0.7950321435928345,1,1,11,11,[0.7950321435928345],0.18181818181818182,0.18181818181818182,0.7120566964149475,2,2,11,11,"[0.7950321435928345, 0.6290812492370605]",0.36363636363636365,0.2727272727272727,0.6255722343921661,4,3,11,11,"[0.7950321435928345, 0.6290812492370605, 0.510246753692627, 0.5679287910461426]",0.8181818181818182,0.45454545454545453,0.5023872471517987,9,5,11,11,"[0.7950321435928345, 0.6290812492370605, 0.510246753692627, 0.4385858178138733, 0.44506093859672546, 0.3899916559457779, 0.4048067182302475, 0.34075115621089935, 0.5679287910461426]"
1005,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8264580965042114,1,1,1,1,[0.8264580965042114],1.0,1.0,0.8264580965042114,1,1,1,1,[0.8264580965042114],1.0,1.0,0.8264580965042114,1,1,1,1,[0.8264580965042114],1.0,1.0,0.8264580965042114,1,1,1,1,[0.8264580965042114],1.0,1.0,0.8264580965042114,1,1,1,1,[0.8264580965042114]
1010,0.0,0.0,0.0,0,0,6,6,[],0.0,0.0,0.0,0,0,6,6,[],0.0,0.0,0.0,0,0,6,6,[],0.0,0.0,0.0,0,0,6,6,[],0.0,0.0,0.0,0,0,6,6,[],0.0,0.0,0.0,0,0,6,6,[]
1015,0.25,0.25,0.9390511512756348,1,1,4,4,[0.9390511512756348],0.25,0.25,0.9390511512756348,1,1,4,4,[0.9390511512756348],0.25,0.25,0.9390511512756348,1,1,4,4,[0.9390511512756348],0.75,0.5,0.7412078181902567,3,2,4,4,"[0.9390511512756348, 0.6430777311325073, 0.6414945721626282]",0.75,0.5,0.7412078181902567,3,2,4,4,"[0.9390511512756348, 0.6430777311325073, 0.6414945721626282]",1.0,0.75,0.6682976596057415,4,3,4,4,"[0.9390511512756348, 0.44956718385219574, 0.6430777311325073, 0.6414945721626282]"
1019,0.0,0.0,0.0,0,0,31,33,[],0.0,0.0,0.0,0,0,31,33,[],0.0,0.0,0.0,0,0,31,33,[],0.0,0.0,0.0,0,0,31,33,[],0.0,0.0,0.0,0,0,31,33,[],0.0,0.0,0.0,0,0,31,33,[]
102,1.0,1.0,0.9784172773361206,1,1,1,1,[0.9784172773361206],1.0,1.0,0.9784172773361206,1,1,1,1,[0.9784172773361206],1.0,1.0,0.9784172773361206,1,1,1,1,[0.9784172773361206],1.0,1.0,0.9784172773361206,1,1,1,1,[0.9784172773361206],1.0,1.0,0.9784172773361206,1,1,1,1,[0.9784172773361206],1.0,1.0,0.9784172773361206,1,1,1,1,[0.9784172773361206]
1025,0.0,0.0,0.0,0,0,18,28,[],0.0,0.0,0.0,0,0,18,28,[],0.0,0.0,0.0,0,0,18,28,[],0.0,0.0,0.0,0,0,18,28,[],0.0,0.0,0.0,0,0,18,28,[],0.0,0.0,0.0,0,0,18,28,[]
1028,0.0,0.0,0.0,0,0,11,9,[],0.0,0.0,0.0,0,0,11,9,[],0.0,0.0,0.0,0,0,11,9,[],0.0,0.0,0.0,0,0,11,9,[],0.0,0.0,0.0,0,0,11,9,[],0.0,0.0,0.0,0,0,11,9,[]
103,0.0,0.0,0,0,0,9,12,[],0.1111111111111111,0.08333333333333333,0.8114802837371826,1,1,9,12,[0.8114802837371826],0.3333333333333333,0.25,0.7751731276512146,3,3,9,12,"[0.7488344311714172, 0.8114802837371826, 0.765204668045044]",0.4444444444444444,0.3333333333333333,0.7358006089925766,4,4,9,12,"[0.7488344311714172, 0.8114802837371826, 0.765204668045044, 0.6176830530166626]",0.4444444444444444,0.3333333333333333,0.7358006089925766,4,4,9,12,"[0.7488344311714172, 0.8114802837371826, 0.765204668045044, 0.6176830530166626]",1.0,0.5833333333333334,0.5583338571919335,9,7,9,12,"[0.7488344311714172, 0.35230544209480286, 0.8114802837371826, 0.765204668045044, 0.6176830530166626, 0.43676750361919403, 0.4328925460577011, 0.41524191200733185, 0.4445948749780655]"
1046,1.0,1.0,0.969285786151886,1,1,1,1,[0.969285786151886],1.0,1.0,0.969285786151886,1,1,1,1,[0.969285786151886],1.0,1.0,0.969285786151886,1,1,1,1,[0.969285786151886],1.0,1.0,0.969285786151886,1,1,1,1,[0.969285786151886],1.0,1.0,0.969285786151886,1,1,1,1,[0.969285786151886],1.0,1.0,0.969285786151886,1,1,1,1,[0.969285786151886]
