file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,26,17,1.0,1.0,26,17,0,0
289.txt,15,15,0.8823529411764706,1.0,17,15,2,0
510.txt,11,11,0.8461538461538461,1.0,13,11,2,0
921.txt,11,11,0.8461538461538461,1.0,13,11,2,0
29.txt,7,8,1.0,1.0,7,8,0,0
855.txt,17,22,0.9444444444444444,1.0,18,22,1,0
666.txt,16,14,1.0,0.9333333333333333,16,15,0,1
470.txt,8,8,0.8,1.0,10,8,2,0
303.txt,8,7,0.6666666666666666,1.0,12,7,4,0
1132.txt,5,5,0.8333333333333334,0.8333333333333334,6,6,1,1
883.txt,7,8,0.875,1.0,8,8,1,0
129.txt,23,22,0.8518518518518519,0.9565217391304348,27,23,4,1
28.txt,19,11,0.95,1.0,20,11,1,0
920.txt,13,13,0.9285714285714286,1.0,14,13,1,0
539.txt,16,16,1.0,0.9411764705882353,16,17,0,1
511.txt,9,9,0.8181818181818182,1.0,11,9,2,0
1085.txt,9,7,0.45,1.0,20,7,11,0
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,21,23,0.9545454545454546,1.0,22,23,1,0
842.txt,7,6,0.7777777777777778,1.0,9,6,2,0
856.txt,6,6,0.6666666666666666,0.8571428571428571,9,7,3,1
103.txt,16,15,1.0,1.0,16,15,0,0
117.txt,13,16,0.9285714285714286,1.0,14,16,1,0
1130.txt,9,9,0.75,0.9,12,10,3,1
499.txt,9,8,0.6923076923076923,1.0,13,8,4,0
102.txt,9,9,0.8181818181818182,1.0,11,9,2,0
857.txt,8,6,1.0,1.0,8,6,0,0
17.txt,3,3,0.5,1.0,6,3,3,0
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,12,8,0.9230769230769231,1.0,13,8,1,0
516.txt,13,14,0.9285714285714286,0.9333333333333333,14,15,1,1
933.txt,34,37,0.918918918918919,0.7254901960784313,37,51,3,14
853.txt,10,7,0.8333333333333334,0.875,12,8,2,1
884.txt,7,7,1.0,1.0,7,7,0,0
1121.txt,4,4,0.6666666666666666,1.0,6,4,2,0
304.txt,12,12,1.0,1.0,12,12,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,9,7,0.9,1.0,10,7,1,0
1134.txt,18,17,1.0,1.0,18,17,0,0
661.txt,6,6,0.75,1.0,8,6,2,0
649.txt,10,8,0.7142857142857143,1.0,14,8,4,0
852.txt,8,7,0.7272727272727273,1.0,11,7,3,0
