File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1047,0.2,0.21428571428571427,0.9405617117881775,4,3,20,14,"[0.9331315159797668, 0.9309986531734467, 0.9494365751743317, 0.9486801028251648]",0.2,0.21428571428571427,0.9405617117881775,4,3,20,14,"[0.9331315159797668, 0.9309986531734467, 0.9494365751743317, 0.9486801028251648]",0.3,0.35714285714285715,0.8807617177565893,6,5,20,14,"[0.9331315159797668, 0.9309986531734467, 0.7366278767585754, 0.9494365751743317, 0.9486801028251648, 0.7856955826282501]",0.3,0.35714285714285715,0.8807617177565893,6,5,20,14,"[0.9331315159797668, 0.9309986531734467, 0.7366278767585754, 0.9494365751743317, 0.9486801028251648, 0.7856955826282501]",0.5,0.6428571428571429,0.7348560601472854,10,9,20,14,"[0.5181992053985596, 0.9331315159797668, 0.9309986531734467, 0.5166394114494324, 0.7366278767585754, 0.9494365751743317, 0.9486801028251648, 0.5237331986427307, 0.7856955826282501, 0.5054184794425964]",0.65,0.9285714285714286,0.6282919357220332,13,13,20,14,"[0.5181992053985596, 0.37311291694641113, 0.9331315159797668, 0.9309986531734467, 0.5166394114494324, 0.7366278767585754, 0.9494365751743317, 0.9486801028251648, 0.4558477997779846, 0.39913928508758545, 0.3531344532966614, 0.5237331986427307, 0.49458397924900055, 0.7856955826282501, 0.5054184794425964]"
289,0.0,0.0,0,0,0,13,10,[],0.15384615384615385,0.2,0.8343291580677032,2,2,13,10,"[0.8485655784606934, 0.8200927376747131]",0.3076923076923077,0.4,0.8061855882406235,4,4,13,10,"[0.7979840040206909, 0.8485655784606934, 0.8200927376747131, 0.7581000328063965]",0.38461538461538464,0.5,0.7785109639167785,5,5,13,10,"[0.7979840040206909, 0.8485655784606934, 0.8200927376747131, 0.7581000328063965, 0.6678124666213989]",0.46153846153846156,0.5,0.7483267386754354,6,5,13,10,"[0.7979840040206909, 0.8485655784606934, 0.8200927376747131, 0.7581000328063965, 0.6678124666213989, 0.5974056124687195]",0.7692307692307693,0.9,0.6186940610408783,10,9,13,10,"[0.7979840040206909, 0.37805676460266113, 0.8485655784606934, 0.8200927376747131, 0.44647884368896484, 0.7581000328063965, 0.4005436897277832, 0.4719008803367615, 0.6678124666213989, 0.5974056124687195]"
510,0.09090909090909091,0.125,0.9999998807907104,1,1,11,8,[0.9999998807907104],0.09090909090909091,0.125,0.9999998807907104,1,1,11,8,[0.9999998807907104],0.2727272727272727,0.375,0.8337718645731608,3,3,11,8,"[0.9999998807907104, 0.7181645631790161, 0.7831511497497559]",0.2727272727272727,0.375,0.8337718645731608,3,3,11,8,"[0.9999998807907104, 0.7181645631790161, 0.7831511497497559]",0.36363636363636365,0.5,0.7604852616786957,4,4,11,8,"[0.9999998807907104, 0.7181645631790161, 0.7831511497497559, 0.5406254529953003]",0.9090909090909091,0.625,0.5279648095369339,10,5,11,8,"[0.9999998807907104, 0.7181645631790161, 0.21889090538024902, 0.43294644355773926, 0.34278586506843567, 0.7831511497497559, 0.4407588541507721, 0.426128625869751, 0.37619635462760925, 0.5406254529953003]"
921,0.1111111111111111,0.1111111111111111,1.0,1,1,9,9,[1.0],0.6666666666666666,0.6666666666666666,0.8664509505033493,6,6,9,9,"[1.0, 0.8473427295684814, 0.8109526634216309, 0.8176795244216919, 0.8723491728305817, 0.85038161277771]",0.6666666666666666,0.6666666666666666,0.8664509505033493,6,6,9,9,"[1.0, 0.8473427295684814, 0.8109526634216309, 0.8176795244216919, 0.8723491728305817, 0.85038161277771]",0.6666666666666666,0.6666666666666666,0.8664509505033493,6,6,9,9,"[1.0, 0.8473427295684814, 0.8109526634216309, 0.8176795244216919, 0.8723491728305817, 0.85038161277771]",0.7777777777777778,0.7777777777777778,0.8236275443008968,7,7,9,9,"[1.0, 0.8473427295684814, 0.8109526634216309, 0.5666871070861816, 0.8176795244216919, 0.8723491728305817, 0.85038161277771]",1.0,1.0,0.7098154756757948,9,9,9,9,"[1.0, 0.28756237030029297, 0.8473427295684814, 0.8109526634216309, 0.5666871070861816, 0.8176795244216919, 0.3353841006755829, 0.8723491728305817, 0.85038161277771]"
29,0.0,0.0,0,0,0,5,5,[],0.2,0.2,0.8282855749130249,1,1,5,5,[0.8282855749130249],0.4,0.4,0.7757870405912399,2,2,5,5,"[0.8282855749130249, 0.723288506269455]",0.8,0.8,0.7254484370350838,4,4,5,5,"[0.8282855749130249, 0.723288506269455, 0.6776861548423767, 0.6725335121154785]",0.8,0.8,0.7254484370350838,4,4,5,5,"[0.8282855749130249, 0.723288506269455, 0.6776861548423767, 0.6725335121154785]",1.0,1.0,0.6663984537124634,5,5,5,5,"[0.8282855749130249, 0.4301985204219818, 0.723288506269455, 0.6776861548423767, 0.6725335121154785]"
855,0.0,0.0,0,0,0,9,10,[],0.2222222222222222,0.2,0.8266290873289108,2,2,9,10,"[0.8330349326133728, 0.8202232420444489]",0.4444444444444444,0.4,0.7678242400288582,4,4,9,10,"[0.7149940133094788, 0.7030447721481323, 0.8330349326133728, 0.8202232420444489]",0.6666666666666666,0.5,0.7310110827287039,6,5,9,10,"[0.7149940133094788, 0.6360881328582764, 0.7030447721481323, 0.6786814033985138, 0.8330349326133728, 0.8202232420444489]",0.8888888888888888,0.8,0.6626306772232056,8,8,9,10,"[0.7149940133094788, 0.6360881328582764, 0.7030447721481323, 0.6786814033985138, 0.5474199652671814, 0.5832773447036743, 0.5173282623291016, 0.8330349326133728, 0.8202232420444489, 0.5922147035598755]",1.0,0.9,0.5831935666501522,9,9,9,10,"[0.7149940133094788, 0.6360881328582764, 0.3627507984638214, 0.4970281720161438, 0.7030447721481323, 0.6786814033985138, 0.5474199652671814, 0.45978111028671265, 0.5832773447036743, 0.49617284536361694, 0.5173282623291016, 0.4936027228832245, 0.39545464515686035, 0.8330349326133728, 0.8202232420444489, 0.5922147035598755]"
666,0.08333333333333333,0.08333333333333333,0.9999998211860657,1,1,12,12,[0.9999998211860657],0.16666666666666666,0.16666666666666666,0.9361796677112579,2,2,12,12,"[0.8723595142364502, 0.9999998211860657]",0.3333333333333333,0.3333333333333333,0.8419810980558395,4,4,12,12,"[0.7503433227539062, 0.745221734046936, 0.8723595142364502, 0.9999998211860657]",0.75,0.75,0.750923419992129,9,9,12,12,"[0.6608242988586426, 0.7503433227539062, 0.6647175401449203, 0.6803182363510132, 0.745221734046936, 0.8723595142364502, 0.9999998211860657, 0.6876563131809235, 0.6968699991703033]",0.75,0.75,0.750923419992129,9,9,12,12,"[0.6608242988586426, 0.7503433227539062, 0.6647175401449203, 0.6803182363510132, 0.745221734046936, 0.8723595142364502, 0.9999998211860657, 0.6876563131809235, 0.6968699991703033]",1.0,1.0,0.6621638002494971,12,12,12,12,"[0.6608242988586426, 0.41013970971107483, 0.7503433227539062, 0.6647175401449203, 0.3597925007343292, 0.6803182363510132, 0.745221734046936, 0.8723595142364502, 0.9999998211860657, 0.4177226126194, 0.6876563131809235, 0.6968699991703033]"
470,0.0,0.0,0,0,0,4,1,[],0.0,0.0,0,0,0,4,1,[],0.25,1.0,0.7704125642776489,1,1,4,1,[0.7704125642776489],0.25,1.0,0.7704125642776489,1,1,4,1,[0.7704125642776489],0.25,1.0,0.7704125642776489,1,1,4,1,[0.7704125642776489],0.25,1.0,0.7704125642776489,1,1,4,1,[0.7704125642776489]
303,0.0,0.0,0,0,0,9,5,[],0.0,0.0,0,0,0,9,5,[],0.0,0.0,0,0,0,9,5,[],0.1111111111111111,0.2,0.6854629516601562,1,1,9,5,[0.6854629516601562],0.4444444444444444,0.6,0.5933346226811409,4,3,9,5,"[0.6854629516601562, 0.569350928068161, 0.5512676239013672, 0.5672569870948792]",0.7777777777777778,1.0,0.5291158940110888,7,5,9,5,"[0.4615260362625122, 0.4255012273788452, 0.6854629516601562, 0.569350928068161, 0.5512676239013672, 0.5672569870948792, 0.44344550371170044]"
1132,0.25,0.25,0.9472314119338989,1,1,4,4,[0.9472314119338989],0.75,0.75,0.8894888261953989,3,3,4,4,"[0.9472314119338989, 0.8521139919757843, 0.8691210746765137]",0.75,0.75,0.8894888261953989,3,3,4,4,"[0.9472314119338989, 0.8521139919757843, 0.8691210746765137]",0.75,0.75,0.8894888261953989,3,3,4,4,"[0.9472314119338989, 0.8521139919757843, 0.8691210746765137]",1.0,1.0,0.8031888082623482,4,4,4,4,"[0.9472314119338989, 0.5442887544631958, 0.8521139919757843, 0.8691210746765137]",1.0,1.0,0.8031888082623482,4,4,4,4,"[0.9472314119338989, 0.5442887544631958, 0.8521139919757843, 0.8691210746765137]"
883,0.0,0.0,0,0,0,6,1,[],0.0,0.0,0,0,0,6,1,[],0.0,0.0,0,0,0,6,1,[],0.16666666666666666,1.0,0.6144724488258362,1,1,6,1,[0.6144724488258362],0.16666666666666666,1.0,0.6144724488258362,1,1,6,1,[0.6144724488258362],0.16666666666666666,1.0,0.6144724488258362,1,1,6,1,[0.6144724488258362]
129,0.0625,0.05555555555555555,0.9612761735916138,1,1,16,18,[0.9612761735916138],0.25,0.2222222222222222,0.8586949780583382,4,4,16,18,"[0.8121272921562195, 0.9612761735916138, 0.8369404673576355, 0.8244359791278839]",0.3125,0.2777777777777778,0.8279232442378998,5,5,16,18,"[0.8121272921562195, 0.9612761735916138, 0.8369404673576355, 0.7048363089561462, 0.8244359791278839]",0.625,0.4444444444444444,0.7360086590051651,10,8,16,18,"[0.8121272921562195, 0.9612761735916138, 0.8369404673576355, 0.6098595857620239, 0.6467236280441284, 0.7048363089561462, 0.6140093207359314, 0.8244359791278839, 0.6617259383201599, 0.6881518959999084]",0.9375,0.5,0.6490734486203444,15,9,16,18,"[0.8121272921562195, 0.9612761735916138, 0.8369404673576355, 0.6098595857620239, 0.5445432662963867, 0.6467236280441284, 0.5870348811149597, 0.506131961941719, 0.7048363089561462, 0.5384331494569778, 0.6140093207359314, 0.53729347884655, 0.8244359791278839, 0.6617259383201599, 0.5611850917339325, 0.5516126900911331, 0.6881518959999084, 0.5930625200271606, 0.5530118942260742]",1.0,0.8333333333333334,0.5343965958389971,16,15,16,18,"[0.8121272921562195, 0.9612761735916138, 0.8369404673576355, 0.6098595857620239, 0.45254045724868774, 0.47481685876846313, 0.40855908393859863, 0.3837050795555115, 0.5445432662963867, 0.41218410432338715, 0.42383259534835815, 0.6467236280441284, 0.5870348811149597, 0.506131961941719, 0.7048363089561462, 0.5384331494569778, 0.2862566411495209, 0.3193623721599579, 0.6140093207359314, 0.53729347884655, 0.8244359791278839, 0.6617259383201599, 0.2862566411495209, 0.48496802151203156, 0.48645101487636566, 0.34654685854911804, 0.5611850917339325, 0.5516126900911331, 0.6881518959999084, 0.4641101360321045, 0.4303295761346817, 0.39891189336776733, 0.4677128195762634, 0.37933777272701263, 0.5930625200271606, 0.5530118942260742]"
