file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,13,13,0.7647058823529411,0.4482758620689655,17,29,4,16
289.txt,15,15,1.0,0.8333333333333334,15,18,0,3
510.txt,11,11,1.0,0.9166666666666666,11,12,0,1
921.txt,11,11,1.0,0.9166666666666666,11,12,0,1
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,17,16,0.7727272727272727,0.9411764705882353,22,17,5,1
666.txt,14,15,0.9333333333333333,0.9375,15,16,1,1
470.txt,8,9,1.0,0.9,8,10,0,1
303.txt,7,8,1.0,0.5333333333333333,7,15,0,7
1132.txt,6,6,1.0,0.75,6,8,0,2
883.txt,8,8,1.0,0.8888888888888888,8,9,0,1
129.txt,22,22,0.9565217391304348,0.9166666666666666,23,24,1,2
28.txt,11,20,1.0,1.0,11,20,0,0
920.txt,13,13,1.0,1.0,13,13,0,0
539.txt,17,17,1.0,0.9444444444444444,17,18,0,1
511.txt,9,10,1.0,0.8333333333333334,9,12,0,2
1085.txt,7,18,1.0,0.8571428571428571,7,21,0,3
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,22,20,0.9565217391304348,0.9523809523809523,23,21,2,1
842.txt,6,7,1.0,0.875,6,8,0,1
856.txt,6,7,0.8571428571428571,0.7777777777777778,7,9,1,2
103.txt,15,16,1.0,1.0,15,16,0,0
117.txt,16,14,1.0,0.7777777777777778,16,18,0,4
1130.txt,9,9,0.9,0.75,10,12,1,3
499.txt,8,8,1.0,0.6666666666666666,8,12,0,4
102.txt,9,10,1.0,1.0,9,10,0,0
857.txt,6,7,1.0,1.0,6,7,0,0
17.txt,3,3,1.0,0.75,3,4,0,1
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,8,9,1.0,0.9,8,10,0,1
516.txt,15,12,1.0,1.0,15,12,0,0
933.txt,41,35,0.803921568627451,0.9210526315789473,51,38,10,3
853.txt,7,8,0.875,0.8,8,10,1,2
884.txt,7,6,1.0,0.8571428571428571,7,7,0,1
1121.txt,4,4,1.0,1.0,4,4,0,0
304.txt,12,12,1.0,1.0,12,12,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,7,1.0,0.7,7,10,0,3
1134.txt,17,17,1.0,1.0,17,17,0,0
661.txt,6,6,1.0,1.0,6,6,0,0
649.txt,8,8,1.0,0.8888888888888888,8,9,0,1
852.txt,7,8,1.0,0.8,7,10,0,2
1097.txt,7,8,1.0,0.8888888888888888,7,9,0,1
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,10,1.0,1.0,8,10,0,0
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,9,5,1.0,0.8333333333333334,9,6,0,1
930.txt,5,6,1.0,0.75,5,8,0,2
139.txt,9,11,1.0,0.9166666666666666,9,12,0,1
111.txt,3,4,1.0,1.0,3,4,0,0
474.txt,14,14,1.0,0.7368421052631579,14,19,0,5
1123.txt,6,7,1.0,0.5,6,14,0,7
110.txt,3,4,1.0,0.8,3,5,0,1
886.txt,8,11,1.0,0.9166666666666666,8,12,0,1
39.txt,5,5,1.0,1.0,5,5,0,0
11.txt,12,11,1.0,0.7333333333333333,12,15,0,4
716.txt,7,8,1.0,0.7272727272727273,7,11,0,3
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,28,24,0.7567567567567568,0.7058823529411765,37,34,9,10
1232.txt,35,35,0.813953488372093,0.7446808510638298,43,47,9,12
956.txt,20,20,1.0,0.5882352941176471,20,34,0,14
759.txt,4,4,1.0,0.5,4,8,0,4
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,7,1.0,1.0,7,7,0,0
375.txt,4,4,1.0,0.6666666666666666,4,6,0,2
1187.txt,14,9,1.0,0.8181818181818182,14,11,0,2
1193.txt,18,18,0.9473684210526315,0.9,19,20,1,2
349.txt,6,6,1.0,1.0,6,6,0,0
348.txt,15,14,1.0,0.5185185185185185,15,27,0,13
406.txt,4,6,1.0,0.5454545454545454,4,11,0,5
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,3,4,1.0,0.5714285714285714,3,7,0,3
189.txt,6,6,1.0,1.0,6,6,0,0
980.txt,10,11,1.0,0.8461538461538461,10,13,0,2
770.txt,11,10,0.8461538461538461,0.9090909090909091,13,11,2,1
764.txt,7,7,1.0,0.7777777777777778,7,9,0,2
1019.txt,38,38,0.9047619047619048,0.76,42,50,4,12
1025.txt,29,28,0.8055555555555556,1.0,36,28,7,0
955.txt,4,5,1.0,1.0,4,5,0,0
1147.txt,5,5,1.0,0.7142857142857143,5,7,0,2
438.txt,10,10,1.0,0.7692307692307693,10,13,0,3
439.txt,16,15,1.0,0.5172413793103449,16,29,0,14
411.txt,14,15,1.0,0.9375,14,16,0,1
1146.txt,19,19,1.0,0.8260869565217391,19,23,0,4
940.txt,7,9,1.0,1.0,7,9,0,0
1218.txt,4,4,1.0,1.0,4,4,0,0
559.txt,6,7,1.0,0.875,6,8,0,1
561.txt,12,12,0.9230769230769231,0.9230769230769231,13,13,1,1
950.txt,18,16,1.0,0.9411764705882353,18,17,0,1
373.txt,3,3,1.0,0.6,3,5,0,2
616.txt,5,6,1.0,1.0,5,6,0,0
776.txt,4,5,1.0,1.0,4,5,0,0
574.txt,5,5,0.8333333333333334,1.0,6,5,1,0
953.txt,18,17,0.9,0.7391304347826086,20,23,2,6
990.txt,9,9,1.0,0.6,9,15,0,6
600.txt,19,17,1.0,0.85,19,20,0,3
1141.txt,10,10,0.9090909090909091,1.0,11,10,1,0
1155.txt,7,19,1.0,0.8260869565217391,7,23,0,4
416.txt,5,8,1.0,0.8,5,10,0,2
1196.txt,3,3,1.0,1.0,3,3,0,0
371.txt,8,8,1.0,1.0,8,8,0,0
359.txt,6,6,1.0,0.6,6,10,0,4
99.txt,4,4,1.0,0.6666666666666666,4,6,0,2
629.txt,16,17,1.0,0.7391304347826086,16,23,0,6
211.txt,4,4,1.0,1.0,4,4,0,0
1005.txt,4,4,1.0,1.0,4,4,0,0
220.txt,9,8,0.6428571428571429,1.0,14,8,5,0
778.txt,9,11,1.0,0.9166666666666666,9,12,0,1
57.txt,4,4,1.0,1.0,4,4,0,0
5.txt,19,19,1.0,0.95,19,20,0,1
803.txt,3,4,1.0,1.0,3,4,0,0
618.txt,8,14,1.0,1.0,8,14,0,0
368.txt,4,4,1.0,0.8,4,5,0,1
427.txt,8,11,1.0,0.6111111111111112,8,18,0,7
341.txt,15,16,0.8823529411764706,1.0,17,16,2,0
