File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1047,0.0,0.0,0.0,0,0,14,23,[],0.0,0.0,0.0,0,0,14,23,[],0.0,0.0,0.0,0,0,14,23,[],0.0,0.0,0.0,0,0,14,23,[],0.0,0.0,0.0,0,0,14,23,[],0.0,0.0,0.0,0,0,14,23,[]
289,0.0,0.0,0,0,0,10,16,[],0.0,0.0,0,0,0,10,16,[],0.3,0.1875,0.7335818409919739,3,3,10,16,"[0.7437142133712769, 0.7310017049312592, 0.7260296046733856]",0.4,0.25,0.7191205471754074,4,4,10,16,"[0.7437142133712769, 0.7310017049312592, 0.7260296046733856, 0.675736665725708]",0.8,0.4375,0.6358746327459812,8,7,10,16,"[0.7437142133712769, 0.5644273459911346, 0.7310017049312592, 0.7260296046733856, 0.5748132467269897, 0.675736665725708, 0.5546490252017975, 0.5166252553462982]",1.0,0.5625,0.6027227252721786,10,9,10,16,"[0.7437142133712769, 0.5644273459911346, 0.7310017049312592, 0.7260296046733856, 0.4674975872039795, 0.5748132467269897, 0.675736665725708, 0.4727326035499573, 0.5546490252017975, 0.5166252553462982]"
510,0.0,0.0,0.0,0,0,0,0,[],0.0,0.0,0.0,0,0,0,0,[],0.0,0.0,0.0,0,0,0,0,[],0.0,0.0,0.0,0,0,0,0,[],0.0,0.0,0.0,0,0,0,0,[],0.0,0.0,0.0,0,0,0,0,[]
921,0.0,0.0,0,0,0,9,7,[],0.1111111111111111,0.14285714285714285,0.8400725722312927,1,1,9,7,[0.8400725722312927],0.1111111111111111,0.14285714285714285,0.8400725722312927,1,1,9,7,[0.8400725722312927],0.2222222222222222,0.2857142857142857,0.7533428743481636,2,2,9,7,"[0.8400725722312927, 0.6666131764650345]",0.5555555555555556,0.7142857142857143,0.6423860043287277,5,5,9,7,"[0.8400725722312927, 0.6666131764650345, 0.5721829235553741, 0.5965049266815186, 0.5365564227104187]",0.6666666666666666,0.8571428571428571,0.5786829565962156,6,6,9,7,"[0.8400725722312927, 0.2601677179336548, 0.6666131764650345, 0.5721829235553741, 0.5965049266815186, 0.5365564227104187]"
29,0.0,0.0,0,0,0,5,4,[],0.2,0.25,0.8969607353210449,1,1,5,4,[0.8969607353210449],0.2,0.25,0.8969607353210449,1,1,5,4,[0.8969607353210449],0.6,0.75,0.7222925076882044,3,3,5,4,"[0.8969607353210449, 0.6051882207393646, 0.6647285670042038]",0.6,0.75,0.7222925076882044,3,3,5,4,"[0.8969607353210449, 0.6051882207393646, 0.6647285670042038]",0.8,1.0,0.6465266533195972,4,4,5,4,"[0.8969607353210449, 0.41922909021377563, 0.6051882207393646, 0.6647285670042038]"
855,0.0,0.0,0,0,0,10,12,[],0.0,0.0,0,0,0,10,12,[],0.1,0.08333333333333333,0.7389062643051147,1,1,10,12,[0.7389062643051147],0.3,0.25,0.6631750663121542,3,3,10,12,"[0.7389062643051147, 0.6242164373397827, 0.6264024972915649]",0.4,0.3333333333333333,0.6408888958394527,4,4,10,12,"[0.7389062643051147, 0.6242164373397827, 0.6264024972915649, 0.5740303844213486]",0.7,0.5,0.4945661938852734,7,6,10,12,"[0.7389062643051147, 0.6242164373397827, 0.45058000087738037, 0.3995632231235504, 0.6264024972915649, 0.18660017848014832, 0.4450608193874359, 0.40573593974113464, 0.5740303844213486]"
666,0.3333333333333333,0.3333333333333333,0.9443609640002251,4,4,12,12,"[0.9505846500396729, 0.9225945770740509, 0.9579482078552246, 0.9463164210319519]",0.4166666666666667,0.4166666666666667,0.9228989660739899,5,5,12,12,"[0.9505846500396729, 0.9225945770740509, 0.9579482078552246, 0.9463164210319519, 0.8370509743690491]",0.5833333333333334,0.5833333333333334,0.8742720144135612,7,7,12,12,"[0.9505846500396729, 0.9225945770740509, 0.7452217638492584, 0.9579482078552246, 0.9463164210319519, 0.8370509743690491, 0.7601875066757202]",0.6666666666666666,0.6666666666666666,0.850027784705162,8,8,12,12,"[0.9505846500396729, 0.9225945770740509, 0.6803181767463684, 0.7452217638492584, 0.9579482078552246, 0.9463164210319519, 0.8370509743690491, 0.7601875066757202]",0.8333333333333334,0.8333333333333334,0.7814519286155701,10,10,12,12,"[0.509931206703186, 0.5043658018112183, 0.9505846500396729, 0.9225945770740509, 0.6803181767463684, 0.7452217638492584, 0.9579482078552246, 0.9463164210319519, 0.8370509743690491, 0.7601875066757202]",1.0,1.0,0.7164393762747446,12,12,12,12,"[0.509931206703186, 0.5043658018112183, 0.9505846500396729, 0.9225945770740509, 0.36630725860595703, 0.6803181767463684, 0.7452217638492584, 0.9579482078552246, 0.9463164210319519, 0.4164459705352783, 0.8370509743690491, 0.7601875066757202]"
470,0.0,0.0,0,0,0,1,1,[],1.0,1.0,0.8546019196510315,1,1,1,1,[0.8546019196510315],1.0,1.0,0.8546019196510315,1,1,1,1,[0.8546019196510315],1.0,1.0,0.8546019196510315,1,1,1,1,[0.8546019196510315],1.0,1.0,0.8546019196510315,1,1,1,1,[0.8546019196510315],1.0,1.0,0.8546019196510315,1,1,1,1,[0.8546019196510315]
303,0.0,0.0,0,0,0,5,14,[],0.0,0.0,0,0,0,5,14,[],0.0,0.0,0,0,0,5,14,[],0.8,0.2857142857142857,0.6196044683456421,4,4,5,14,"[0.630435049533844, 0.6249397397041321, 0.6387349963188171, 0.6028397977352142, 0.6108200252056122, 0.6098572015762329]",0.8,0.2857142857142857,0.6196044683456421,4,4,5,14,"[0.630435049533844, 0.6249397397041321, 0.6387349963188171, 0.6028397977352142, 0.6108200252056122, 0.6098572015762329]",1.0,0.35714285714285715,0.5938868799379894,5,5,5,14,"[0.630435049533844, 0.43958134949207306, 0.6249397397041321, 0.6387349963188171, 0.6028397977352142, 0.6108200252056122, 0.6098572015762329]"
1132,0.25,0.25,0.9404394626617432,1,1,4,4,[0.9404394626617432],0.25,0.25,0.9404394626617432,1,1,4,4,[0.9404394626617432],0.25,0.25,0.9404394626617432,1,1,4,4,[0.9404394626617432],0.75,0.5,0.7285434603691101,3,2,4,4,"[0.9404394626617432, 0.6288558840751648, 0.6163350343704224]",0.75,0.5,0.7285434603691101,3,2,4,4,"[0.9404394626617432, 0.6288558840751648, 0.6163350343704224]",1.0,0.75,0.6683795303106308,4,3,4,4,"[0.9404394626617432, 0.48788774013519287, 0.6288558840751648, 0.6163350343704224]"
883,0.0,0.0,0,0,0,1,7,[],0.0,0.0,0,0,0,1,7,[],1.0,0.14285714285714285,0.7450660467147827,1,1,1,7,[0.7450660467147827],1.0,0.14285714285714285,0.7450660467147827,1,1,1,7,[0.7450660467147827],1.0,0.14285714285714285,0.7450660467147827,1,1,1,7,[0.7450660467147827],1.0,0.14285714285714285,0.7450660467147827,1,1,1,7,[0.7450660467147827]
129,0.0,0.0,0,0,0,18,27,[],0.16666666666666666,0.1111111111111111,0.85594375928243,3,3,18,27,"[0.8237696886062622, 0.8907684087753296, 0.8532931804656982]",0.2222222222222222,0.14814814814814814,0.822598036378622,4,4,18,27,"[0.8237696886062622, 0.8907684087753296, 0.8532931804656982, 0.7225608676671982]",0.3888888888888889,0.25925925925925924,0.7473962754011154,7,7,18,27,"[0.8237696886062622, 0.8907684087753296, 0.6068124771118164, 0.6358731985092163, 0.8532931804656982, 0.698696106672287, 0.7225608676671982]",0.6111111111111112,0.5185185185185185,0.634663841303657,11,14,18,27,"[0.8237696886062622, 0.8907684087753296, 0.6068124771118164, 0.5641335248947144, 0.5672028064727783, 0.6358731985092163, 0.8532931804656982, 0.5270795822143555, 0.5197693556547165, 0.698696106672287, 0.7225608676671982, 0.5543104410171509, 0.5086052417755127, 0.5806578397750854, 0.5949643850326538, 0.5458238124847412, 0.5949643850326538]",1.0,0.8148148148148148,0.5196151000104452,18,22,18,27,"[0.8237696886062622, 0.8907684087753296, 0.6068124771118164, 0.46245884895324707, 0.5641335248947144, 0.4970550239086151, 0.42359721660614014, 0.5672028064727783, 0.6358731985092163, 0.8532931804656982, 0.4936024248600006, 0.37966588139533997, 0.5270795822143555, 0.46918126940727234, 0.38638409972190857, 0.370247483253479, 0.4969932734966278, 0.5197693556547165, 0.698696106672287, 0.7225608676671982, 0.38675835728645325, 0.32131022214889526, 0.4520404785871506, 0.42479294538497925, 0.43683622777462006, 0.46021638810634613, 0.5543104410171509, 0.4217318296432495, 0.47501835227012634, 0.5086052417755127, 0.3625222146511078, 0.5806578397750854, 0.37461721897125244, 0.5949643850326538, 0.4010751247406006, 0.5458238124847412, 0.45998361706733704, 0.5949643850326538]"
28,0.0,0.0,0,0,0,10,21,[],0.0,0.0,0,0,0,10,21,[],0.0,0.0,0,0,0,10,21,[],0.4,0.19047619047619047,0.6167799979448318,4,4,10,21,"[0.6309342384338379, 0.6333897113800049, 0.6027834415435791, 0.6000126004219055]",0.8,0.5238095238095238,0.5644370638407193,8,11,10,21,"[0.6309342384338379, 0.502355694770813, 0.5242952406406403, 0.5105764865875244, 0.5457443594932556, 0.6333897113800049, 0.6027834415435791, 0.5837900638580322, 0.6000126004219055, 0.5386571884155273, 0.5756147801876068, 0.5345975756645203, 0.5549304485321045]",1.0,0.7142857142857143,0.4779222811407903,10,15,10,21,"[0.4095616936683655, 0.29338890314102173, 0.4999932050704956, 0.6309342384338379, 0.33474424481391907, 0.502355694770813, 0.5242952406406403, 0.46334557235240936, 0.4717256426811218, 0.4150500074028969, 0.5105764865875244, 0.5457443594932556, 0.6333897113800049, 0.46668103337287903, 0.457203209400177, 0.6027834415435791, 0.5837900638580322, 0.44132064282894135, 0.3439546450972557, 0.2881992980837822, 0.4201701879501343, 0.4297844171524048, 0.6000126004219055, 0.47366562485694885, 0.5386571884155273, 0.4774287939071655, 0.44946348667144775, 0.46197567880153656, 0.414626806974411, 0.5756147801876068, 0.5345975756645203, 0.5549304485321045, 0.4384489506483078, 0.46094368398189545]"
920,0.0,0.0,0.0,0,0,11,24,[],0.0,0.0,0.0,0,0,11,24,[],0.0,0.0,0.0,0,0,11,24,[],0.0,0.0,0.0,0,0,11,24,[],0.0,0.0,0.0,0,0,11,24,[],0.0,0.0,0.0,0,0,11,24,[]
