File ID,Coverage1 (thr 0.9),Coverage2 (thr 0.9),Avg SemSim (thr 0.9),Matched 1 (thr 0.9),Matched 2 (thr 0.9),Total 1 (thr 0.9),Total 2 (thr 0.9),Sem scores (thr 0.9),Coverage1 (thr 0.8),Coverage2 (thr 0.8),Avg SemSim (thr 0.8),Matched 1 (thr 0.8),Matched 2 (thr 0.8),Total 1 (thr 0.8),Total 2 (thr 0.8),Sem scores (thr 0.8),Coverage1 (thr 0.7),Coverage2 (thr 0.7),Avg SemSim (thr 0.7),Matched 1 (thr 0.7),Matched 2 (thr 0.7),Total 1 (thr 0.7),Total 2 (thr 0.7),Sem scores (thr 0.7),Coverage1 (thr 0.6),Coverage2 (thr 0.6),Avg SemSim (thr 0.6),Matched 1 (thr 0.6),Matched 2 (thr 0.6),Total 1 (thr 0.6),Total 2 (thr 0.6),Sem scores (thr 0.6),Coverage1 (thr 0.5),Coverage2 (thr 0.5),Avg SemSim (thr 0.5),Matched 1 (thr 0.5),Matched 2 (thr 0.5),Total 1 (thr 0.5),Total 2 (thr 0.5),Sem scores (thr 0.5),Coverage1 (thr no),Coverage2 (thr no),Avg SemSim (thr no),Matched 1 (thr no),Matched 2 (thr no),Total 1 (thr no),Total 2 (thr no),Sem scores (thr no)
1047,0.0,0.0,0,0,0,25,14,[],0.04,0.07142857142857142,0.8059325218200684,1,1,25,14,[0.8059325218200684],0.04,0.07142857142857142,0.8059325218200684,1,1,25,14,[0.8059325218200684],0.08,0.14285714285714285,0.7408942803740501,2,2,25,14,"[0.8059325218200684, 0.6758560389280319]",0.24,0.35714285714285715,0.6044222886363665,6,5,25,14,"[0.8059325218200684, 0.6758560389280319, 0.5168445259332657, 0.5858395248651505, 0.5202324092388153, 0.5218287110328674]",0.6,0.6428571428571429,0.4785405447085698,15,9,25,14,"[0.8059325218200684, 0.38462476432323456, 0.4189300537109375, 0.4189300537109375, 0.28343239426612854, 0.6758560389280319, 0.4498099386692047, 0.4011439085006714, 0.32590746879577637, 0.5168445259332657, 0.5858395248651505, 0.45321905612945557, 0.5202324092388153, 0.5218287110328674, 0.4155768007040024]"
289,0.0,0.0,0,0,0,18,10,[],0.0,0.0,0,0,0,18,10,[],0.1111111111111111,0.2,0.737357959151268,2,2,18,10,"[0.7437142133712769, 0.7310017049312592]",0.2777777777777778,0.4,0.6837287902832031,5,4,18,10,"[0.7437142133712769, 0.7310017049312592, 0.6446914970874786, 0.675736665725708, 0.623499870300293]",0.2777777777777778,0.4,0.6837287902832031,5,4,18,10,"[0.7437142133712769, 0.7310017049312592, 0.6446914970874786, 0.675736665725708, 0.623499870300293]",0.5,0.7,0.5469002962112427,9,7,18,10,"[0.7437142133712769, 0.349722295999527, 0.7310017049312592, 0.6446914970874786, 0.44920140504837036, 0.4534774422645569, 0.41570717096328735, 0.675736665725708, 0.38225069642066956, 0.623499870300293]"
510,0.0,0.0,0,0,0,11,8,[],0.09090909090909091,0.125,0.8524928689002991,1,1,11,8,[0.8524928689002991],0.2727272727272727,0.375,0.7846028606096903,3,3,11,8,"[0.8524928689002991, 0.7181645631790161, 0.7831511497497559]",0.2727272727272727,0.375,0.7846028606096903,3,3,11,8,"[0.8524928689002991, 0.7181645631790161, 0.7831511497497559]",0.36363636363636365,0.5,0.7236085087060928,4,4,11,8,"[0.8524928689002991, 0.7181645631790161, 0.7831511497497559, 0.5406254529953003]",0.9090909090909091,0.625,0.5132141083478927,10,5,11,8,"[0.8524928689002991, 0.7181645631790161, 0.21889090538024902, 0.43294644355773926, 0.34278586506843567, 0.7831511497497559, 0.4407588541507721, 0.426128625869751, 0.37619635462760925, 0.5406254529953003]"
921,0.14285714285714285,0.1111111111111111,0.9383523464202881,1,1,7,9,[0.9383523464202881],0.14285714285714285,0.1111111111111111,0.9383523464202881,1,1,7,9,[0.9383523464202881],0.2857142857142857,0.2222222222222222,0.8447826504707336,2,2,7,9,"[0.9383523464202881, 0.7512129545211792]",0.2857142857142857,0.2222222222222222,0.8447826504707336,2,2,7,9,"[0.9383523464202881, 0.7512129545211792]",0.7142857142857143,0.5555555555555556,0.6810028254985809,5,5,7,9,"[0.9383523464202881, 0.7512129545211792, 0.5761451572179794, 0.5965049266815186, 0.5427987426519394]",1.0,0.6666666666666666,0.5873142565999713,7,6,7,9,"[0.9383523464202881, 0.2601677179336548, 0.7512129545211792, 0.5761451572179794, 0.5965049266815186, 0.5427987426519394, 0.44601795077323914]"
29,0.0,0.0,0,0,0,4,5,[],0.25,0.2,0.8310288190841675,1,1,4,5,[0.8310288190841675],0.25,0.2,0.8310288190841675,1,1,4,5,[0.8310288190841675],0.75,0.6,0.6909526089827219,3,3,4,5,"[0.8310288190841675, 0.6374141573905945, 0.6044148504734039]",0.75,0.6,0.6909526089827219,3,3,4,5,"[0.8310288190841675, 0.6374141573905945, 0.6044148504734039]",1.0,0.8,0.6360625997185707,4,4,4,5,"[0.8310288190841675, 0.47139257192611694, 0.6374141573905945, 0.6044148504734039]"
855,0.0,0.0,0,0,0,15,10,[],0.0,0.0,0,0,0,15,10,[],0.06666666666666667,0.1,0.7265186905860901,1,1,15,10,[0.7265186905860901],0.2,0.3,0.6590458750724792,3,3,15,10,"[0.7265186905860901, 0.6242164373397827, 0.6264024972915649]",0.5333333333333333,0.5,0.5972827859222889,8,5,15,10,"[0.7265186905860901, 0.6242164373397827, 0.565001904964447, 0.6264024972915649, 0.5686723589897156, 0.5909907221794128, 0.5147337019443512, 0.5617259740829468]",0.6666666666666666,0.8,0.5009447988122702,10,8,15,10,"[0.7265186905860901, 0.6242164373397827, 0.4364894777536392, 0.4472305178642273, 0.565001904964447, 0.6264024972915649, 0.3594135344028473, 0.4730501174926758, 0.5686723589897156, 0.5909907221794128, 0.4842098206281662, 0.4357652813196182, 0.32421885430812836, 0.2764768898487091, 0.5147337019443512, 0.5617259740829468]"
666,0.16666666666666666,0.16666666666666666,0.9789741039276123,2,2,12,12,"[0.9579482078552246, 1.0]",0.16666666666666666,0.16666666666666666,0.9789741039276123,2,2,12,12,"[0.9579482078552246, 1.0]",0.16666666666666666,0.16666666666666666,0.9789741039276123,2,2,12,12,"[0.9579482078552246, 1.0]",0.5833333333333334,0.4166666666666667,0.7365063428878784,7,5,12,12,"[0.6591132879257202, 0.6034983992576599, 0.6567167043685913, 0.6679101586341858, 0.9579482078552246, 0.6103576421737671, 1.0]",0.75,0.5833333333333334,0.6870115862952338,9,7,12,12,"[0.5231940746307373, 0.5043658018112183, 0.6591132879257202, 0.6034983992576599, 0.6567167043685913, 0.6679101586341858, 0.9579482078552246, 0.6103576421737671, 1.0]",1.0,0.8333333333333334,0.6075161878879254,12,10,12,12,"[0.5231940746307373, 0.5043658018112183, 0.6591132879257202, 0.6034983992576599, 0.44851693511009216, 0.6567167043685913, 0.6679101586341858, 0.9579482078552246, 0.6103576421737671, 1.0, 0.3708224296569824, 0.40873271226882935, 0.48653408885002136]"
470,1.0,1.0,0.9411240220069885,1,1,1,1,[0.9411240220069885],1.0,1.0,0.9411240220069885,1,1,1,1,[0.9411240220069885],1.0,1.0,0.9411240220069885,1,1,1,1,[0.9411240220069885],1.0,1.0,0.9411240220069885,1,1,1,1,[0.9411240220069885],1.0,1.0,0.9411240220069885,1,1,1,1,[0.9411240220069885],1.0,1.0,0.9411240220069885,1,1,1,1,[0.9411240220069885]
303,0.0,0.0,0,0,0,12,5,[],0.0,0.0,0,0,0,12,5,[],0.0,0.0,0,0,0,12,5,[],0.08333333333333333,0.2,0.6387349963188171,1,1,12,5,[0.6387349963188171],0.16666666666666666,0.2,0.5698185861110687,2,1,12,5,"[0.6387349963188171, 0.5009021759033203]",0.4166666666666667,0.8,0.5165062844753265,5,4,12,5,"[0.483127623796463, 0.4600387364625931, 0.6387349963188171, 0.5009021759033203, 0.49972788989543915]"
1132,0.25,0.25,0.9404395222663879,1,1,4,4,[0.9404395222663879],0.25,0.25,0.9404395222663879,1,1,4,4,[0.9404395222663879],0.25,0.25,0.9404395222663879,1,1,4,4,[0.9404395222663879],0.5,0.5,0.7768340930342674,2,2,4,4,"[0.9404395222663879, 0.6132286638021469]",0.75,0.5,0.7007909516493479,3,2,4,4,"[0.9404395222663879, 0.548704668879509, 0.6132286638021469]",1.0,0.75,0.6266648806631565,4,3,4,4,"[0.9404395222663879, 0.4042866677045822, 0.548704668879509, 0.6132286638021469]"
