file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,0,0,0.0,0.0,26,17,26,17
289.txt,14,15,0.875,1.0,16,15,2,0
510.txt,14,11,0.875,1.0,16,11,2,0
921.txt,12,11,0.8571428571428571,1.0,14,11,2,0
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,29,18,0.90625,0.8181818181818182,32,22,3,4
666.txt,14,15,0.9333333333333333,1.0,15,15,1,0
470.txt,0,0,0.0,0.0,20,8,20,8
303.txt,8,7,0.6153846153846154,1.0,13,7,5,0
1132.txt,6,5,0.8571428571428571,0.8333333333333334,7,6,1,1
883.txt,10,8,1.0,1.0,10,8,0,0
129.txt,26,22,1.0,0.9565217391304348,26,23,0,1
28.txt,0,0,0.0,0.0,20,11,20,11
920.txt,0,0,0.0,0.0,30,13,30,13
539.txt,0,0,0.0,0.0,20,17,20,17
511.txt,11,9,0.5789473684210527,1.0,19,9,8,0
1085.txt,13,7,0.7647058823529411,1.0,17,7,4,0
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,20,20,0.8695652173913043,0.8695652173913043,23,23,3,3
842.txt,8,6,0.8888888888888888,1.0,9,6,1,0
856.txt,8,6,1.0,0.8571428571428571,8,7,0,1
103.txt,17,15,0.9444444444444444,1.0,18,15,1,0
117.txt,21,16,0.8076923076923077,1.0,26,16,5,0
1130.txt,11,10,0.6470588235294118,1.0,17,10,6,0
499.txt,12,8,0.7058823529411765,1.0,17,8,5,0
102.txt,9,9,0.9,1.0,10,9,1,0
857.txt,7,6,1.0,1.0,7,6,0,0
17.txt,3,3,0.75,1.0,4,3,1,0
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,10,8,0.6666666666666666,1.0,15,8,5,0
516.txt,13,13,1.0,0.8666666666666667,13,15,0,2
933.txt,0,0,0.0,0.0,45,51,45,51
853.txt,8,7,0.7272727272727273,0.875,11,8,3,1
884.txt,6,7,0.46153846153846156,1.0,13,7,7,0
1121.txt,4,4,0.8,1.0,5,4,1,0
