file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,0,0,0.0,0.0,17,26,17,26
289.txt,15,14,1.0,0.875,15,16,0,2
510.txt,11,14,1.0,0.875,11,16,0,2
921.txt,11,12,1.0,0.8571428571428571,11,14,0,2
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,18,26,0.8181818181818182,0.8125,22,32,4,6
666.txt,15,14,1.0,0.9333333333333333,15,15,0,1
470.txt,0,0,0.0,0.0,8,20,8,20
303.txt,7,8,1.0,0.6153846153846154,7,13,0,5
1132.txt,5,6,0.8333333333333334,0.8571428571428571,6,7,1,1
883.txt,8,10,1.0,1.0,8,10,0,0
129.txt,22,26,0.9565217391304348,1.0,23,26,1,0
28.txt,0,0,0.0,0.0,11,20,11,20
920.txt,0,0,0.0,0.0,13,30,13,30
539.txt,0,0,0.0,0.0,17,20,17,20
511.txt,9,11,1.0,0.5789473684210527,9,19,0,8
1085.txt,7,14,1.0,0.8235294117647058,7,17,0,3
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,20,20,0.8695652173913043,0.8695652173913043,23,23,3,3
842.txt,6,8,1.0,0.8888888888888888,6,9,0,1
856.txt,6,8,0.8571428571428571,1.0,7,8,1,0
103.txt,15,17,1.0,0.9444444444444444,15,18,0,1
117.txt,16,21,1.0,0.8076923076923077,16,26,0,5
1130.txt,10,11,1.0,0.6470588235294118,10,17,0,6
499.txt,8,12,1.0,0.7058823529411765,8,17,0,5
102.txt,9,9,1.0,0.9,9,10,0,1
857.txt,6,7,1.0,1.0,6,7,0,0
17.txt,3,3,1.0,0.75,3,4,0,1
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,8,10,1.0,0.6666666666666666,8,15,0,5
516.txt,13,13,0.8666666666666667,1.0,15,13,2,0
933.txt,0,0,0.0,0.0,51,45,51,45
853.txt,7,8,0.875,0.7272727272727273,8,11,1,3
884.txt,7,6,1.0,0.46153846153846156,7,13,0,7
1121.txt,4,4,1.0,0.8,4,5,0,1
304.txt,12,12,1.0,0.75,12,16,0,4
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,7,1.0,0.7,7,10,0,3
1134.txt,17,16,1.0,0.8888888888888888,17,18,0,2
661.txt,6,7,1.0,0.875,6,8,0,1
649.txt,8,10,1.0,0.8333333333333334,8,12,0,2
852.txt,0,0,0.0,0.0,7,17,7,17
1097.txt,7,10,1.0,1.0,7,10,0,0
267.txt,5,4,1.0,1.0,5,4,0,0
1081.txt,8,8,1.0,1.0,8,8,0,0
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,9,5,1.0,0.8333333333333334,9,6,0,1
930.txt,5,7,1.0,1.0,5,7,0,0
139.txt,9,11,1.0,0.9166666666666666,9,12,0,1
111.txt,3,3,1.0,1.0,3,3,0,0
474.txt,13,19,0.9285714285714286,0.7307692307692307,14,26,1,7
1123.txt,6,6,1.0,0.375,6,16,0,10
110.txt,3,4,1.0,0.8,3,5,0,1
886.txt,8,8,1.0,0.7272727272727273,8,11,0,3
39.txt,5,8,1.0,1.0,5,8,0,0
11.txt,12,12,1.0,0.8,12,15,0,3
716.txt,7,10,1.0,0.9090909090909091,7,11,0,1
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,30,25,0.8108108108108109,0.7575757575757576,37,33,7,8
1232.txt,0,0,0.0,0.0,43,41,43,41
956.txt,20,21,1.0,0.7,20,30,0,9
759.txt,4,6,1.0,0.8571428571428571,4,7,0,1
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,6,1.0,1.0,7,6,0,0
