file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,0,0,0,0,17,15,17,15
289.txt,10,9,0.6666666666666666,1.0,15,9,5,0
510.txt,11,11,1.0,0.9166666666666666,11,12,0,1
921.txt,10,9,0.9090909090909091,0.9,11,10,1,1
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,0,0,0,0,22,19,22,19
666.txt,14,12,0.9333333333333333,0.9230769230769231,15,13,1,1
470.txt,8,9,1.0,0.9,8,10,0,1
303.txt,6,6,0.8571428571428571,0.6,7,10,1,4
1132.txt,5,4,0.8333333333333334,0.6666666666666666,6,6,1,2
883.txt,8,6,1.0,0.8571428571428571,8,7,0,1
129.txt,0,0,0,0,23,20,23,20
28.txt,12,30,1.0909090909090908,1.0,11,30,0,0
920.txt,0,0,0,0,13,8,13,8
539.txt,0,0,0,0,17,13,17,13
511.txt,8,9,0.8888888888888888,0.6923076923076923,9,13,1,4
1085.txt,0,0,0,0,7,7,7,7
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,0,0,0,0,23,18,23,18
842.txt,6,11,1.0,0.7857142857142857,6,14,0,3
856.txt,7,8,1.0,0.8888888888888888,7,9,0,1
103.txt,12,13,0.8,0.9285714285714286,15,14,3,1
117.txt,16,13,1.0,1.0,16,13,0,0
1130.txt,10,9,1.0,0.75,10,12,0,3
499.txt,8,8,1.0,0.8,8,10,0,2
102.txt,9,8,1.0,0.8888888888888888,9,9,0,1
857.txt,6,7,1.0,1.0,6,7,0,0
17.txt,2,2,0.6666666666666666,0.6666666666666666,3,3,1,1
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,7,12,0.875,0.9230769230769231,8,13,1,1
516.txt,10,9,0.6666666666666666,1.0,15,9,5,0
933.txt,30,23,0.5882352941176471,0.696969696969697,51,33,21,10
853.txt,8,7,1.0,1.0,8,7,0,0
884.txt,7,6,1.0,0.8571428571428571,7,7,0,1
1121.txt,4,4,1.0,1.0,4,4,0,0
304.txt,12,11,1.0,1.0,12,11,0,0
311.txt,3,3,1.0,1.0,3,3,0,0
1120.txt,7,8,1.0,0.8,7,10,0,2
1134.txt,0,0,0,0,17,13,17,13
661.txt,6,7,1.0,1.0,6,7,0,0
649.txt,8,8,1.0,0.8,8,10,0,2
852.txt,0,0,0,0,7,13,7,13
1097.txt,7,6,1.0,0.6666666666666666,7,9,0,3
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,8,1.0,0.8,8,10,0,2
515.txt,8,7,1.0,1.0,8,7,0,0
924.txt,9,5,1.0,0.8333333333333334,9,6,0,1
930.txt,5,7,1.0,1.0,5,7,0,0
139.txt,9,9,1.0,1.0,9,9,0,0
111.txt,3,4,1.0,0.4,3,10,0,6
474.txt,13,15,0.9285714285714286,0.75,14,20,1,5
1123.txt,6,6,1.0,0.5454545454545454,6,11,0,5
110.txt,3,4,1.0,0.8,3,5,0,1
886.txt,8,11,1.0,0.9166666666666666,8,12,0,1
39.txt,0,0,0,0,5,9,5,9
11.txt,11,10,0.9166666666666666,0.8333333333333334,12,12,1,2
716.txt,7,7,1.0,1.0,7,7,0,0
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,0,0,0,0,37,51,37,51
1232.txt,30,25,0.6976744186046512,1.0,43,25,13,0
956.txt,0,0,0,0,20,25,20,25
759.txt,4,6,1.0,0.8571428571428571,4,7,0,1
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,7,1.0,1.0,7,7,0,0
375.txt,4,6,1.0,1.0,4,6,0,0
1187.txt,12,9,0.8571428571428571,0.9,14,10,2,1
1193.txt,0,0,0,0,19,20,19,20
349.txt,6,6,1.0,0.75,6,8,0,2
348.txt,0,0,0,0,15,19,15,19
406.txt,0,0,0,0,4,10,4,10
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,3,3,1.0,0.6,3,5,0,2
189.txt,6,7,1.0,1.0,6,7,0,0
980.txt,8,11,0.8,0.9166666666666666,10,12,2,1
770.txt,13,10,1.0,0.8333333333333334,13,12,0,2
764.txt,7,7,1.0,0.875,7,8,0,1
1019.txt,0,0,0,0,42,42,42,42
1025.txt,18,16,0.5,0.9411764705882353,36,17,18,1
955.txt,4,4,1.0,0.8,4,5,0,1
1147.txt,5,5,1.0,0.5,5,10,0,5
438.txt,0,0,0,0,10,12,10,12
439.txt,0,0,0,0,16,19,16,19
411.txt,14,12,1.0,0.8571428571428571,14,14,0,2
1146.txt,0,0,0,0,19,16,19,16
940.txt,7,10,1.0,1.0,7,10,0,0
1218.txt,4,4,1.0,1.0,4,4,0,0
559.txt,6,6,1.0,0.6,6,10,0,4
561.txt,0,0,0,0,13,15,13,15
950.txt,18,16,1.0,0.9411764705882353,18,17,0,1
373.txt,3,3,1.0,0.6,3,5,0,2
616.txt,5,6,1.0,1.0,5,6,0,0
776.txt,4,4,1.0,1.0,4,4,0,0
574.txt,6,8,1.0,0.8888888888888888,6,9,0,1
953.txt,16,15,0.8,0.7142857142857143,20,21,4,6
990.txt,9,9,1.0,0.8181818181818182,9,11,0,2
600.txt,18,17,0.9473684210526315,0.9444444444444444,19,18,1,1
1141.txt,10,9,0.9090909090909091,1.0,11,9,1,0
1155.txt,0,0,0,0,7,3,7,3
416.txt,5,6,1.0,1.0,5,6,0,0
1196.txt,3,3,1.0,1.0,3,3,0,0
371.txt,8,8,1.0,1.0,8,8,0,0
359.txt,6,6,1.0,0.5454545454545454,6,11,0,5
99.txt,4,4,1.0,0.6666666666666666,4,6,0,2
629.txt,16,17,1.0,0.85,16,20,0,3
211.txt,0,0,0,0,4,5,4,5
1005.txt,4,4,1.0,1.0,4,4,0,0
220.txt,11,8,0.7857142857142857,1.0,14,8,3,0
778.txt,6,6,0.6666666666666666,1.0,9,6,3,0
57.txt,4,4,1.0,1.0,4,4,0,0
5.txt,0,0,0,0,19,15,19,15
803.txt,3,4,1.0,1.0,3,4,0,0
618.txt,8,12,1.0,0.8571428571428571,8,14,0,2
368.txt,4,4,1.0,0.5714285714285714,4,7,0,3
427.txt,7,7,0.875,0.6363636363636364,8,11,1,4
341.txt,14,12,0.8235294117647058,1.0,17,12,4,0
95.txt,0,0,0,0,16,16,16,16
631.txt,5,7,1.0,1.0,5,7,0,0
962.txt,0,0,0,0,20,20,20,20
584.txt,7,8,1.0,0.8,7,10,0,2
1010.txt,7,27,1.0,0.9642857142857143,7,28,0,1
551.txt,0,0,0,0,8,8,8,8
948.txt,22,20,0.7096774193548387,1.0,31,20,9,0
753.txt,0,0,0,0,10,14,10,14
141.txt,6,6,1.0,0.8571428571428571,6,7,0,1
394.txt,20,18,1.0,0.782608695652174,20,23,0,5
343.txt,4,5,0.8,0.8333333333333334,5,6,1,1
395.txt,8,8,1.0,1.0,8,8,0,0
96.txt,12,14,1.0,1.0,12,14,0,0
41.txt,18,13,1.0,1.0,18,13,0,0
