file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
1047.txt,0,0,0,0,17,18,17,18
289.txt,12,13,0.6666666666666666,0.8666666666666667,18,15,6,2
510.txt,9,9,0.9,0.8181818181818182,10,11,1,2
921.txt,11,11,0.9166666666666666,1.0,12,11,1,0
29.txt,8,8,1.0,1.0,8,8,0,0
855.txt,19,20,1.0,0.9090909090909091,19,22,0,2
666.txt,13,15,1.0,1.0,13,15,0,0
470.txt,9,8,0.9,1.0,10,8,1,0
303.txt,0,0,0.0,0.0,6,7,6,7
1132.txt,7,6,0.875,1.0,8,6,1,0
883.txt,7,7,0.875,0.875,8,8,1,1
129.txt,19,20,0.95,0.8695652173913043,20,23,1,3
28.txt,13,11,0.6842105263157895,1.0,19,11,6,0
920.txt,0,0,0,0,13,11,13,11
539.txt,0,0,0,0,17,13,17,13
511.txt,11,9,0.9166666666666666,1.0,12,9,1,0
1085.txt,0,0,0,0,7,23,7,23
1046.txt,4,4,1.0,1.0,4,4,0,0
1052.txt,19,22,0.9047619047619048,0.9565217391304348,21,23,2,1
842.txt,0,0,0,0,6,2,6,2
856.txt,6,7,0.75,1.0,8,7,2,0
103.txt,16,15,0.9411764705882353,1.0,17,15,1,0
117.txt,13,15,0.7222222222222222,0.9375,18,16,5,1
1130.txt,0,0,0,0,10,11,10,11
499.txt,0,0,0,0,8,22,8,22
102.txt,9,9,0.9,1.0,10,9,1,0
857.txt,6,6,0.75,1.0,8,6,2,0
17.txt,4,3,1.0,1.0,4,3,0,0
274.txt,7,7,1.0,1.0,7,7,0,0
258.txt,0,0,0,0,8,10,8,10
516.txt,12,15,0.8571428571428571,1.0,14,15,2,0
933.txt,24,33,1.0,0.6470588235294118,24,51,0,18
853.txt,7,8,0.7777777777777778,1.0,9,8,2,0
884.txt,6,7,0.6666666666666666,1.0,9,7,3,0
1121.txt,4,4,1.0,1.0,4,4,0,0
304.txt,12,12,1.0,1.0,12,12,0,0
311.txt,4,3,0.6666666666666666,1.0,6,3,2,0
1120.txt,8,7,0.8,1.0,10,7,2,0
1134.txt,15,17,0.8333333333333334,1.0,18,17,3,0
661.txt,7,6,0.875,1.0,8,6,1,0
649.txt,10,8,0.8333333333333334,1.0,12,8,2,0
852.txt,0,0,0,0,7,23,7,23
1097.txt,6,7,0.75,1.0,8,7,2,0
267.txt,5,5,1.0,1.0,5,5,0,0
1081.txt,8,8,0.8888888888888888,1.0,9,8,1,0
515.txt,8,8,1.0,1.0,8,8,0,0
924.txt,5,9,0.8333333333333334,1.0,6,9,1,0
930.txt,6,5,1.0,1.0,6,5,0,0
139.txt,11,9,1.0,1.0,11,9,0,0
111.txt,5,3,0.8333333333333334,1.0,6,3,1,0
474.txt,12,12,0.5454545454545454,0.8571428571428571,22,14,10,2
1123.txt,7,6,0.5384615384615384,1.0,13,6,6,0
110.txt,3,3,0.6,1.0,5,3,2,0
886.txt,12,8,1.0,1.0,12,8,0,0
39.txt,5,5,1.0,1.0,5,5,0,0
11.txt,10,12,0.7142857142857143,1.0,14,12,4,0
716.txt,7,7,1.0,1.0,7,7,0,0
266.txt,14,14,1.0,1.0,14,14,0,0
229.txt,20,27,0.8695652173913043,0.7297297297297297,23,37,3,10
1232.txt,0,0,0,0,43,24,43,24
956.txt,21,20,1.0,1.0,21,20,0,1
759.txt,6,4,0.8571428571428571,1.0,7,4,1,0
822.txt,7,7,1.0,1.0,7,7,0,0
163.txt,7,7,0.7777777777777778,1.0,9,7,2,0
375.txt,4,4,0.6666666666666666,1.0,6,4,2,0
1187.txt,9,10,0.9,0.7142857142857143,10,14,1,4
1193.txt,18,19,0.8571428571428571,1.0,21,19,3,0
349.txt,5,6,0.5,1.0,10,6,5,0
348.txt,13,14,0.8125,0.9333333333333333,16,15,3,1
406.txt,3,3,0.375,0.75,8,4,5,1
1186.txt,6,6,1.0,1.0,6,6,0,0
1151.txt,4,3,0.6666666666666666,1.0,6,3,2,0
189.txt,6,6,0.5,1.0,12,6,6,0
980.txt,8,10,0.8888888888888888,1.0,9,10,1,0
770.txt,11,13,0.8461538461538461,1.0,13,13,2,0
764.txt,7,7,1.0,1.0,7,7,0,0
1019.txt,27,30,0.7941176470588235,0.7142857142857143,34,42,7,13
1025.txt,19,26,0.95,0.7222222222222222,20,36,1,10
955.txt,4,4,0.8,1.0,5,4,1,0
1147.txt,5,5,0.7142857142857143,1.0,7,5,2,0
438.txt,0,0,0,0,10,16,10,16
439.txt,0,0,0,0,16,28,16,28
411.txt,12,14,0.75,1.0,16,14,4,0
1146.txt,0,0,0,0,19,8,19,8
940.txt,0,0,0,0,7,9,7,9
1218.txt,4,4,1.0,1.0,4,4,0,0
559.txt,7,6,1.0,1.0,7,6,0,0
561.txt,13,13,0.8666666666666667,1.0,15,13,2,0
950.txt,15,18,0.9375,1.0,16,18,1,0
373.txt,3,3,0.6,1.0,5,3,2,0
616.txt,6,5,1.0,1.0,6,5,0,0
776.txt,6,4,0.8571428571428571,1.0,7,4,1,0
574.txt,5,6,0.8333333333333334,1.0,6,6,1,0
953.txt,17,18,0.8947368421052632,0.9,19,20,2,2
990.txt,8,9,0.6666666666666666,1.0,12,9,4,0
600.txt,17,18,1.0,0.9473684210526315,17,19,0,1
1141.txt,9,11,1.0,1.0,9,11,0,0
1155.txt,0,0,0,0,7,11,7,11
416.txt,7,5,1.0,1.0,7,5,0,0
1196.txt,3,3,1.0,1.0,3,3,0,0
371.txt,8,8,1.0,1.0,8,8,0,0
359.txt,6,6,0.5,1.0,12,6,6,0
99.txt,6,4,1.0,1.0,6,4,0,0
629.txt,16,15,1.0,0.9375,16,16,0,1
211.txt,5,4,1.0,1.0,5,4,0,0
1005.txt,2,2,0.3333333333333333,0.5,6,4,4,2
220.txt,8,14,1.0,1.0,8,14,0,0
778.txt,8,6,0.8888888888888888,0.6666666666666666,9,9,1,3
57.txt,4,4,1.0,1.0,4,4,0,0
5.txt,0,0,0,0,19,17,19,17
803.txt,3,3,0.3333333333333333,1.0,9,3,6,0
618.txt,0,0,0,0,8,11,8,11
368.txt,4,4,0.5714285714285714,1.0,7,4,3,0
427.txt,0,0,0,0,8,9,8,9
341.txt,13,13,1.0,0.7647058823529411,13,17,0,4
95.txt,0,0,0,0,16,13,16,13
631.txt,6,5,0.6,1.0,10,5,4,0
962.txt,0,0,0,0,20,20,20,20
584.txt,7,7,0.7777777777777778,1.0,9,7,2,0
1010.txt,0,0,0,0,7,11,7,11
551.txt,7,8,1.0,1.0,7,8,0,0
948.txt,19,21,0.95,0.6774193548387096,20,31,1,10
753.txt,10,8,0.7692307692307693,0.8,13,10,3,2
141.txt,8,6,1.0,1.0,8,6,0,0
394.txt,21,18,0.84,0.9,25,20,4,2
343.txt,7,5,1.0,1.0,7,5,0,0
395.txt,6,8,1.0,1.0,6,8,0,0
96.txt,10,9,1.0,0.75,10,12,0,3
41.txt,14,17,1.0,0.9444444444444444,14,18,0,1
236.txt,5,5,1.0,1.0,5,5,0,0
550.txt,10,9,0.8333333333333334,1.0,12,9,2,0
597.txt,10,9,0.8333333333333334,1.0,12,9,2,0
232.txt,9,10,0.9,1.0,10,10,1,0
971.txt,10,6,0.7142857142857143,1.0,14,6,4,0
51.txt,0,0,0,0,14,21,14,21
811.txt,0,0,0,0,44,29,44,29
839.txt,6,6,0.8571428571428571,1.0,7,6,1,0
144.txt,17,17,1.0,1.0,17,17,0,0
636.txt,6,6,0.8571428571428571,0.8571428571428571,7,7,1,1
1188.txt,17,17,1.0,1.0,17,17,0,0
347.txt,5,3,1.0,1.0,5,3,0,0
637.txt,0,0,0,0,13,15,13,15
151.txt,0,0,0,0,5,6,5,6
623.txt,17,17,1.0,0.8947368421052632,17,19,0,2
186.txt,10,11,0.8333333333333334,1.0,12,11,2,0
233.txt,3,3,1.0,1.0,3,3,0,0
1028.txt,8,9,0.8,0.8181818181818182,10,11,2,2
543.txt,7,8,0.7777777777777778,1.0,9,8,2,0
796.txt,8,4,0.6153846153846154,0.8,13,5,5,1
999.txt,11,11,0.7857142857142857,1.0,14,11,3,0
153.txt,3,3,1.0,1.0,3,3,0,0
351.txt,11,12,0.9166666666666666,1.0,12,12,1,0
344.txt,24,13,0.5454545454545454,0.7647058823529411,44,17,20,4
350.txt,0,0,0,0,9,9,9,9
191.txt,4,4,1.0,1.0,4,4,0,0
1.txt,10,13,0.7692307692307693,0.8666666666666667,13,15,3,3
1203.txt,4,3,1.0,1.0,4,3,0,0
595.txt,0,0,0,0,14,16,14,16
1015.txt,9,9,1.0,0.9,9,10,0,1
280.txt,5,4,0.8333333333333334,1.0,6,4,1,0
848.txt,12,13,1.0,1.0,12,13,0,0
860.txt,4,4,1.0,1.0,4,4,0,0
653.txt,16,15,0.9411764705882353,1.0,17,15,1,0
322.txt,0,0,0,0,19,18,19,18
861.txt,8,5,1.0,1.0,8,5,0,0
849.txt,9,10,1.0,1.0,9,10,0,0
901.txt,0,0,0,0,18,18,18,18
929.txt,6,6,0.6666666666666666,0.8571428571428571,9,7,3,1
530.txt,9,6,1.0,1.0,9,6,0,0
1067.txt,14,22,1.0,1.0,14,22,0,0
1073.txt,3,3,0.75,1.0,4,3,1,0
268.txt,7,5,1.0,1.0,7,5,0,0
23.txt,21,22,0.9130434782608695,0.88,23,25,2,3
136.txt,7,6,0.875,0.8571428571428571,8,7,1,1
1139.txt,8,8,1.0,0.8888888888888888,8,9,0,1
902.txt,15,12,0.8823529411764706,0.9230769230769231,17,13,2,1
916.txt,11,13,0.7857142857142857,0.9285714285714286,14,14,3,1
269.txt,4,4,1.0,1.0,4,4,0,0
241.txt,10,10,1.0,0.8333333333333334,10,12,0,2
282.txt,5,6,0.625,1.0,8,6,3,0
1070.txt,10,6,0.7142857142857143,1.0,14,6,4,0
251.txt,4,5,0.5,1.0,8,5,4,0
682.txt,7,7,0.875,1.0,8,7,1,0
127.txt,5,5,1.0,1.0,5,5,0,0
480.txt,8,7,0.8888888888888888,1.0,9,7,1,0
126.txt,7,6,1.0,1.0,7,6,0,0
27.txt,0,0,0,0,7,9,7,9
278.txt,7,13,0.875,1.0,8,13,1,1
1061.txt,0,0,0,0,11,10,11,10
1049.txt,0,0,0,0,6,5,6,5
1088.txt,4,4,1.0,1.0,4,4,0,0
31.txt,11,11,0.9166666666666666,1.0,12,11,1,0
19.txt,10,8,0.8333333333333334,1.0,12,8,2,0
326.txt,5,6,1.0,1.0,5,6,0,0
1102.txt,0,0,0,0,6,9,6,9
643.txt,11,13,0.9166666666666666,1.0,12,13,1,0
24.txt,0,0,0,0,7,8,7,8
253.txt,6,6,0.75,1.0,8,6,2,0
247.txt,12,12,0.631578947368421,1.0,19,12,7,0
509.txt,6,6,0.8571428571428571,1.0,7,6,1,0
,,,,,,,,
AVERAGE,,,Average of coverage_1_to_2: 0.7124,Average of coverage_2_to_1: 0.7908,,,,
